sequence,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhFxcB6jBXhBF?nB8sBmsB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhFxcB6jBXhBl?iBUnBetB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhFxcB6jBVmBU?iBetB3sB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhFehBCdBxiBU?nBFoBXtB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhFehBRdBCiB/?sBFoBctB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhFxcB6jBVmB3?iBetBUsB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhF0cBxdBVmBG?jB/sBatB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhFicBWjBRmBF?oBUnBXtB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhF2hBXeBcoBR?mBqsBFsB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhFxcB+jBVmBa?nBftB8sB,v115@1gB8HeB8FeC8GeF8CeH8BeA8JeT6IvhF0hBxiBXhBS?oBmsBlsB
IZOJSTL,X,X,X,X,X,X,X,X,X,X,O
IZOJSLT,X,X,X,O,X,X,X,X,X,X,O
IZOSTLJ,O,X,X,X,X,X,X,X,X,X,O
IZOSTJL,O,X,X,X,X,X,X,X,X,X,O
IZOSLTJ,O,X,X,X,X,X,X,X,X,X,O
IZOSLJT,O,X,X,X,X,X,X,X,X,X,O
IZOSJTL,O,X,X,X,X,X,X,X,X,X,O
IZOSJLT,O,X,X,O,X,X,X,X,X,X,O
IOTLJSZ,X,X,O,X,X,O,X,X,X,X,X
IOTLJZS,X,X,O,X,X,O,X,O,O,X,X
IOTLSJZ,X,X,O,X,X,O,X,X,X,O,X
IOTLSZJ,X,X,X,X,X,X,X,O,X,X,X
IOTLZJS,X,X,O,X,X,O,X,O,O,X,X
IOTLZSJ,X,X,X,X,X,X,X,O,O,X,X
IOTJLSZ,X,X,O,X,X,O,X,X,X,X,X
IOTJLZS,X,X,O,X,X,O,O,O,O,X,X
IOTJSLZ,X,X,O,X,X,O,X,X,X,O,X
IOTJSZL,X,X,X,X,X,O,O,X,X,X,X
IOTJZLS,X,X,O,O,X,O,O,O,X,X,X
IOTJZSL,X,X,O,O,X,X,O,O,X,X,X
IOTSLJZ,X,X,O,X,X,O,O,X,X,O,X
IOTSLZJ,X,X,X,X,X,X,O,O,X,X,X
IOTSJLZ,X,X,O,X,X,O,O,X,X,O,X
IOTSJZL,X,X,X,X,X,X,O,X,X,X,X
IOTSZLJ,X,X,X,X,X,X,O,O,X,X,X
IOTSZJL,X,X,O,X,X,X,O,O,X,X,X
IOTZLJS,X,X,O,O,X,O,O,O,X,X,X
IOTZLSJ,X,X,X,X,X,X,O,O,X,X,X
IOTZJLS,X,X,O,O,X,O,O,O,X,X,X
IOTZJSL,X,X,O,O,X,X,O,O,X,X,X
IOTZSLJ,X,X,X,X,X,X,O,O,X,X,X
IOTZSJL,X,X,O,O,X,X,O,O,X,X,X
IOLTJSZ,X,X,O,X,X,O,X,X,X,X,X
IOLTJZS,X,X,O,X,X,O,X,O,O,X,X
IOLTSJZ,X,X,O,X,X,O,X,X,X,X,X
IOLTSZJ,X,X,X,X,X,X,X,O,X,X,X
IOLTZJS,X,X,O,X,X,O,X,O,O,X,X
IOLTZSJ,X,X,X,X,X,X,X,O,O,X,X
IOLJTSZ,X,O,O,X,X,O,X,X,X,X,X
IOLJTZS,X,O,O,X,X,O,X,O,O,X,X
IOLJSTZ,X,O,X,X,O,X,X,X,X,X,X
IOLJSZT,X,O,X,X,X,X,X,X,O,X,X
IOLJZTS,X,O,X,X,X,X,X,X,O,X,X
IOLJZST,X,X,X,X,X,X,X,X,O,X,X
IOLSTJZ,X,O,X,X,O,X,X,X,X,X,X
IOLSTZJ,O,X,X,X,X,X,X,O,X,X,X
IOLSJTZ,X,O,X,X,O,X,X,X,X,X,X
IOLSJZT,O,O,X,X,X,X,X,X,O,X,X
IOLSZTJ,O,X,X,X,X,X,X,X,O,X,X
IOLSZJT,O,O,X,X,X,X,X,X,O,X,X
IOLZTJS,X,X,X,X,X,X,X,O,O,X,X
IOLZTSJ,X,X,X,X,X,X,X,O,O,X,X
IOLZJTS,X,O,X,X,X,X,X,X,O,X,X
IOLZJST,X,X,X,X,X,X,X,X,O,X,X
IOLZSTJ,O,X,X,X,X,X,X,X,O,X,X
IOLZSJT,O,X,X,X,X,X,X,X,O,X,X
IOJTLSZ,X,O,O,X,X,O,X,X,X,X,X
IOJTLZS,X,O,O,X,X,O,O,O,O,X,X
IOJTSLZ,X,O,O,X,X,O,X,X,X,O,X
IOJTSZL,X,O,X,X,X,O,O,X,X,X,X
IOJTZLS,X,O,O,O,X,O,O,O,X,X,X
IOJTZSL,X,X,O,O,X,X,O,O,X,X,X
IOJLTSZ,X,O,O,X,X,O,X,X,X,X,X
IOJLTZS,X,O,O,X,X,O,O,O,O,X,X
IOJLSTZ,X,O,X,X,O,X,X,X,X,X,X
IOJLSZT,X,O,X,X,X,X,X,X,O,X,X
IOJLZTS,X,O,X,X,X,X,X,X,O,X,X
IOJLZST,X,X,X,X,X,X,X,X,O,X,X
IOJSTLZ,X,O,X,X,O,X,X,X,X,O,X
IOJSTZL,X,O,X,X,X,X,O,X,X,X,X
IOJSLTZ,X,O,X,X,O,X,X,X,X,X,X
IOJSLZT,X,O,X,X,X,X,X,X,O,X,X
IOJSZTL,X,O,X,X,X,X,X,X,X,X,X
IOJSZLT,X,O,X,X,X,X,X,X,X,X,X
IOJZTLS,X,O,X,O,X,X,O,X,X,X,O
IOJZTSL,X,O,X,O,X,X,O,X,X,X,O
IOJZLTS,X,O,X,O,X,X,X,X,O,X,O
IOJZLST,X,X,X,O,X,X,X,X,O,X,O
IOJZSTL,X,X,X,X,X,X,X,X,X,X,O
IOJZSLT,X,X,X,O,X,X,X,X,X,X,O
IOSTLJZ,X,O,X,X,O,X,X,X,X,O,X
IOSTLZJ,O,X,X,X,X,X,X,O,X,X,X
IOSTJLZ,X,O,X,X,O,X,X,X,X,O,X
IOSTJZL,X,O,X,X,X,X,X,X,X,X,X
IOSTZLJ,O,X,X,X,X,X,X,O,X,X,X
IOSTZJL,O,O,X,X,X,X,X,O,X,X,X
IOSLTJZ,X,O,X,X,O,X,X,X,X,X,X
IOSLTZJ,O,X,X,X,X,X,X,O,X,X,X
IOSLJTZ,X,O,X,X,O,X,X,X,X,X,X
IOSLJZT,O,O,X,X,X,X,X,X,O,X,X
IOSLZTJ,O,X,X,X,X,X,X,X,O,X,X
IOSLZJT,O,O,X,X,X,X,X,X,O,X,X
IOSJTLZ,X,O,X,X,O,X,X,X,X,O,X
IOSJTZL,X,O,X,X,X,X,X,X,X,X,X
IOSJLTZ,X,O,X,X,O,X,X,X,X,X,X
IOSJLZT,O,O,X,X,X,X,X,X,O,X,X
IOSJZTL,O,O,X,X,X,X,X,X,X,X,X
IOSJZLT,O,O,X,X,X,X,X,X,X,X,X
IOSZTLJ,O,X,X,X,X,X,X,X,X,X,X
IOSZTJL,O,O,X,X,X,X,X,X,X,X,X
IOSZLTJ,O,X,X,X,X,X,X,X,X,X,X
IOSZLJT,O,O,X,X,X,X,X,X,X,X,X
IOSZJTL,O,O,X,X,X,X,X,X,X,X,X
IOSZJLT,O,O,X,X,X,X,X,X,X,X,X
IOZTLJS,X,X,X,O,X,X,X,O,X,X,X
IOZTLSJ,X,X,X,X,X,X,X,O,X,X,O
IOZTJLS,X,X,X,O,X,X,X,O,X,X,O
IOZTJSL,X,X,X,O,X,X,X,O,X,X,O
IOZTSLJ,X,X,X,X,X,X,X,O,X,X,O
IOZTSJL,X,X,X,O,X,X,X,O,X,X,O
IOZLTJS,X,X,X,X,X,X,X,O,O,X,X
IOZLTSJ,X,X,X,X,X,X,X,O,O,X,O
IOZLJTS,X,O,X,O,X,X,X,X,O,X,O
IOZLJST,X,X,X,O,X,X,X,X,O,X,O
IOZLSTJ,O,X,X,X,X,X,X,X,O,X,O
IOZLSJT,O,X,X,X,X,X,X,X,O,X,O
IOZJTLS,X,O,X,O,X,X,X,X,X,X,O
IOZJTSL,X,O,X,O,X,X,X,X,X,X,O
IOZJLTS,X,O,X,O,X,X,X,X,O,X,O
IOZJLST,X,X,X,O,X,X,X,X,O,X,O
IOZJSTL,X,X,X,X,X,X,X,X,X,X,O
IOZJSLT,X,X,X,O,X,X,X,X,X,X,O
IOZSTLJ,O,X,X,X,X,X,X,X,X,X,O
IOZSTJL,O,X,X,X,X,X,X,X,X,X,O
IOZSLTJ,O,X,X,X,X,X,X,X,X,X,O
IOZSLJT,O,X,X,X,X,X,X,X,X,X,O
IOZSJTL,O,X,X,X,X,X,X,X,X,X,O
IOZSJLT,O,X,X,O,X,X,X,X,X,X,O
LTIJSZO,X,X,X,X,X,O,X,X,X,X,X
LTIJSOZ,X,X,O,X,X,O,X,X,X,X,X
LTIJZSO,X,X,O,X,X,X,X,O,O,X,X
LTIJZOS,X,X,O,X,X,O,X,O,O,X,X
LTIJOSZ,X,X,O,X,X,O,X,X,X,X,X
LTIJOZS,X,X,O,X,X,O,X,O,O,X,X
LTISJZO,X,X,X,X,X,X,X,X,X,O,X
LTISJOZ,X,X,X,X,X,X,X,X,X,O,X
LTISZJO,X,X,X,X,X,X,X,O,X,X,X
LTISZOJ,X,X,X,X,X,X,X,O,X,X,X
LTISOJZ,X,X,O,X,X,O,X,X,X,O,X
LTISOZJ,X,X,X,X,X,X,X,O,X,X,X
LTIZJSO,X,X,O,X,X,X,X,O,O,X,X
LTIZJOS,X,X,O,X,X,X,X,O,O,X,X
LTIZSJO,X,X,X,X,X,X,X,O,O,X,X
LTIZSOJ,X,X,X,X,X,X,X,O,O,X,X
LTIZOJS,X,X,O,X,X,O,X,O,O,X,X
LTIZOSJ,X,X,X,X,X,X,X,O,O,X,X
LTIOJSZ,X,X,O,X,X,O,X,X,X,X,X
LTIOJZS,X,X,O,X,X,O,X,O,O,X,X
LTIOSJZ,X,X,O,X,X,O,X,X,X,O,X
LTIOSZJ,X,X,X,X,X,X,X,O,X,X,X
LTIOZJS,X,X,O,X,X,O,X,O,O,X,X
LTIOZSJ,X,X,X,X,X,X,X,O,O,X,X
LTJISZO,X,O,X,X,X,O,X,X,X,X,X
LTJISOZ,X,O,O,X,X,O,X,X,X,X,X
LTJIZSO,X,X,O,X,X,X,X,X,X,X,X
LTJIZOS,X,O,O,X,X,O,O,X,X,X,X
LTJIOSZ,X,O,O,X,X,O,X,X,X,X,X
LTJIOZS,X,O,O,X,X,O,O,X,X,X,X
LTJSIZO,X,O,X,X,O,O,X,X,X,O,X
LTJSIOZ,X,O,O,X,O,O,X,X,X,O,X
LTJSZIO,X,O,O,X,O,O,X,X,X,O,X
LTJSZOI,X,O,O,X,O,O,X,X,X,O,X
LTJSOIZ,X,O,O,X,O,O,X,X,X,O,X
LTJSOZI,X,O,O,X,O,O,X,X,X,O,X
LTJZISO,X,O,O,O,X,X,X,X,X,X,X
LTJZIOS,X,O,O,O,X,O,O,X,X,X,X
LTJZSIO,X,O,O,O,X,O,X,X,X,X,X
LTJZSOI,X,O,O,O,X,O,X,X,X,X,X
LTJZOIS,X,O,O,O,X,O,O,X,X,X,X
LTJZOSI,X,O,O,O,X,O,O,X,X,X,X
LTJOISZ,X,O,O,X,X,O,X,X,X,X,X
LTJOIZS,X,O,O,X,X,O,O,X,X,X,X
LTJOSIZ,X,O,O,X,O,O,X,X,X,O,X
LTJOSZI,X,O,O,X,O,O,X,X,X,O,X
LTJOZIS,X,O,O,O,X,O,O,X,X,X,X
LTJOZSI,X,O,O,O,X,O,O,X,X,X,X
LTSIJZO,X,X,X,X,O,X,O,X,X,O,X
LTSIJOZ,X,X,X,X,O,X,O,X,X,O,X
LTSIZJO,O,X,X,X,X,X,O,X,X,X,X
LTSIZOJ,O,X,X,X,X,X,O,X,X,X,X
LTSIOJZ,X,O,O,X,O,O,O,X,X,O,X
LTSIOZJ,O,X,X,X,X,X,O,X,X,X,X
LTSJIZO,X,O,X,X,O,O,O,X,X,O,X
LTSJIOZ,X,O,O,X,O,O,O,X,X,O,X
LTSJZIO,O,O,O,X,O,O,O,X,X,O,X
LTSJZOI,O,O,O,X,O,O,O,X,X,O,X
LTSJOIZ,X,O,O,X,O,O,O,X,X,O,X
LTSJOZI,O,O,O,X,O,O,O,X,X,O,X
LTSZIJO,O,X,X,X,X,X,O,X,X,X,X
LTSZIOJ,O,X,X,X,X,X,O,X,X,X,X
LTSZJIO,O,X,X,X,O,X,O,X,X,O,X
LTSZJOI,O,X,X,X,O,X,O,X,X,O,X
LTSZOIJ,O,X,X,X,X,X,O,X,X,X,X
LTSZOJI,O,X,X,X,O,X,O,X,X,O,X
LTSOIJZ,X,O,O,X,O,O,O,X,X,O,X
LTSOIZJ,O,X,X,X,X,X,O,X,X,X,X
LTSOJIZ,X,O,O,X,O,O,O,X,X,O,X
LTSOJZI,O,O,O,X,O,O,O,X,X,O,X
LTSOZIJ,O,X,X,X,X,X,O,X,X,X,X
LTSOZJI,O,X,X,X,O,X,O,X,X,O,X
LTZIJSO,X,X,O,O,X,X,X,X,O,X,X
LTZIJOS,X,X,O,O,X,X,X,X,O,X,X
LTZISJO,X,X,X,X,X,X,X,X,O,X,X
LTZISOJ,X,X,X,X,X,X,X,X,O,X,X
LTZIOJS,X,X,O,O,X,O,O,X,O,X,X
LTZIOSJ,X,X,X,X,X,X,O,X,O,X,X
LTZJISO,X,O,O,O,X,X,X,X,X,X,X
LTZJIOS,X,O,O,O,X,O,O,X,X,X,X
LTZJSIO,X,O,O,O,X,O,X,X,X,X,X
LTZJSOI,X,O,O,O,X,O,X,X,X,X,X
LTZJOIS,X,O,O,O,X,O,O,X,X,X,X
LTZJOSI,X,O,O,O,X,O,O,X,X,X,X
LTZSIJO,O,X,X,X,X,X,O,X,O,X,X
LTZSIOJ,O,X,X,X,X,X,O,X,O,X,X
LTZSJIO,O,X,X,X,X,X,O,X,X,O,X
LTZSJOI,O,X,X,X,X,X,O,X,X,O,X
LTZSOIJ,O,X,X,X,X,X,O,X,O,X,X
LTZSOJI,O,X,X,X,X,X,O,X,X,O,X
LTZOIJS,X,X,O,O,X,O,O,X,O,X,X
LTZOISJ,X,X,X,X,X,X,O,X,O,X,X
LTZOJIS,X,O,O,O,X,O,O,X,X,X,X
LTZOJSI,X,O,O,O,X,O,O,X,X,X,X
LTZOSIJ,O,X,X,X,X,X,O,X,O,X,X
LTZOSJI,O,X,X,X,X,X,O,X,X,O,X
LTOIJSZ,X,X,O,X,X,O,X,X,X,X,X
LTOIJZS,X,X,O,X,X,O,X,O,O,X,X
LTOISJZ,X,X,O,X,X,O,X,X,X,O,X
LTOISZJ,X,X,X,X,X,X,X,O,X,X,X
LTOIZJS,X,X,O,X,X,O,X,O,O,X,X
LTOIZSJ,X,X,X,X,X,X,X,O,O,X,X
LTOJISZ,X,O,O,X,X,O,X,X,X,X,X
LTOJIZS,X,O,O,X,X,O,O,X,X,X,X
LTOJSIZ,X,O,O,X,O,O,X,X,X,O,X
LTOJSZI,X,O,O,X,O,O,X,X,X,O,X
LTOJZIS,X,O,O,O,X,O,O,X,X,X,X
LTOJZSI,X,O,O,O,X,O,O,X,X,X,X
LTOSIJZ,X,O,O,X,O,O,O,X,X,O,X
LTOSIZJ,O,X,X,X,X,X,O,X,X,X,X
LTOSJIZ,X,O,O,X,O,O,O,X,X,O,X
LTOSJZI,O,O,O,X,O,O,O,X,X,O,X
LTOSZIJ,O,X,X,X,X,X,O,X,X,X,X
LTOSZJI,O,X,X,X,O,X,O,X,X,O,X
LTOZIJS,X,X,O,O,X,O,O,X,O,X,X
LTOZISJ,X,X,X,X,X,X,O,X,O,X,X
LTOZJIS,X,O,O,O,X,O,O,X,X,X,X
LTOZJSI,X,O,O,O,X,O,O,X,X,X,X
LTOZSIJ,O,X,X,X,X,X,O,X,O,X,X
LTOZSJI,O,X,X,X,X,X,O,X,X,O,X
LITJSZO,X,X,X,X,X,O,X,X,X,X,X
LITJSOZ,X,X,O,X,X,O,X,X,X,X,X
LITJZSO,X,X,O,X,X,X,X,O,O,X,X
LITJZOS,X,X,O,X,X,O,X,O,O,X,X
LITJOSZ,X,X,O,X,X,O,X,X,X,X,X
LITJOZS,X,X,O,X,X,O,X,O,O,X,X
LITSJZO,X,X,X,X,X,X,X,X,X,X,X
LITSJOZ,X,X,X,X,X,X,X,X,X,X,X
LITSZJO,X,X,X,X,X,X,X,O,X,X,X
LITSZOJ,X,X,X,X,X,X,X,O,X,X,X
LITSOJZ,X,X,O,X,X,O,X,X,X,X,X
LITSOZJ,X,X,X,X,X,X,X,O,X,X,X
LITZJSO,X,X,X,X,X,X,X,O,O,X,X
LITZJOS,X,X,X,X,X,X,X,O,O,X,X
LITZSJO,X,X,X,X,X,X,X,O,O,X,X
LITZSOJ,X,X,X,X,X,X,X,O,O,X,X
LITZOJS,X,X,O,X,X,O,X,O,O,X,X
LITZOSJ,X,X,X,X,X,X,X,O,O,X,X
LITOJSZ,X,X,O,X,X,O,X,X,X,X,X
LITOJZS,X,X,O,X,X,O,X,O,O,X,X
LITOSJZ,X,X,O,X,X,O,X,X,X,X,X
LITOSZJ,X,X,X,X,X,X,X,O,X,X,X
LITOZJS,X,X,O,X,X,O,X,O,O,X,X
LITOZSJ,X,X,X,X,X,X,X,O,O,X,X
LIJTSZO,X,O,X,X,X,O,X,X,X,X,X
LIJTSOZ,X,O,O,X,X,O,X,X,X,X,X
LIJTZSO,X,X,O,X,X,X,X,O,O,X,X
LIJTZOS,X,O,O,X,X,O,X,O,O,X,X
LIJTOSZ,X,O,O,X,X,O,X,X,X,X,X
LIJTOZS,X,O,O,X,X,O,X,O,O,X,X
LIJSTZO,X,O,X,X,O,X,X,X,X,X,X
LIJSTOZ,X,O,X,X,O,X,X,X,X,X,X
LIJSZTO,X,O,X,X,X,X,X,X,O,X,X
LIJSZOT,X,O,X,X,X,X,X,X,O,X,X
LIJSOTZ,X,O,X,X,O,X,X,X,X,X,X
LIJSOZT,X,O,X,X,X,X,X,X,O,X,X
LIJZTSO,X,O,X,X,X,X,X,X,O,X,X
LIJZTOS,X,O,X,X,X,X,X,X,O,X,X
LIJZSTO,X,X,X,X,X,X,X,X,O,X,X
LIJZSOT,X,X,X,X,X,X,X,X,O,X,X
LIJZOTS,X,O,X,X,X,X,X,X,O,X,X
LIJZOST,X,X,X,X,X,X,X,X,O,X,X
LIJOTSZ,X,O,O,X,X,O,X,X,X,X,X
LIJOTZS,X,O,O,X,X,O,X,O,O,X,X
LIJOSTZ,X,O,X,X,O,X,X,X,X,X,X
LIJOSZT,X,O,X,X,X,X,X,X,O,X,X
LIJOZTS,X,O,X,X,X,X,X,X,O,X,X
LIJOZST,X,X,X,X,X,X,X,X,O,X,X
LISTJZO,X,X,X,X,O,X,X,X,X,X,X
LISTJOZ,X,X,X,X,O,X,X,X,X,X,X
LISTZJO,O,X,X,X,X,X,X,O,X,X,X
LISTZOJ,O,X,X,X,X,X,X,O,X,X,X
LISTOJZ,X,O,X,X,O,X,X,X,X,X,X
LISTOZJ,O,X,X,X,X,X,X,O,X,X,X
LISJTZO,X,O,X,X,O,X,X,X,X,X,X
LISJTOZ,X,O,X,X,O,X,X,X,X,X,X
LISJZTO,X,O,X,X,X,X,X,X,O,X,X
LISJZOT,X,O,X,X,X,X,X,X,O,X,X
LISJOTZ,X,O,X,X,O,X,X,X,X,X,X
LISJOZT,O,O,X,X,X,X,X,X,O,X,X
LISZTJO,O,X,X,X,X,X,X,X,O,X,X
LISZTOJ,O,X,X,X,X,X,X,X,O,X,X
LISZJTO,X,X,X,X,X,X,X,X,O,X,X
LISZJOT,O,X,X,X,X,X,X,X,O,X,X
LISZOTJ,O,X,X,X,X,X,X,X,O,X,X
LISZOJT,O,O,X,X,X,X,X,X,O,X,X
LISOTJZ,X,O,X,X,O,X,X,X,X,X,X
LISOTZJ,O,X,X,X,X,X,X,O,X,X,X
LISOJTZ,X,O,X,X,O,X,X,X,X,X,X
LISOJZT,O,O,X,X,X,X,X,X,O,X,X
LISOZTJ,O,X,X,X,X,X,X,X,O,X,X
LISOZJT,O,O,X,X,X,X,X,X,O,X,X
LIZTJSO,X,X,X,X,X,X,X,O,O,X,X
LIZTJOS,X,X,X,X,X,X,X,O,O,X,X
LIZTSJO,X,X,X,X,X,X,X,O,O,X,X
LIZTSOJ,X,X,X,X,X,X,X,O,O,X,X
LIZTOJS,X,X,X,X,X,X,X,O,O,X,X
LIZTOSJ,X,X,X,X,X,X,X,O,O,X,X
LIZJTSO,X,O,X,X,X,X,X,X,O,X,X
LIZJTOS,X,O,X,X,X,X,X,X,O,X,X
LIZJSTO,X,X,X,X,X,X,X,X,O,X,X
LIZJSOT,X,X,X,X,X,X,X,X,O,X,X
LIZJOTS,X,O,X,X,X,X,X,X,O,X,X
LIZJOST,X,X,X,X,X,X,X,X,O,X,X
LIZSTJO,O,X,X,X,X,X,X,X,O,X,X
LIZSTOJ,O,X,X,X,X,X,X,X,O,X,X
LIZSJTO,X,X,X,X,X,X,X,X,O,X,X
LIZSJOT,O,X,X,X,X,X,X,X,O,X,X
LIZSOTJ,O,X,X,X,X,X,X,X,O,X,X
LIZSOJT,O,X,X,X,X,X,X,X,O,X,X
LIZOTJS,X,X,X,X,X,X,X,O,O,X,X
LIZOTSJ,X,X,X,X,X,X,X,O,O,X,X
LIZOJTS,X,O,X,X,X,X,X,X,O,X,X
LIZOJST,X,X,X,X,X,X,X,X,O,X,X
LIZOSTJ,O,X,X,X,X,X,X,X,O,X,X
LIZOSJT,O,X,X,X,X,X,X,X,O,X,X
LIOTJSZ,X,X,O,X,X,O,X,X,X,X,X
LIOTJZS,X,X,O,X,X,O,X,O,O,X,X
LIOTSJZ,X,X,O,X,X,O,X,X,X,X,X
LIOTSZJ,X,X,X,X,X,X,X,O,X,X,X
LIOTZJS,X,X,O,X,X,O,X,O,O,X,X
LIOTZSJ,X,X,X,X,X,X,X,O,O,X,X
LIOJTSZ,X,O,O,X,X,O,X,X,X,X,X
LIOJTZS,X,O,O,X,X,O,X,O,O,X,X
LIOJSTZ,X,O,X,X,O,X,X,X,X,X,X
LIOJSZT,X,O,X,X,X,X,X,X,O,X,X
LIOJZTS,X,O,X,X,X,X,X,X,O,X,X
LIOJZST,X,X,X,X,X,X,X,X,O,X,X
LIOSTJZ,X,O,X,X,O,X,X,X,X,X,X
LIOSTZJ,O,X,X,X,X,X,X,O,X,X,X
LIOSJTZ,X,O,X,X,O,X,X,X,X,X,X
LIOSJZT,O,O,X,X,X,X,X,X,O,X,X
LIOSZTJ,O,X,X,X,X,X,X,X,O,X,X
LIOSZJT,O,O,X,X,X,X,X,X,O,X,X
LIOZTJS,X,X,X,X,X,X,X,O,O,X,X
LIOZTSJ,X,X,X,X,X,X,X,O,O,X,X
LIOZJTS,X,O,X,X,X,X,X,X,O,X,X
LIOZJST,X,X,X,X,X,X,X,X,O,X,X
LIOZSTJ,O,X,X,X,X,X,X,X,O,X,X
LIOZSJT,O,X,X,X,X,X,X,X,O,X,X
LJTISZO,X,O,X,X,X,O,X,X,X,X,X
LJTISOZ,X,O,O,X,X,O,X,X,X,X,X
LJTIZSO,X,X,O,X,X,X,X,X,X,X,X
LJTIZOS,X,O,O,X,X,O,O,X,X,X,X
LJTIOSZ,X,O,O,X,X,O,X,X,X,X,X
LJTIOZS,X,O,O,X,X,O,O,X,X,X,X
LJTSIZO,X,O,X,X,O,O,X,X,X,O,X
LJTSIOZ,X,O,O,X,O,O,X,X,X,O,X
LJTSZIO,X,O,O,X,O,O,X,X,X,O,X
LJTSZOI,X,O,O,X,O,O,X,X,X,O,X
LJTSOIZ,X,O,O,X,O,O,X,X,X,O,X
LJTSOZI,X,O,O,X,O,O,X,X,X,O,X
LJTZISO,X,O,O,O,X,X,X,X,X,X,X
LJTZIOS,X,O,O,O,X,O,O,X,X,X,X
LJTZSIO,X,O,O,O,X,O,X,X,X,X,X
LJTZSOI,X,O,O,O,X,O,X,X,X,X,X
LJTZOIS,X,O,O,O,X,O,O,X,X,X,X
LJTZOSI,X,O,O,O,X,O,O,X,X,X,X
LJTOISZ,X,O,O,X,X,O,X,X,X,X,X
LJTOIZS,X,O,O,X,X,O,O,X,X,X,X
LJTOSIZ,X,O,O,X,O,O,X,X,X,O,X
LJTOSZI,X,O,O,X,O,O,X,X,X,O,X
LJTOZIS,X,O,O,O,X,O,O,X,X,X,X
LJTOZSI,X,O,O,O,X,O,O,X,X,X,X
LJITSZO,X,O,X,X,X,O,X,X,X,X,X
LJITSOZ,X,O,O,X,X,O,X,X,X,X,X
LJITZSO,X,X,O,X,X,X,X,X,O,X,X
LJITZOS,X,O,O,X,X,O,O,X,O,X,X
LJITOSZ,X,O,O,X,X,O,X,X,X,X,X
LJITOZS,X,O,O,X,X,O,O,X,O,X,X
LJISTZO,X,O,X,X,O,X,X,X,X,X,X
LJISTOZ,X,O,X,X,O,X,X,X,X,X,X
LJISZTO,X,O,X,X,X,X,X,X,O,X,X
LJISZOT,X,O,X,X,X,X,X,X,O,X,X
LJISOTZ,X,O,X,X,O,X,X,X,X,X,X
LJISOZT,X,O,X,X,X,X,X,X,O,X,X
LJIZTSO,X,O,X,X,X,X,X,X,O,X,X
LJIZTOS,X,O,X,X,X,X,X,X,O,X,X
LJIZSTO,X,X,X,X,X,X,X,X,O,X,X
LJIZSOT,X,X,X,X,X,X,X,X,O,X,X
LJIZOTS,X,O,X,X,X,X,X,X,O,X,X
LJIZOST,X,X,X,X,X,X,X,X,O,X,X
LJIOTSZ,X,O,O,X,X,O,X,X,X,X,X
LJIOTZS,X,O,O,X,X,O,O,X,O,X,X
LJIOSTZ,X,O,X,X,O,X,X,X,X,X,X
LJIOSZT,X,O,X,X,X,X,X,X,O,X,X
LJIOZTS,X,O,X,X,X,X,X,X,O,X,X
LJIOZST,X,X,X,X,X,X,X,X,O,X,X
LJSTIZO,X,O,X,X,O,O,X,X,X,O,X
LJSTIOZ,X,O,O,X,O,O,X,X,X,O,X
LJSTZIO,O,O,O,X,O,O,X,X,X,O,X
LJSTZOI,O,O,O,X,O,O,X,X,X,O,X
LJSTOIZ,X,O,O,X,O,O,X,X,X,O,X
LJSTOZI,O,O,O,X,O,O,X,X,X,O,X
LJSITZO,X,O,X,X,O,X,X,X,X,X,X
LJSITOZ,X,O,X,X,O,X,X,X,X,X,X
LJSIZTO,X,O,X,X,X,X,X,X,X,X,X
LJSIZOT,X,O,X,X,X,X,X,X,X,X,X
LJSIOTZ,X,O,X,X,O,X,X,X,X,X,X
LJSIOZT,O,O,X,X,X,X,X,X,X,X,X
LJSZTIO,O,O,X,X,O,X,X,X,X,X,X
LJSZTOI,O,O,X,X,O,X,X,X,X,X,X
LJSZITO,X,O,X,X,X,X,X,X,X,X,X
LJSZIOT,O,O,X,X,X,X,X,X,X,X,X
LJSZOTI,O,O,X,X,O,X,X,X,X,X,X
LJSZOIT,O,O,X,X,X,X,X,X,X,X,X
LJSOTIZ,X,O,O,X,O,O,X,X,X,O,X
LJSOTZI,O,O,O,X,O,O,X,X,X,O,X
LJSOITZ,X,O,X,X,O,X,X,X,X,X,X
LJSOIZT,O,O,X,X,X,X,X,X,X,X,X
LJSOZTI,O,O,X,X,O,X,X,X,X,X,X
LJSOZIT,O,O,X,X,X,X,X,X,X,X,X
LJZTISO,X,O,O,O,X,X,X,X,X,X,X
LJZTIOS,X,O,O,O,X,O,X,X,X,X,X
LJZTSIO,X,O,O,O,X,O,X,X,X,X,X
LJZTSOI,X,O,O,O,X,O,X,X,X,X,X
