sequence,v115@zgC8GeB8HeB8HeF8CeG8BeB8JeR8IvhFGeBTgBihBU?jBFnB3sB,v115@zgC8GeB8HeB8HeF8CeG8BeB8JeC8IvhFxdB2lBlhB3?iBcoBTsB,v115@zgC8GeB8HeB8HeF8CeG8BeB8Je37IvhF1hB0dB6jBx?lBmnBTsB,v115@zgC8GeB8HeB8HeF8CeG8BeB8JeG8IvhF/iBFeBigBc?oBRmBTsB,v115@zgC8GeB8HeB8HeF8CeG8BeB8JeC8IvhFxdB2lBlhBc?nBTjB3sB,v115@zgC8GeB8HeB8HeF8CeG8BeB8Jez7IvhFRdBSjB2lBF?nBXoBUsB,v115@zgC8GeB8HeB8HeF8CeG8BeB8JeaBJvhFGeBTgBRiBF?nBXoBUsB,v115@zgC8GeB8HeB8HeF8CeG8BeB8JecAJvhFxcB6jBXhBe?oBFnBTsB,v115@zgC8GeB8HeB8HeF8CeG8BeB8JeaBJvhFxdBTgBGjBF?nB8sBfsB,v115@zgC8GeB8HeB8HeF8CeG8BeB8JeG+IvhFigBRiBzgBF?nBXoBUsB
IOSZTJL,O,X,O,O,O,X,X,X,X,X
IOSZLTJ,O,X,O,O,O,X,X,X,X,X
IOSZLJT,O,X,O,O,O,X,O,X,X,X
IOSZJTL,O,X,O,O,O,X,X,X,X,X
IOSZJLT,O,X,O,O,O,X,O,X,X,X
IOZTLJS,O,O,O,O,X,X,X,X,O,X
IOZTLSJ,O,O,O,O,X,X,X,X,X,X
IOZTJLS,O,O,O,X,X,X,X,X,O,X
IOZTJSL,O,O,O,O,X,X,X,X,X,X
IOZTSLJ,X,O,O,O,X,X,X,X,X,X
IOZTSJL,O,O,O,O,X,X,X,X,X,X
IOZLTJS,O,O,O,O,X,X,X,X,O,X
IOZLTSJ,O,O,O,O,X,X,X,X,X,X
IOZLJTS,O,O,O,O,X,X,X,X,O,X
IOZLJST,O,O,O,O,X,X,X,X,X,X
IOZLSTJ,O,O,O,O,X,X,X,X,X,X
IOZLSJT,O,O,O,O,X,X,X,X,X,X
IOZJTLS,O,O,O,X,X,X,X,X,O,X
IOZJTSL,O,O,O,O,X,X,X,X,X,X
IOZJLTS,O,O,O,O,X,X,X,X,O,X
IOZJLST,O,O,O,O,O,X,X,X,X,X
IOZJSTL,O,O,O,O,O,X,X,X,X,X
IOZJSLT,O,O,O,O,O,X,X,X,X,X
IOZSTLJ,O,O,O,O,O,X,X,X,X,X
IOZSTJL,O,O,O,O,O,X,X,X,X,X
IOZSLTJ,O,O,O,O,O,X,X,X,X,X
IOZSLJT,O,O,O,O,O,X,X,X,X,X
IOZSJTL,O,O,O,O,O,X,X,X,X,X
IOZSJLT,O,O,O,O,O,X,X,X,X,X
LTIJSZO,X,O,O,O,X,X,X,X,X,X
LTIJSOZ,X,O,O,X,X,X,X,X,X,X
LTIJZSO,O,O,O,O,X,X,X,X,X,X
LTIJZOS,O,O,O,X,X,X,X,X,X,X
LTIJOSZ,X,O,O,X,X,X,X,X,X,X
LTIJOZS,X,O,O,X,X,X,X,X,X,X
LTISJZO,X,O,O,O,X,X,X,X,X,O
LTISJOZ,X,O,O,X,X,X,X,X,X,O
LTISZJO,O,O,O,O,O,X,X,X,X,O
LTISZOJ,X,O,O,O,O,X,X,X,X,X
LTISOJZ,X,O,O,X,X,X,X,X,X,O
LTISOZJ,X,O,O,X,O,X,X,X,X,X
LTIZJSO,O,O,O,O,X,X,X,X,X,X
LTIZJOS,O,O,X,X,X,X,X,X,X,X
LTIZSJO,O,O,O,O,X,X,X,X,X,X
LTIZSOJ,X,O,O,O,X,X,X,X,X,X
LTIZOJS,O,O,X,X,X,X,X,X,X,X
LTIZOSJ,X,O,O,X,X,X,X,X,X,X
LTIOJSZ,X,O,O,X,X,X,X,X,X,X
LTIOJZS,X,O,O,X,X,X,X,X,X,X
LTIOSJZ,X,O,O,X,X,X,X,X,X,X
LTIOSZJ,X,O,O,X,X,X,X,X,X,X
LTIOZJS,O,O,O,X,X,X,X,X,X,X
LTIOZSJ,X,O,O,X,X,X,X,X,X,X
LTJISZO,X,O,O,O,X,X,X,X,X,X
LTJISOZ,X,O,O,X,X,X,X,X,X,X
LTJIZSO,O,O,O,O,X,X,X,X,X,X
LTJIZOS,O,O,O,X,X,X,X,X,X,X
LTJIOSZ,X,O,O,X,X,X,X,X,X,X
LTJIOZS,X,O,O,X,X,X,X,X,X,X
LTJSIZO,X,X,O,X,X,O,X,X,X,O
LTJSIOZ,X,X,X,X,X,O,X,X,X,O
LTJSZIO,X,X,O,X,O,O,X,X,X,X
LTJSZOI,X,X,O,X,O,O,X,X,X,X
LTJSOIZ,X,X,X,X,X,O,X,X,X,X
LTJSOZI,X,X,O,X,O,O,X,X,X,X
LTJZISO,O,O,O,O,X,X,X,X,X,X
LTJZIOS,O,O,O,X,X,X,X,X,X,X
LTJZSIO,O,O,O,X,X,X,X,O,X,X
LTJZSOI,X,X,O,X,X,X,X,O,X,X
LTJZOIS,O,X,X,O,X,X,X,X,X,X
LTJZOSI,X,X,O,O,X,X,X,X,X,X
LTJOISZ,X,O,X,O,X,X,X,X,X,X
LTJOIZS,X,O,X,O,X,X,X,X,X,X
LTJOSIZ,X,X,X,X,X,O,X,X,X,X
LTJOSZI,X,X,O,O,X,O,X,X,X,X
LTJOZIS,X,O,X,O,X,X,X,X,X,X
LTJOZSI,X,O,O,O,X,X,X,X,X,X
LTSIJZO,X,O,X,X,X,O,X,X,X,O
LTSIJOZ,X,O,X,X,X,O,O,X,X,O
LTSIZJO,O,O,X,X,O,O,X,X,X,O
LTSIZOJ,X,O,X,X,O,X,X,X,X,X
LTSIOJZ,X,O,X,X,X,O,O,X,X,O
LTSIOZJ,X,O,X,X,O,X,O,X,X,X
LTSJIZO,X,X,X,X,X,O,X,X,X,O
LTSJIOZ,X,X,X,X,X,O,O,X,X,O
LTSJZIO,X,X,X,X,O,O,X,X,X,X
LTSJZOI,X,X,X,X,O,O,X,X,X,X
LTSJOIZ,X,X,X,X,X,O,O,X,X,X
LTSJOZI,X,X,X,X,O,O,O,X,X,X
LTSZIJO,O,O,X,X,O,O,X,X,X,O
LTSZIOJ,X,O,X,X,O,X,X,X,X,X
LTSZJIO,O,O,X,X,O,O,X,X,X,X
LTSZJOI,X,X,X,X,O,O,X,X,X,X
LTSZOIJ,X,O,X,X,O,X,X,X,X,X
LTSZOJI,X,X,X,X,O,X,X,X,X,X
LTSOIJZ,X,O,X,X,X,O,O,X,X,O
LTSOIZJ,X,O,X,X,O,X,O,X,X,X
LTSOJIZ,X,X,X,X,X,O,O,X,X,X
LTSOJZI,X,X,X,X,O,O,O,X,X,X
LTSOZIJ,X,O,X,X,O,X,O,X,X,X
LTSOZJI,X,O,X,X,O,X,O,X,X,X
LTZIJSO,O,O,X,O,X,X,X,X,X,X
LTZIJOS,O,O,X,X,X,X,X,X,X,X
LTZISJO,O,O,X,O,X,X,X,X,X,X
LTZISOJ,X,O,X,O,X,X,X,X,X,X
LTZIOJS,O,O,X,X,X,X,X,X,X,X
LTZIOSJ,X,O,X,O,X,X,X,X,X,X
LTZJISO,O,O,X,O,X,X,X,X,X,X
LTZJIOS,O,O,X,X,X,X,X,X,X,X
LTZJSIO,O,O,X,X,X,X,X,O,X,X
LTZJSOI,X,X,X,X,X,X,X,O,X,X
LTZJOIS,O,X,X,O,X,X,X,X,X,X
LTZJOSI,O,X,X,O,X,X,X,X,X,X
LTZSIJO,O,O,X,X,O,X,X,O,X,O
LTZSIOJ,X,O,X,X,O,X,X,X,X,X
LTZSJIO,O,O,X,X,O,X,X,O,X,X
LTZSJOI,X,X,X,X,O,X,X,O,X,X
LTZSOIJ,X,O,X,O,O,X,X,X,X,X
LTZSOJI,X,X,X,O,O,X,X,X,X,X
LTZOIJS,O,O,X,O,X,X,X,X,X,X
LTZOISJ,O,O,X,O,X,X,X,X,X,X
LTZOJIS,O,O,X,O,X,X,X,X,X,X
LTZOJSI,O,O,X,O,X,X,X,X,X,X
LTZOSIJ,O,O,X,O,X,X,X,X,X,X
LTZOSJI,O,O,X,O,X,X,X,X,X,X
LTOIJSZ,X,O,O,O,X,X,X,X,X,X
LTOIJZS,O,O,O,O,X,X,X,X,X,X
LTOISJZ,X,O,O,O,X,X,O,X,X,X
LTOISZJ,O,O,O,O,X,X,O,X,X,X
LTOIZJS,O,O,O,O,X,X,X,X,X,X
LTOIZSJ,O,O,O,O,X,X,X,X,X,X
LTOJISZ,X,O,O,O,X,X,X,X,X,X
LTOJIZS,O,O,O,O,X,X,X,X,X,X
LTOJSIZ,X,X,O,X,X,X,O,X,X,X
LTOJSZI,X,X,O,O,X,X,O,X,X,X
LTOJZIS,O,O,O,O,X,X,X,X,X,X
LTOJZSI,O,O,O,O,X,X,X,X,X,X
LTOSIJZ,X,O,X,X,X,X,O,X,X,O
LTOSIZJ,O,O,X,X,O,X,O,X,X,X
LTOSJIZ,X,X,X,X,X,X,O,X,X,X
LTOSJZI,X,X,X,O,O,X,O,X,X,X
LTOSZIJ,O,O,X,O,O,X,O,X,X,X
LTOSZJI,O,O,X,O,O,X,O,X,X,X
LTOZIJS,O,O,X,O,X,X,X,X,X,X
LTOZISJ,O,O,X,O,X,X,X,X,X,X
LTOZJIS,O,O,X,O,X,X,X,X,X,X
LTOZJSI,O,O,X,O,X,X,X,X,X,X
LTOZSIJ,O,O,X,O,X,X,O,X,X,X
LTOZSJI,O,O,X,O,X,X,O,X,X,X
LITJSZO,X,X,O,O,X,X,X,X,X,X
LITJSOZ,X,X,O,X,X,X,X,X,X,X
LITJZSO,O,X,O,O,X,X,X,X,X,X
LITJZOS,O,X,O,X,X,X,X,X,X,X
LITJOSZ,X,X,O,X,X,X,X,X,X,X
LITJOZS,X,X,O,X,X,X,X,X,X,X
LITSJZO,X,X,O,O,X,X,X,X,X,O
LITSJOZ,X,X,O,X,X,X,X,X,X,O
LITSZJO,O,X,O,O,X,X,X,X,X,O
LITSZOJ,X,X,O,O,X,X,X,X,X,X
LITSOJZ,X,X,O,X,X,X,X,X,X,O
LITSOZJ,X,X,O,X,X,X,X,X,X,X
LITZJSO,O,X,O,O,X,X,X,X,X,X
LITZJOS,O,X,X,X,X,X,X,X,X,X
LITZSJO,O,X,O,O,X,X,X,X,X,X
LITZSOJ,X,X,O,O,X,X,X,X,X,X
LITZOJS,O,X,X,X,X,X,X,X,X,X
LITZOSJ,X,X,O,X,X,X,X,X,X,X
LITOJSZ,X,X,O,X,X,X,X,X,X,X
LITOJZS,X,X,O,X,X,X,X,X,X,X
LITOSJZ,X,X,O,X,X,X,X,X,X,X
LITOSZJ,X,X,O,X,X,X,X,X,X,X
LITOZJS,O,X,O,X,X,X,X,X,X,X
LITOZSJ,X,X,O,X,X,X,X,X,X,X
LIJTSZO,X,X,O,O,X,X,X,X,X,X
LIJTSOZ,X,X,O,X,X,X,X,X,X,X
LIJTZSO,O,X,O,O,X,X,X,X,X,X
LIJTZOS,O,X,O,X,X,X,X,X,X,X
LIJTOSZ,X,X,O,X,X,X,X,X,X,X
LIJTOZS,X,X,O,X,X,X,X,X,X,X
LIJSTZO,X,X,O,O,X,X,X,X,X,X
LIJSTOZ,X,X,O,X,X,X,X,X,X,X
LIJSZTO,O,X,O,O,X,X,X,X,X,X
LIJSZOT,O,X,O,O,X,X,X,X,X,X
LIJSOTZ,X,X,O,X,X,X,X,X,X,X
LIJSOZT,X,X,O,O,X,X,X,X,X,X
LIJZTSO,X,X,O,O,X,X,X,X,X,X
LIJZTOS,O,X,O,X,X,X,X,X,X,X
LIJZSTO,X,X,O,O,X,X,X,O,X,X
LIJZSOT,O,X,O,O,X,X,X,O,X,X
LIJZOTS,O,X,O,O,X,X,X,X,X,X
LIJZOST,O,X,O,O,X,X,X,X,X,X
LIJOTSZ,X,X,O,O,X,X,X,X,X,X
LIJOTZS,X,X,O,O,X,X,X,X,X,X
LIJOSTZ,X,X,O,O,X,X,X,X,X,X
LIJOSZT,X,X,O,O,X,X,X,X,X,X
LIJOZTS,X,X,O,O,X,X,X,X,X,X
LIJOZST,X,X,O,O,X,X,X,X,X,X
LISTJZO,X,X,O,O,X,X,X,X,X,O
LISTJOZ,X,X,O,X,X,X,X,X,X,O
LISTZJO,O,X,O,O,X,X,X,X,X,O
LISTZOJ,X,X,O,O,X,X,X,X,X,X
LISTOJZ,X,X,O,X,X,X,X,X,X,O
LISTOZJ,X,X,O,X,X,X,X,X,X,X
LISJTZO,X,X,O,O,X,X,X,X,X,O
LISJTOZ,X,X,O,X,X,X,X,X,X,O
LISJZTO,O,X,O,O,X,X,X,X,X,O
LISJZOT,O,X,O,O,X,X,X,X,X,O
LISJOTZ,X,X,O,X,X,X,X,X,X,O
LISJOZT,X,X,O,O,X,X,X,X,X,O
LISZTJO,O,X,O,O,X,X,X,X,X,X
LISZTOJ,X,X,O,O,X,X,X,X,X,X
LISZJTO,O,X,O,O,X,X,X,X,X,O
LISZJOT,O,X,O,O,X,X,X,X,X,O
LISZOTJ,X,X,O,O,X,X,X,X,X,X
LISZOJT,O,X,O,O,X,X,X,X,X,X
LISOTJZ,X,X,O,X,X,X,X,X,X,X
LISOTZJ,X,X,O,X,X,X,X,X,X,X
LISOJTZ,X,X,O,X,X,X,X,X,X,O
LISOJZT,X,X,O,O,X,X,X,X,X,O
LISOZTJ,X,X,O,O,X,X,X,X,X,X
LISOZJT,O,X,O,O,X,X,X,X,X,X
LIZTJSO,O,X,O,O,X,X,X,X,X,X
LIZTJOS,O,X,X,X,X,X,X,X,X,X
LIZTSJO,O,X,O,O,X,X,X,X,X,X
LIZTSOJ,X,X,O,O,X,X,X,X,X,X
LIZTOJS,O,X,X,X,X,X,X,X,X,X
LIZTOSJ,X,X,O,O,X,X,X,X,X,X
LIZJTSO,X,X,O,O,X,X,X,X,X,X
LIZJTOS,O,X,O,X,X,X,X,X,X,X
LIZJSTO,X,X,O,O,X,X,X,O,X,X
LIZJSOT,O,X,O,O,X,X,X,O,X,X
LIZJOTS,O,X,O,O,X,X,X,X,X,X
LIZJOST,O,X,O,O,X,X,X,X,X,X
LIZSTJO,O,X,O,O,X,X,X,O,X,X
LIZSTOJ,X,X,O,O,X,X,X,X,X,X
LIZSJTO,O,X,O,O,X,X,X,O,X,X
LIZSJOT,O,X,O,O,X,X,X,O,X,X
LIZSOTJ,X,X,O,O,X,X,X,X,X,X
LIZSOJT,O,X,O,O,X,X,X,O,X,X
LIZOTJS,X,X,O,O,X,X,X,X,X,X
LIZOTSJ,X,X,O,O,X,X,X,X,X,X
LIZOJTS,O,X,O,O,X,X,X,X,X,X
LIZOJST,O,X,O,O,X,X,X,X,X,X
LIZOSTJ,X,X,O,O,X,X,X,X,X,X
LIZOSJT,X,X,O,O,X,X,X,X,X,X
LIOTJSZ,X,X,O,O,X,X,X,X,X,X
LIOTJZS,X,X,O,O,X,X,X,X,X,X
LIOTSJZ,X,X,O,O,X,X,X,X,X,X
LIOTSZJ,X,X,O,O,X,X,X,X,X,X
LIOTZJS,O,X,O,O,X,X,X,X,X,X
LIOTZSJ,X,X,O,O,X,X,X,X,X,X
LIOJTSZ,X,X,O,O,X,X,X,X,X,X
LIOJTZS,X,X,O,O,X,X,X,X,X,X
LIOJSTZ,X,X,O,O,X,X,X,X,X,X
LIOJSZT,X,X,O,O,X,X,X,X,X,X
LIOJZTS,X,X,O,O,X,X,X,X,X,X
LIOJZST,X,X,O,O,X,X,X,X,X,X
LIOSTJZ,X,X,O,O,X,X,X,X,X,X
LIOSTZJ,X,X,O,O,X,X,X,X,X,X
LIOSJTZ,X,X,O,O,X,X,X,X,X,X
LIOSJZT,X,X,O,O,X,X,X,X,X,X
LIOSZTJ,X,X,O,O,X,X,X,X,X,X
LIOSZJT,O,X,O,O,X,X,X,X,X,X
LIOZTJS,X,X,O,O,X,X,X,X,X,X
LIOZTSJ,X,X,O,O,X,X,X,X,X,X
LIOZJTS,O,X,O,O,X,X,X,X,X,X
LIOZJST,O,X,O,O,X,X,X,X,X,X
LIOZSTJ,X,X,O,O,X,X,X,X,X,X
LIOZSJT,X,X,O,O,X,X,X,X,X,X
LJTISZO,X,O,O,O,O,X,X,X,X,X
LJTISOZ,X,O,O,X,O,X,X,X,X,X
LJTIZSO,O,O,O,O,X,X,X,X,X,X
LJTIZOS,O,O,O,X,X,X,X,X,X,X
LJTIOSZ,X,O,O,X,X,X,X,X,X,X
LJTIOZS,X,O,O,X,X,X,X,X,X,X
LJTSIZO,X,O,O,X,O,O,X,X,X,O
LJTSIOZ,X,O,X,X,O,O,X,X,X,O
LJTSZIO,X,O,O,X,O,O,X,X,X,X
LJTSZOI,X,O,O,X,O,O,X,X,X,X
LJTSOIZ,X,O,X,X,O,O,X,X,X,X
LJTSOZI,X,O,O,X,O,O,X,X,X,X
LJTZISO,O,O,O,O,X,X,X,X,X,X
LJTZIOS,O,O,O,X,X,X,X,X,X,X
LJTZSIO,O,O,O,X,O,X,X,O,X,X
LJTZSOI,X,O,O,X,O,X,X,O,X,X
LJTZOIS,O,O,X,O,X,X,X,X,X,X
LJTZOSI,X,O,O,O,X,X,X,X,X,X
LJTOISZ,X,O,X,O,O,X,X,X,X,X
LJTOIZS,X,O,X,O,X,X,X,X,X,X
LJTOSIZ,X,O,X,X,O,O,X,X,X,X
LJTOSZI,X,O,O,O,O,O,X,X,X,X
LJTOZIS,X,O,X,O,X,X,X,X,X,X
LJTOZSI,X,O,O,O,X,X,X,X,X,X
LJITSZO,X,O,O,O,O,X,X,X,X,X
LJITSOZ,X,O,O,X,O,X,X,X,X,X
LJITZSO,O,O,O,O,X,X,X,X,X,X
LJITZOS,O,O,O,X,X,X,X,X,X,X
LJITOSZ,X,O,O,X,X,X,X,X,X,X
LJITOZS,X,O,O,X,X,X,X,X,X,X
LJISTZO,X,X,O,O,O,X,X,X,X,X
LJISTOZ,X,X,O,X,O,X,X,X,X,X
LJISZTO,O,X,O,O,O,X,X,X,X,X
LJISZOT,O,X,O,O,O,X,X,X,X,X
LJISOTZ,X,X,O,X,O,X,X,X,X,X
LJISOZT,X,X,O,O,O,X,X,X,X,X
LJIZTSO,X,O,O,O,X,X,X,X,X,X
LJIZTOS,O,O,O,X,X,X,X,X,X,X
LJIZSTO,X,O,O,O,X,X,X,O,X,X
LJIZSOT,O,O,O,O,X,X,X,O,X,X
LJIZOTS,O,O,O,O,X,X,X,X,X,X
LJIZOST,O,O,O,O,X,X,X,X,X,X
LJIOTSZ,X,O,O,O,O,X,X,X,X,X
LJIOTZS,X,O,O,O,X,X,X,X,X,X
LJIOSTZ,X,X,O,O,O,X,X,X,X,X
LJIOSZT,X,X,O,O,O,X,X,X,X,X
LJIOZTS,X,O,O,O,X,X,X,X,X,X
LJIOZST,X,O,O,O,O,X,X,X,X,X
LJSTIZO,X,O,O,X,O,O,X,X,X,O
LJSTIOZ,X,O,X,X,O,O,X,X,X,O
LJSTZIO,X,O,O,X,O,O,X,X,X,X
LJSTZOI,X,O,O,X,O,O,X,X,X,X
LJSTOIZ,X,O,X,X,O,O,X,X,X,X
LJSTOZI,X,O,O,X,O,O,X,X,X,X
LJSITZO,X,X,O,O,O,O,X,X,X,O
LJSITOZ,X,X,O,X,O,O,X,X,X,O
LJSIZTO,O,X,O,O,O,O,X,X,X,O
LJSIZOT,O,X,O,O,O,O,X,X,X,O
LJSIOTZ,X,X,O,X,O,O,X,X,X,O
LJSIOZT,X,X,O,O,O,O,X,X,X,O
LJSZTIO,O,O,O,X,O,O,X,O,X,X
LJSZTOI,X,O,O,X,O,O,X,O,X,X
LJSZITO,O,O,O,O,O,O,X,O,X,O
LJSZIOT,O,O,X,O,O,O,X,O,X,O
LJSZOTI,X,O,X,O,O,O,X,O,X,X
LJSZOIT,O,O,X,O,O,O,X,O,X,X
LJSOTIZ,X,O,X,X,O,O,X,X,X,X
LJSOTZI,X,O,X,O,O,O,X,X,X,X
LJSOITZ,X,X,X,O,O,O,X,X,X,O
LJSOIZT,X,X,X,O,O,O,X,X,X,O
LJSOZTI,X,O,X,O,O,O,X,X,X,X
LJSOZIT,X,O,X,O,O,O,X,X,X,X
LJZTISO,X,O,O,O,X,X,X,X,X,X
LJZTIOS,O,O,O,X,X,X,X,X,X,X
LJZTSIO,X,O,O,X,O,X,X,O,X,X
LJZTSOI,X,O,O,X,O,X,X,O,X,X
LJZTOIS,X,O,X,O,X,X,X,X,O,X
LJZTOSI,X,O,O,O,X,X,X,X,O,X
LJZITSO,X,O,O,O,X,X,X,X,X,X
LJZITOS,O,O,O,X,X,X,X,X,X,X
LJZISTO,X,O,O,O,X,X,X,O,X,X
LJZISOT,O,O,O,O,X,X,X,O,X,X
LJZIOTS,O,O,O,O,X,X,X,X,X,X
LJZIOST,O,O,O,O,X,X,X,X,X,X
LJZSTIO,X,O,O,X,O,X,X,O,X,X
LJZSTOI,X,O,O,X,O,X,X,O,X,X
LJZSITO,X,O,O,O,O,X,X,O,X,X
LJZSIOT,O,O,X,O,O,X,X,O,X,X
LJZSOTI,X,O,X,O,O,X,X,O,X,X
LJZSOIT,X,O,X,O,O,X,X,O,X,X
LJZOTIS,X,O,X,O,X,X,X,X,O,X
LJZOTSI,X,O,O,O,X,X,X,X,O,X
LJZOITS,O,O,O,O,X,X,X,X,O,X
LJZOIST,O,O,X,O,O,X,X,X,X,X
LJZOSTI,X,O,X,O,O,X,X,O,O,X
LJZOSIT,X,O,X,O,O,X,X,O,X,X
LJOTISZ,X,O,O,O,O,X,X,X,X,X
LJOTIZS,X,O,O,O,X,X,X,X,X,X
LJOTSIZ,X,O,O,X,O,O,X,X,X,X
LJOTSZI,X,O,O,O,O,O,X,X,X,X
LJOTZIS,X,O,O,O,X,X,X,X,O,X
LJOTZSI,X,O,O,O,X,X,X,X,O,X
LJOITSZ,X,O,O,O,O,X,X,X,X,X
LJOITZS,X,O,O,O,X,X,X,X,X,X
LJOISTZ,X,X,O,O,O,X,X,X,X,X
LJOISZT,X,X,O,O,O,X,X,X,X,X
LJOIZTS,X,O,O,O,X,X,X,X,O,X
LJOIZST,X,O,O,O,O,X,X,X,X,X
LJOSTIZ,X,O,O,X,O,O,X,X,X,X
LJOSTZI,X,O,O,O,O,O,X,X,X,X
LJOSITZ,X,X,O,O,O,O,X,X,X,X
LJOSIZT,X,X,O,O,O,O,X,X,X,X
LJOSZTI,X,O,O,O,O,O,X,X,O,X
LJOSZIT,X,O,O,O,O,O,X,X,X,X
LJOZTIS,X,O,O,O,X,X,X,X,O,X
LJOZTSI,X,O,O,O,X,X,X,X,O,X
LJOZITS,X,O,O,O,X,X,X,X,O,X
LJOZIST,X,O,O,O,O,X,X,X,X,X
LJOZSTI,X,O,O,O,O,X,X,O,O,X
LJOZSIT,X,O,O,O,O,X,X,O,X,X
LSTIJZO,O,X,X,X,X,O,X,X,X,O
LSTIJOZ,X,X,X,X,X,O,O,X,X,O
LSTIZJO,O,X,X,X,O,O,X,X,X,O
LSTIZOJ,O,X,X,X,O,X,X,X,X,X
LSTIOJZ,X,X,X,X,X,O,O,X,X,O
LSTIOZJ,O,X,X,X,O,X,O,X,X,X
LSTJIZO,O,X,X,X,X,O,X,X,X,O
LSTJIOZ,X,X,X,X,X,O,O,X,X,O
LSTJZIO,O,X,X,X,O,O,X,X,X,X
LSTJZOI,O,X,X,X,O,O,X,X,X,X
LSTJOIZ,X,X,X,X,X,O,O,X,X,X
LSTJOZI,X,X,X,X,O,O,O,X,X,X
LSTZIJO,O,X,X,X,O,O,X,X,X,O
LSTZIOJ,O,X,X,X,O,X,X,X,X,X
LSTZJIO,O,X,X,X,O,O,X,X,X,X
LSTZJOI,O,X,X,X,O,O,X,X,X,X
LSTZOIJ,O,X,X,X,O,X,X,X,X,X
LSTZOJI,O,X,X,X,O,X,X,X,X,X
LSTOIJZ,O,X,X,X,X,O,O,X,X,O
LSTOIZJ,O,X,X,X,O,X,O,X,X,X
LSTOJIZ,O,X,X,X,X,O,O,X,X,X
LSTOJZI,O,X,X,X,O,O,O,X,X,X
LSTOZIJ,O,X,X,X,O,X,O,X,X,X
LSTOZJI,O,X,X,X,O,X,O,X,X,X
LSITJZO,X,X,O,O,X,O,X,X,X,O
LSITJOZ,X,X,O,X,X,O,X,X,X,O
LSITZJO,O,X,O,O,X,O,X,X,X,O
LSITZOJ,X,X,O,O,X,X,X,X,X,X
LSITOJZ,X,X,O,X,X,O,X,X,X,O
LSITOZJ,X,X,O,X,X,X,X,X,X,X
LSIJTZO,X,X,O,O,X,O,X,X,X,O
LSIJTOZ,X,X,O,X,X,O,X,X,X,O
LSIJZTO,O,X,O,O,X,O,X,X,X,O
LSIJZOT,O,X,O,O,X,O,X,X,X,O
LSIJOTZ,X,X,O,X,X,O,O,X,X,O
LSIJOZT,X,X,O,O,X,O,O,X,X,O
LSIZTJO,O,X,O,O,X,O,X,X,X,X
LSIZTOJ,X,X,O,O,X,X,X,X,X,X
LSIZJTO,O,X,O,O,X,O,X,X,X,O
LSIZJOT,O,X,O,O,X,O,X,X,X,O
LSIZOTJ,X,X,O,O,X,X,X,X,X,X
LSIZOJT,O,X,O,O,X,X,X,X,X,X
LSIOTJZ,X,X,O,X,X,O,O,X,X,X
LSIOTZJ,X,X,O,X,X,X,X,X,X,X
LSIOJTZ,X,X,O,X,X,O,O,X,X,O
LSIOJZT,X,X,O,O,X,O,O,X,X,O
LSIOZTJ,X,X,O,O,X,X,X,X,X,X
LSIOZJT,O,X,O,O,X,X,O,X,X,X
LSJTIZO,X,X,O,X,O,O,X,X,X,O
LSJTIOZ,X,X,X,X,O,O,O,X,X,O
LSJTZIO,X,X,O,X,O,O,X,X,X,X
LSJTZOI,X,X,O,X,O,O,X,X,X,X
LSJTOIZ,X,X,X,X,O,O,O,X,X,X
LSJTOZI,X,X,O,X,O,O,O,X,X,X
LSJITZO,X,X,O,O,O,O,X,X,X,O
LSJITOZ,X,X,O,X,O,O,X,X,X,O
LSJIZTO,O,X,O,O,O,O,X,X,X,O
LSJIZOT,O,X,O,O,O,O,X,X,X,O
LSJIOTZ,X,X,O,X,O,O,O,X,X,O
LSJIOZT,X,X,O,O,O,O,O,X,X,O
LSJZTIO,O,X,O,X,O,O,X,O,X,X
LSJZTOI,X,X,O,X,O,O,X,O,X,X
LSJZITO,O,X,O,O,O,O,X,O,X,O
LSJZIOT,O,X,X,O,O,O,X,O,X,O
LSJZOTI,X,X,X,O,O,O,X,O,X,X
LSJZOIT,O,X,X,O,O,O,X,O,X,X
LSJOTIZ,X,X,X,X,O,O,O,X,X,X
LSJOTZI,X,X,X,O,O,O,O,X,X,X
LSJOITZ,X,X,X,O,O,O,O,X,X,O
LSJOIZT,X,X,X,O,O,O,O,X,X,O
LSJOZTI,X,X,X,O,O,O,O,X,X,X
LSJOZIT,X,X,X,O,O,O,O,X,X,X
LSZTIJO,O,X,X,X,O,O,X,O,X,O
LSZTIOJ,O,X,X,X,O,X,X,X,X,X
LSZTJIO,O,X,X,X,O,O,X,O,X,X
LSZTJOI,O,X,X,X,O,O,X,O,X,X
LSZTOIJ,O,X,X,O,O,X,X,X,X,X
LSZTOJI,O,X,X,O,O,X,X,X,X,X
LSZITJO,O,X,X,O,O,O,X,O,X,X
LSZITOJ,X,X,X,O,O,X,X,X,X,X
LSZIJTO,O,X,X,O,O,O,X,O,X,O
LSZIJOT,O,X,X,O,O,O,X,O,X,O
LSZIOTJ,X,X,X,O,X,X,X,X,X,X
LSZIOJT,O,X,X,O,X,X,X,O,X,X
LSZJTIO,O,X,X,X,O,O,X,O,X,X
LSZJTOI,O,X,X,X,O,O,X,O,X,X
LSZJITO,O,X,X,O,O,O,X,O,X,O
LSZJIOT,O,X,X,O,O,O,X,O,X,O
LSZJOTI,O,X,X,O,O,O,X,O,X,X
LSZJOIT,O,X,X,O,O,O,X,O,X,X
