sequence,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8JeT6IvhFOgBxcB?FhB8mB6pBfrB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8JeT7IvhFxcB/kB?mhBllBcrB6pB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8Je2/IvhFfhBxcB?zhBUgB6pBFrB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8Jex6IvhFTcBOiB?/kBllBcrBCqB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8JeO/IvhFTbBXdB?5kBylB0hBFrB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8Je07IvhFxcB/kB?2lBzhBFrB6pB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8JeK/IvhFfhBxcB?UgBzhBupBFrB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8JeOAJvhFxcBTfB?FhB8mBfrB6pB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8JeT6IvhFxbBXdB?6pB0lBlmBmqB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8JeR7IvhFOiB6lB?lkBTmB/pBcrB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8JeOAJvhFxcB/kB?8mBzlB6pBFrB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8JeT8IvhFOiBxfB?/kBllBcrBCqB,v115@7gB8GeC8GeD8AeA8CeE8AeB8AeE8JeT/IvhF/lBRhB?mgBFiBcrB6pB
ISJLOTZ,O,X,X,X,O,X,X,X,O,X,X,X,X
ISJLOZT,O,X,X,X,O,X,X,X,X,X,X,X,X
ISJZTLO,O,O,X,O,O,X,X,O,X,X,X,X,X
ISJZTOL,O,O,X,O,X,X,X,O,X,X,X,X,X
ISJZLTO,O,O,X,O,X,X,X,X,X,X,X,X,X
ISJZLOT,O,X,X,O,O,X,X,X,X,X,X,X,X
ISJZOTL,X,O,X,O,X,X,X,O,X,X,O,X,X
ISJZOLT,O,X,X,O,X,X,X,X,X,X,O,X,X
ISJOTLZ,X,X,X,X,O,O,X,X,X,X,X,X,X
ISJOTZL,X,X,X,X,X,O,X,X,X,X,X,X,X
ISJOLTZ,O,X,X,X,O,X,X,X,X,X,X,X,X
ISJOLZT,O,X,X,X,O,X,X,X,X,X,X,X,X
ISJOZTL,X,O,X,O,X,X,X,O,X,X,O,X,O
ISJOZLT,X,X,X,O,X,X,X,X,X,X,O,X,O
ISZTLJO,O,O,X,O,O,X,X,O,X,X,X,X,X
ISZTLOJ,O,X,X,O,O,X,X,O,O,X,X,X,X
ISZTJLO,O,O,X,O,O,X,X,O,X,X,X,X,X
ISZTJOL,O,O,X,O,X,X,X,O,X,X,X,X,X
ISZTOLJ,O,X,X,O,X,X,X,O,X,X,X,X,O
ISZTOJL,O,O,X,O,X,O,X,O,X,X,O,X,O
ISZLTJO,O,O,X,O,X,X,X,X,X,X,X,X,X
ISZLTOJ,O,X,X,O,X,X,X,X,O,X,X,X,X
ISZLJTO,O,O,X,O,X,X,X,X,X,X,X,X,X
ISZLJOT,O,X,X,O,O,X,X,X,X,X,X,X,X
ISZLOTJ,O,X,X,X,X,X,X,X,O,X,X,X,O
ISZLOJT,O,X,X,O,O,X,X,X,X,X,O,X,O
ISZJTLO,O,O,X,O,O,X,X,O,X,X,X,X,X
ISZJTOL,O,O,X,O,X,X,X,O,X,X,X,X,X
ISZJLTO,O,O,X,O,X,X,X,X,X,X,X,X,X
ISZJLOT,O,X,X,O,O,X,X,X,X,X,X,X,X
ISZJOTL,X,O,X,O,X,X,X,O,X,X,O,X,O
ISZJOLT,O,X,X,O,X,X,X,X,X,X,O,X,O
ISZOTLJ,X,X,X,O,X,X,X,O,X,X,X,X,O
ISZOTJL,X,O,X,O,X,O,X,O,X,X,O,X,O
ISZOLTJ,O,X,X,X,X,X,X,X,X,X,X,X,O
ISZOLJT,O,X,X,O,X,X,X,X,X,X,O,X,O
ISZOJTL,X,O,X,O,X,X,X,O,X,X,O,X,O
ISZOJLT,O,X,X,O,X,X,X,X,X,X,O,X,O
ISOTLJZ,X,X,O,X,O,O,O,X,O,X,X,X,X
ISOTLZJ,X,X,O,X,O,X,O,X,O,X,X,X,X
ISOTJLZ,X,X,O,X,O,O,O,X,X,X,X,X,X
ISOTJZL,X,X,X,X,X,O,X,X,X,X,X,X,X
ISOTZLJ,X,X,O,X,X,X,O,X,X,X,X,X,O
ISOTZJL,X,X,X,X,X,O,X,X,X,X,X,X,O
ISOLTJZ,O,X,O,X,O,O,O,X,O,X,X,X,X
ISOLTZJ,X,X,O,X,X,X,O,X,O,X,X,X,X
ISOLJTZ,O,X,X,X,O,X,X,X,O,X,X,X,X
ISOLJZT,O,X,X,X,O,X,X,X,X,X,X,X,X
ISOLZTJ,X,X,X,X,X,X,X,X,O,X,X,X,O
ISOLZJT,O,X,X,X,O,X,X,X,X,X,X,X,O
ISOJTLZ,X,X,X,X,O,O,X,X,X,X,X,X,X
ISOJTZL,X,X,X,X,X,O,X,X,X,X,X,X,X
ISOJLTZ,O,X,X,X,O,X,X,X,X,X,X,X,X
ISOJLZT,O,X,X,X,O,X,X,X,X,X,X,X,X
ISOJZTL,X,O,X,O,X,X,X,O,X,X,O,X,O
ISOJZLT,X,X,X,O,X,X,X,X,X,X,O,X,O
ISOZTLJ,X,X,X,O,X,X,X,O,X,X,X,X,O
ISOZTJL,X,O,X,O,X,O,X,O,X,X,O,X,O
ISOZLTJ,X,X,X,X,X,X,X,X,X,X,X,X,O
ISOZLJT,X,X,X,O,X,X,X,X,X,X,O,X,O
ISOZJTL,X,O,X,O,X,X,X,O,X,X,O,X,O
ISOZJLT,X,X,X,O,X,X,X,X,X,X,O,X,O
IZTLJSO,X,O,X,X,O,X,X,X,O,X,X,X,X
IZTLJOS,O,O,X,X,O,X,X,X,O,X,X,O,X
IZTLSJO,O,O,X,X,O,X,X,X,O,X,X,X,X
IZTLSOJ,O,X,X,X,O,X,X,X,O,X,X,X,X
IZTLOJS,O,X,O,X,O,X,X,X,O,X,X,O,X
IZTLOSJ,O,X,O,X,O,X,O,X,O,X,X,X,X
IZTJLSO,X,O,X,X,O,X,X,X,X,X,X,X,X
IZTJLOS,O,O,X,X,O,X,X,X,X,X,X,O,X
IZTJSLO,X,O,X,O,O,X,X,X,X,X,X,X,X
IZTJSOL,X,O,X,O,X,X,X,X,X,X,X,O,X
IZTJOLS,X,O,X,X,X,X,X,X,X,X,X,O,X
IZTJOSL,X,O,X,O,X,X,X,X,X,X,X,O,X
IZTSLJO,O,O,X,O,O,X,X,X,O,X,X,X,X
IZTSLOJ,O,X,X,O,O,X,X,X,O,X,X,X,X
IZTSJLO,O,O,X,O,O,X,X,X,O,X,X,X,X
IZTSJOL,X,O,X,O,X,X,X,X,X,X,X,O,X
IZTSOLJ,X,X,X,O,X,X,X,X,O,X,X,X,X
IZTSOJL,X,O,X,O,X,O,X,X,X,X,O,O,X
IZTOLJS,X,X,O,X,X,X,X,X,X,X,X,O,X
IZTOLSJ,X,X,O,X,X,X,O,X,X,X,X,X,X
IZTOJLS,X,O,X,X,X,O,X,X,X,X,X,O,X
IZTOJSL,X,O,X,O,X,O,X,X,X,X,O,O,X
IZTOSLJ,X,X,O,O,X,X,O,X,X,X,X,X,X
IZTOSJL,X,O,X,O,X,O,X,X,X,X,O,O,X
IZLTJSO,X,O,X,X,X,X,X,X,O,X,X,X,X
IZLTJOS,O,O,X,X,X,X,X,X,O,X,X,X,X
IZLTSJO,O,O,X,X,X,X,X,X,O,X,X,X,X
IZLTSOJ,O,X,X,X,X,X,X,X,O,X,X,X,X
IZLTOJS,O,X,O,X,X,X,X,X,O,X,X,X,X
IZLTOSJ,O,X,O,X,X,X,O,X,O,X,X,X,X
IZLJTSO,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLJTOS,O,O,X,X,X,X,X,X,X,X,X,X,X
IZLJSTO,O,O,X,X,X,X,X,X,X,X,X,X,X
IZLJSOT,O,X,X,X,O,X,X,X,X,X,X,X,X
IZLJOTS,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLJOST,O,X,X,X,O,X,X,X,X,X,X,X,X
IZLSTJO,O,O,X,X,X,X,X,X,X,X,X,X,X
IZLSTOJ,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLSJTO,O,O,X,X,X,X,X,X,X,X,X,X,X
IZLSJOT,O,X,X,X,O,X,X,X,X,X,X,X,X
IZLSOTJ,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLSOJT,O,X,X,X,O,X,X,X,X,X,O,X,X
IZLOTJS,O,X,O,X,X,X,X,X,O,X,X,X,X
IZLOTSJ,O,X,O,X,X,X,O,X,O,X,X,X,X
IZLOJTS,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLOJST,O,X,X,X,O,X,X,X,X,X,O,X,X
IZLOSTJ,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLOSJT,O,X,X,X,O,X,X,X,X,X,O,X,X
IZJTLSO,X,O,X,X,O,X,X,X,X,X,X,X,X
IZJTLOS,O,O,X,X,O,X,X,X,X,X,X,O,X
IZJTSLO,X,O,X,O,O,X,X,X,X,X,X,X,X
IZJTSOL,X,O,X,O,X,X,X,X,X,X,X,O,X
IZJTOLS,X,O,X,X,X,X,X,X,X,X,X,O,X
IZJTOSL,X,O,X,O,X,X,X,X,X,X,X,O,X
IZJLTSO,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJLTOS,O,O,X,X,X,X,X,X,X,X,X,X,X
IZJLSTO,O,O,X,X,X,X,X,X,X,X,X,X,X
IZJLSOT,O,X,X,X,O,X,X,X,X,X,X,X,X
IZJLOTS,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJLOST,O,X,X,X,O,X,X,X,X,X,X,X,X
IZJSTLO,O,O,X,O,O,X,X,O,X,X,X,X,X
IZJSTOL,O,O,X,O,X,X,X,O,X,X,X,X,X
IZJSLTO,O,O,X,O,X,X,X,X,X,X,X,X,X
IZJSLOT,O,X,X,O,O,X,X,X,X,X,X,X,X
IZJSOTL,X,O,X,O,X,X,X,O,X,X,O,X,X
IZJSOLT,O,X,X,O,X,X,X,X,X,X,O,X,X
IZJOTLS,X,O,X,X,X,X,X,X,X,X,X,O,X
IZJOTSL,X,O,X,O,X,X,X,X,X,X,O,O,X
IZJOLTS,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJOLST,O,X,X,X,X,X,X,X,X,X,O,X,X
IZJOSTL,X,O,X,O,X,X,X,O,X,X,O,X,X
IZJOSLT,X,X,X,O,X,X,X,X,X,X,O,X,X
IZSTLJO,O,O,X,O,O,X,X,O,X,X,X,X,X
IZSTLOJ,O,X,X,O,O,X,X,O,X,X,X,X,X
IZSTJLO,O,O,X,O,O,X,X,O,X,X,X,X,X
IZSTJOL,O,O,X,O,X,X,X,O,X,X,X,X,X
IZSTOLJ,O,X,X,O,X,X,X,O,X,X,X,X,O
IZSTOJL,O,O,X,O,X,O,X,O,X,X,O,X,O
IZSLTJO,O,O,X,O,X,X,X,X,X,X,X,X,X
IZSLTOJ,O,X,X,O,X,X,X,X,X,X,X,X,X
IZSLJTO,O,O,X,O,X,X,X,X,X,X,X,X,X
IZSLJOT,O,X,X,O,O,X,X,X,X,X,X,X,X
IZSLOTJ,O,X,X,X,X,X,X,X,X,X,X,X,O
IZSLOJT,O,X,X,O,O,X,X,X,X,X,O,X,O
IZSJTLO,O,O,X,O,O,X,X,O,X,X,X,X,X
IZSJTOL,O,O,X,O,X,X,X,O,X,X,X,X,X
IZSJLTO,O,O,X,O,X,X,X,X,X,X,X,X,X
IZSJLOT,O,X,X,O,O,X,X,X,X,X,X,X,X
IZSJOTL,X,O,X,O,X,X,X,O,X,X,O,X,O
IZSJOLT,O,X,X,O,X,X,X,X,X,X,O,X,O
IZSOTLJ,X,X,X,O,X,X,X,O,X,X,X,X,O
IZSOTJL,X,O,X,O,X,O,X,O,X,X,O,X,O
IZSOLTJ,O,X,X,X,X,X,X,X,X,X,X,X,O
IZSOLJT,O,X,X,O,X,X,X,X,X,X,O,X,O
IZSOJTL,X,O,X,O,X,X,X,O,X,X,O,X,O
IZSOJLT,O,X,X,O,X,X,X,X,X,X,O,X,O
IZOTLJS,X,X,O,X,X,X,X,X,X,X,X,O,X
IZOTLSJ,X,X,O,X,X,X,O,X,X,X,X,X,X
IZOTJLS,X,O,X,X,X,O,X,X,X,X,X,O,X
IZOTJSL,X,O,X,O,X,O,X,X,X,X,O,O,X
IZOTSLJ,X,X,O,O,X,X,O,X,X,X,X,X,X
IZOTSJL,X,O,X,O,X,O,X,X,X,X,O,O,X
IZOLTJS,O,X,O,X,X,X,X,X,X,X,X,X,X
IZOLTSJ,O,X,O,X,X,X,O,X,X,X,X,X,X
IZOLJTS,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOLJST,O,X,X,X,X,X,X,X,X,X,O,X,X
IZOLSTJ,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOLSJT,O,X,X,X,X,X,X,X,X,X,O,X,X
IZOJTLS,X,O,X,X,X,X,X,X,X,X,X,O,X
IZOJTSL,X,O,X,O,X,X,X,X,X,X,O,O,X
IZOJLTS,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOJLST,O,X,X,X,X,X,X,X,X,X,O,X,X
IZOJSTL,X,O,X,O,X,X,X,O,X,X,O,X,X
IZOJSLT,X,X,X,O,X,X,X,X,X,X,O,X,X
IZOSTLJ,X,X,X,O,X,X,X,O,X,X,X,X,O
IZOSTJL,X,O,X,O,X,O,X,O,X,X,O,X,O
IZOSLTJ,O,X,X,X,X,X,X,X,X,X,X,X,O
IZOSLJT,O,X,X,O,X,X,X,X,X,X,O,X,O
IZOSJTL,X,O,X,O,X,X,X,O,X,X,O,X,O
IZOSJLT,O,X,X,O,X,X,X,X,X,X,O,X,O
IOTLJSZ,X,X,O,X,O,O,O,X,X,O,X,X,X
IOTLJZS,X,X,O,X,O,O,X,X,X,O,X,X,X
IOTLSJZ,X,X,O,X,O,O,O,X,X,X,X,X,X
IOTLSZJ,X,X,O,X,O,X,O,X,X,X,X,X,X
IOTLZJS,X,X,O,X,O,X,X,X,X,X,X,X,X
IOTLZSJ,X,X,O,X,O,X,O,X,X,X,X,X,X
IOTJLSZ,X,X,O,X,O,O,O,X,X,O,X,X,X
IOTJLZS,X,X,O,X,O,O,X,X,X,O,X,X,X
IOTJSLZ,X,X,O,X,O,O,O,X,X,X,X,X,X
IOTJSZL,X,X,X,X,X,O,X,X,X,X,X,X,X
IOTJZLS,X,X,X,X,X,O,X,X,X,X,X,X,X
IOTJZSL,X,X,X,X,X,O,X,X,X,X,X,X,X
IOTSLJZ,X,X,O,X,O,O,O,X,X,X,X,X,X
IOTSLZJ,X,X,O,X,O,X,O,X,X,X,X,X,X
IOTSJLZ,X,X,O,X,O,O,O,X,X,X,X,X,X
IOTSJZL,X,X,X,X,X,O,X,X,X,X,X,X,X
IOTSZLJ,X,X,O,X,X,X,O,X,X,X,X,X,X
IOTSZJL,X,X,X,X,X,O,X,X,X,X,X,X,X
IOTZLJS,X,X,O,X,X,X,X,X,X,X,X,X,X
IOTZLSJ,X,X,O,X,X,X,O,X,X,X,X,X,X
IOTZJLS,X,X,X,X,X,O,X,X,X,X,X,X,X
IOTZJSL,X,X,X,X,X,O,X,X,X,X,X,X,X
IOTZSLJ,X,X,O,X,X,X,O,X,X,X,X,X,X
IOTZSJL,X,X,X,X,X,O,X,X,X,X,X,X,X
IOLTJSZ,O,X,O,X,O,O,O,X,X,O,X,X,X
IOLTJZS,O,X,O,X,X,O,X,X,X,O,X,X,X
IOLTSJZ,O,X,O,X,O,O,O,X,X,X,X,X,X
IOLTSZJ,X,X,O,X,X,X,O,X,X,X,X,X,X
IOLTZJS,O,X,O,X,X,X,X,X,X,X,X,X,X
IOLTZSJ,O,X,O,X,X,X,O,X,X,X,X,X,X
IOLJTSZ,O,X,O,X,O,X,O,X,X,O,X,X,X
IOLJTZS,O,X,O,X,X,X,X,X,X,O,X,X,X
IOLJSTZ,O,X,X,X,O,X,X,X,X,X,X,X,X
IOLJSZT,O,X,X,X,O,X,X,X,X,X,X,X,X
IOLJZTS,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLJZST,O,X,X,X,O,X,X,X,X,X,X,X,X
IOLSTJZ,O,X,O,X,O,O,O,X,X,X,X,X,X
IOLSTZJ,X,X,O,X,X,X,O,X,X,X,X,X,X
IOLSJTZ,O,X,X,X,O,X,X,X,X,X,X,X,X
IOLSJZT,O,X,X,X,O,X,X,X,X,X,X,X,X
IOLSZTJ,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLSZJT,O,X,X,X,O,X,X,X,X,X,X,X,X
IOLZTJS,O,X,O,X,X,X,X,X,X,X,X,X,X
IOLZTSJ,O,X,O,X,X,X,O,X,X,X,X,X,X
IOLZJTS,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLZJST,O,X,X,X,O,X,X,X,X,X,X,X,X
IOLZSTJ,O,X,X,X,X,X,O,X,X,X,X,X,X
IOLZSJT,O,X,X,X,O,X,O,X,X,X,X,X,X
IOJTLSZ,X,X,O,X,O,O,O,X,X,O,X,X,X
IOJTLZS,X,X,O,X,O,O,X,X,X,O,X,X,X
IOJTSLZ,X,X,O,X,O,O,O,X,X,X,X,X,X
IOJTSZL,X,X,X,X,X,O,X,X,X,X,X,X,X
IOJTZLS,X,X,X,X,X,O,X,X,X,X,X,X,X
IOJTZSL,X,X,X,X,X,O,X,X,X,X,X,X,X
IOJLTSZ,O,X,O,X,O,X,O,X,X,O,X,X,X
IOJLTZS,O,X,O,X,X,X,X,X,X,O,X,X,X
IOJLSTZ,O,X,X,X,O,X,X,X,X,X,X,X,X
IOJLSZT,O,X,X,X,O,X,X,X,X,X,X,X,X
IOJLZTS,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJLZST,O,X,X,X,O,X,X,X,X,X,X,X,X
IOJSTLZ,X,X,X,X,O,O,X,X,X,X,X,X,X
IOJSTZL,X,X,X,X,X,O,X,X,X,X,X,X,X
IOJSLTZ,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJSLZT,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJSZTL,X,O,X,X,X,X,X,O,X,X,O,X,X
IOJSZLT,X,X,X,X,X,X,X,X,X,X,O,X,X
IOJZTLS,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJZTSL,X,O,X,X,X,X,X,X,X,X,O,X,X
IOJZLTS,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZLST,X,X,X,X,X,X,X,X,X,X,O,X,X
IOJZSTL,X,O,X,X,X,X,X,O,X,X,O,X,X
IOJZSLT,X,X,X,X,X,X,X,X,X,X,O,X,X
IOSTLJZ,X,X,O,X,O,O,O,X,X,X,X,X,X
IOSTLZJ,X,X,O,X,O,X,O,X,X,X,X,X,X
IOSTJLZ,X,X,O,X,O,O,O,X,X,X,X,X,X
IOSTJZL,X,X,X,X,X,O,X,X,X,X,X,X,X
IOSTZLJ,X,X,O,X,X,X,O,X,X,X,X,X,O
IOSTZJL,X,X,X,X,X,O,X,X,X,X,X,X,O
IOSLTJZ,O,X,O,X,O,O,O,X,X,X,X,X,X
IOSLTZJ,X,X,O,X,X,X,O,X,X,X,X,X,X
IOSLJTZ,O,X,X,X,O,X,X,X,X,X,X,X,X
IOSLJZT,O,X,X,X,O,X,X,X,X,X,X,X,X
IOSLZTJ,X,X,X,X,X,X,X,X,X,X,X,X,O
IOSLZJT,O,X,X,X,O,X,X,X,X,X,X,X,O
IOSJTLZ,X,X,X,X,O,O,X,X,X,X,X,X,X
IOSJTZL,X,X,X,X,X,O,X,X,X,X,X,X,X
IOSJLTZ,O,X,X,X,O,X,X,X,X,X,X,X,X
IOSJLZT,O,X,X,X,O,X,X,X,X,X,X,X,X
IOSJZTL,X,O,X,X,X,X,X,O,X,X,O,X,O
IOSJZLT,X,X,X,X,X,X,X,X,X,X,O,X,O
IOSZTLJ,X,X,X,X,X,X,X,O,X,X,X,X,O
IOSZTJL,X,O,X,X,X,O,X,O,X,X,O,X,O
IOSZLTJ,X,X,X,X,X,X,X,X,X,X,X,X,O
IOSZLJT,X,X,X,X,X,X,X,X,X,X,O,X,O
IOSZJTL,X,O,X,X,X,X,X,O,X,X,O,X,O
IOSZJLT,X,X,X,X,X,X,X,X,X,X,O,X,O
IOZTLJS,X,X,O,X,X,X,X,X,X,X,X,X,X
IOZTLSJ,X,X,O,X,X,X,O,X,X,X,X,X,X
IOZTJLS,X,O,X,X,X,O,X,X,X,X,X,X,X
IOZTJSL,X,O,X,X,X,O,X,X,X,X,O,X,X
IOZTSLJ,X,X,O,X,X,X,O,X,X,X,X,X,X
IOZTSJL,X,O,X,X,X,O,X,X,X,X,O,X,X
IOZLTJS,O,X,O,X,X,X,X,X,X,X,X,X,X
IOZLTSJ,O,X,O,X,X,X,O,X,X,X,X,X,X
IOZLJTS,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZLJST,O,X,X,X,X,X,X,X,X,X,O,X,X
IOZLSTJ,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZLSJT,O,X,X,X,X,X,X,X,X,X,O,X,X
IOZJTLS,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZJTSL,X,O,X,X,X,X,X,X,X,X,O,X,X
IOZJLTS,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZJLST,O,X,X,X,X,X,X,X,X,X,O,X,X
IOZJSTL,X,O,X,X,X,X,X,O,X,X,O,X,X
IOZJSLT,X,X,X,X,X,X,X,X,X,X,O,X,X
IOZSTLJ,X,X,X,X,X,X,X,O,X,X,X,X,O
IOZSTJL,X,O,X,X,X,O,X,O,X,X,O,X,O
IOZSLTJ,O,X,X,X,X,X,X,X,X,X,X,X,O
IOZSLJT,O,X,X,X,X,X,X,X,X,X,O,X,O
IOZSJTL,X,O,X,X,X,X,X,O,X,X,O,X,O
IOZSJLT,O,X,X,X,X,X,X,X,X,X,O,X,O
LTIJSZO,X,X,X,X,O,X,X,X,X,X,X,X,X
LTIJSOZ,X,X,O,X,O,X,X,X,X,X,X,X,X
LTIJZSO,X,X,X,X,O,X,X,X,X,X,X,X,X
LTIJZOS,X,X,X,X,O,X,X,X,X,X,X,O,X
LTIJOSZ,O,X,O,X,O,X,O,X,X,O,X,X,X
LTIJOZS,O,X,O,X,O,X,X,X,X,O,X,X,X
LTISJZO,X,X,X,X,O,X,X,X,X,X,X,X,X
LTISJOZ,O,X,O,X,O,X,X,X,O,X,X,X,X
LTISZJO,X,X,X,X,O,X,X,X,O,X,X,X,X
LTISZOJ,X,X,X,X,O,X,O,X,O,X,X,X,X
LTISOJZ,O,X,O,X,O,O,O,X,O,X,X,X,X
LTISOZJ,X,X,O,X,O,X,O,X,O,X,X,X,X
LTIZJSO,X,X,X,X,O,X,X,X,O,X,X,X,X
LTIZJOS,O,X,X,X,O,X,X,X,O,X,X,O,X
LTIZSJO,O,X,X,X,O,X,X,X,O,X,X,X,X
LTIZSOJ,O,X,X,X,O,X,O,X,O,X,X,X,X
LTIZOJS,O,X,O,X,O,X,X,X,O,X,X,O,X
LTIZOSJ,O,X,O,X,O,X,O,X,O,X,X,X,X
LTIOJSZ,O,X,O,X,O,O,O,X,X,O,X,X,X
LTIOJZS,O,X,O,X,O,O,X,X,X,O,X,X,X
LTIOSJZ,O,X,O,X,O,O,O,X,O,X,X,X,X
LTIOSZJ,X,X,O,X,O,X,O,X,O,X,X,X,X
LTIOZJS,O,X,O,X,O,X,X,X,O,X,X,X,X
LTIOZSJ,O,X,O,X,O,X,O,X,O,X,X,X,X
LTJISZO,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJISOZ,X,X,O,X,O,X,X,X,X,X,X,X,X
LTJIZSO,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJIZOS,X,X,X,X,O,X,X,X,X,X,X,O,X
LTJIOSZ,O,X,O,X,O,X,O,X,X,O,X,X,X
LTJIOZS,O,X,O,X,O,X,X,X,X,O,X,X,X
LTJSIZO,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJSIOZ,O,X,O,X,O,X,X,X,O,X,X,X,X
LTJSZIO,O,X,X,X,X,X,X,X,O,X,X,X,X
LTJSZOI,O,X,O,X,X,O,O,X,O,X,X,X,X
LTJSOIZ,O,X,O,X,O,O,O,X,O,O,X,X,X
LTJSOZI,O,X,O,X,X,O,O,X,O,O,X,X,X
LTJZISO,X,X,X,X,X,X,X,X,O,X,X,X,X
LTJZIOS,O,X,X,X,X,X,X,X,O,X,X,X,X
LTJZSIO,O,X,X,X,X,X,X,X,O,X,X,X,X
LTJZSOI,O,X,O,X,X,O,O,X,O,X,X,X,X
LTJZOIS,O,X,O,X,X,O,X,X,O,O,X,X,X
LTJZOSI,O,X,O,X,X,O,O,X,O,O,X,X,X
LTJOISZ,O,X,O,X,O,O,O,X,X,O,X,X,X
LTJOIZS,O,X,O,X,O,O,X,X,X,O,X,X,X
LTJOSIZ,O,X,O,X,O,O,O,X,O,O,X,X,X
LTJOSZI,O,X,O,X,X,O,O,X,O,O,X,X,X
LTJOZIS,O,X,O,X,X,O,X,X,O,O,X,X,X
LTJOZSI,O,X,O,X,X,O,O,X,O,O,X,X,X
LTSIJZO,X,X,X,X,O,X,X,X,X,X,X,X,X
LTSIJOZ,O,X,O,X,O,X,X,X,O,X,X,X,X
LTSIZJO,X,X,X,X,O,X,X,X,O,X,X,X,X
LTSIZOJ,X,X,X,X,O,X,O,X,O,X,X,X,X
LTSIOJZ,O,X,O,X,O,O,O,X,O,X,X,X,X
LTSIOZJ,X,X,O,X,O,X,O,X,O,X,X,X,X
LTSJIZO,X,X,X,X,O,X,X,X,X,X,X,X,X
LTSJIOZ,O,X,O,X,O,X,X,X,O,X,X,X,X
LTSJZIO,O,X,X,X,X,X,X,X,O,X,X,X,X
LTSJZOI,O,X,O,X,X,O,O,X,O,X,X,X,X
LTSJOIZ,O,X,O,X,O,O,O,X,O,O,X,X,X
LTSJOZI,O,X,O,X,X,O,O,X,O,O,X,X,X
LTSZIJO,O,X,X,X,O,X,X,X,O,X,X,X,X
LTSZIOJ,O,X,X,X,O,X,O,X,O,X,X,X,X
LTSZJIO,O,X,X,X,X,X,X,X,O,X,X,X,X
LTSZJOI,O,X,O,X,X,X,O,X,O,X,X,X,X
LTSZOIJ,O,X,O,X,O,X,O,X,O,X,X,X,X
LTSZOJI,O,X,O,X,X,X,O,X,O,X,X,X,X
LTSOIJZ,O,X,O,X,O,O,O,X,O,X,X,X,X
LTSOIZJ,X,X,O,X,O,X,O,X,O,X,X,X,X
LTSOJIZ,O,X,O,X,O,O,O,X,O,O,X,X,X
LTSOJZI,O,X,O,X,X,O,O,X,O,O,X,X,X
LTSOZIJ,O,X,O,X,O,X,O,X,O,X,X,X,X
LTSOZJI,O,X,O,X,X,X,O,X,O,X,X,X,X
LTZIJSO,X,X,X,X,O,X,X,X,O,X,X,X,X
LTZIJOS,O,X,X,X,O,X,X,X,O,X,X,X,X
LTZISJO,O,X,X,X,O,X,X,X,O,X,X,X,X
LTZISOJ,O,X,X,X,O,X,O,X,O,X,X,X,X
LTZIOJS,O,X,O,X,O,X,X,X,O,X,X,X,X
LTZIOSJ,O,X,O,X,O,X,O,X,O,X,X,X,X
LTZJISO,X,X,X,X,X,X,X,X,O,X,X,X,X
LTZJIOS,O,X,X,X,X,X,X,X,O,X,X,X,X
LTZJSIO,O,X,X,X,X,X,X,X,O,X,X,X,X
LTZJSOI,O,X,O,X,X,X,O,X,O,X,X,X,X
LTZJOIS,O,X,O,X,X,X,X,X,O,O,X,X,X
LTZJOSI,O,X,O,X,X,X,O,X,O,O,X,X,X
