sequence,v115@zgA8GeC8FeD8GeC8GeE8AeF8Je5/IvhFmbBCdBTgB/?nB0mBlqB,v115@zgA8GeC8FeD8GeC8GeE8AeF8Jez6IvhFWhBxcB/nBC?lB0mBlqB,v115@zgA8GeC8FeD8GeC8GeE8AeF8JeR7IvhFFdBzfBfmB0?hBSsBGqB,v115@zgA8GeC8FeD8GeC8GeE8AeF8Je5/IvhF/hBFdBOlB0?gBTnBCrB,v115@zgA8GeC8FeD8GeC8GeE8AeF8Jex8IvhFflBlgBumB8?qBTsBCqB,v115@zgA8GeC8FeD8GeC8GeE8AeF8JeC7IvhF8kBRhBXhBT?iBWsBlqB,v115@zgA8GeC8FeD8GeC8GeE8AeF8JeWAJvhFxbB/mBUiBC?lBTnBlqB,v115@zgA8GeC8FeD8GeC8GeE8AeF8Je5/IvhFOgB8gB3hBT?nBCnBlqB,v115@zgA8GeC8FeD8GeC8GeE8AeF8JeR7IvhFqkBTgBlhB8?qBXsBGsB,v115@zgA8GeC8FeD8GeC8GeE8AeF8JefAJvhFzgBUiBCiBW?qBxrBlqB
LSZOTIJ,O,O,O,X,X,X,O,X,O,X
LSZOTJI,O,O,O,X,O,X,O,X,O,X
LSZOITJ,O,O,O,X,X,X,X,X,O,X
LSZOIJT,O,O,X,X,X,X,O,X,O,X
LSZOJTI,X,O,O,X,O,X,O,X,O,X
LSZOJIT,O,O,O,X,O,X,O,X,O,X
LSOTIJZ,O,O,O,O,X,X,X,X,X,X
LSOTIZJ,O,O,O,X,X,X,X,X,X,X
LSOTJIZ,O,O,O,O,X,X,X,X,X,X
LSOTJZI,O,O,O,X,X,X,X,X,X,X
LSOTZIJ,O,O,X,X,X,X,X,X,O,X
LSOTZJI,O,O,X,X,X,X,X,X,O,X
LSOITJZ,O,O,O,O,X,X,X,X,X,X
LSOITZJ,O,O,O,X,X,X,X,X,X,X
LSOIJTZ,X,O,X,O,X,X,X,X,X,X
LSOIJZT,X,O,X,X,O,X,O,X,X,X
LSOIZTJ,O,O,O,X,X,X,X,X,X,X
LSOIZJT,O,O,X,X,X,X,O,X,X,X
LSOJTIZ,X,O,O,O,X,X,X,X,X,X
LSOJTZI,X,O,O,X,X,X,X,X,X,X
LSOJITZ,X,O,O,O,X,X,X,X,X,X
LSOJIZT,X,O,O,X,O,X,O,X,X,X
LSOJZTI,X,O,O,X,O,X,O,X,X,X
LSOJZIT,X,O,O,X,O,X,O,X,X,X
LSOZTIJ,O,O,O,X,X,X,O,X,O,X
LSOZTJI,O,O,O,X,O,X,O,X,O,X
LSOZITJ,O,O,O,X,X,X,X,X,O,X
LSOZIJT,O,O,X,X,X,X,O,X,O,X
LSOZJTI,X,O,O,X,O,X,O,X,O,X
LSOZJIT,O,O,O,X,O,X,O,X,O,X
LZTIJSO,O,O,O,O,X,O,X,X,X,X
LZTIJOS,X,O,O,X,X,O,X,X,X,X
LZTISJO,O,O,O,O,X,X,X,X,X,X
LZTISOJ,O,O,O,X,X,X,X,X,X,X
LZTIOJS,O,O,X,X,X,X,X,X,O,X
LZTIOSJ,O,O,O,X,X,X,X,X,O,X
LZTJISO,O,O,O,O,X,O,X,X,X,X
LZTJIOS,X,O,O,X,X,O,X,X,X,X
LZTJSIO,O,O,O,O,X,O,X,X,X,X
LZTJSOI,O,O,O,X,X,X,X,X,X,X
LZTJOIS,X,O,O,X,X,O,X,X,O,X
LZTJOSI,X,O,O,X,X,X,X,X,O,X
LZTSIJO,O,O,O,O,X,X,X,X,X,X
LZTSIOJ,O,O,O,X,X,X,X,X,O,X
LZTSJIO,O,O,O,O,X,O,X,X,X,X
LZTSJOI,O,O,O,X,X,X,X,X,O,X
LZTSOIJ,O,O,O,X,X,X,X,X,O,X
LZTSOJI,O,O,O,X,X,X,X,X,O,X
LZTOIJS,O,O,X,X,X,X,X,X,O,X
LZTOISJ,O,O,O,X,X,X,X,X,O,X
LZTOJIS,O,O,O,X,X,O,X,X,O,X
LZTOJSI,O,O,O,X,X,X,X,X,O,X
LZTOSIJ,O,O,O,X,X,X,X,X,O,X
LZTOSJI,O,O,O,X,X,X,X,X,O,X
LZITJSO,O,X,O,O,X,O,X,X,X,X
LZITJOS,X,X,O,X,X,O,X,X,X,X
LZITSJO,O,X,O,O,X,X,X,X,X,X
LZITSOJ,O,X,O,X,X,X,X,X,X,X
LZITOJS,O,X,X,X,X,X,X,X,O,X
LZITOSJ,O,X,O,X,X,X,X,X,O,X
LZIJTSO,X,X,O,O,X,O,X,X,X,X
LZIJTOS,X,X,O,X,X,O,X,X,X,X
LZIJSTO,O,O,X,O,X,O,X,X,X,X
LZIJSOT,O,O,X,X,X,O,X,X,X,X
LZIJOTS,X,X,O,X,X,O,X,X,X,X
LZIJOST,X,O,X,X,X,O,X,X,X,X
LZISTJO,O,O,O,O,X,X,X,X,X,X
LZISTOJ,O,O,O,X,X,X,X,X,O,X
LZISJTO,O,O,O,O,X,X,X,X,X,X
LZISJOT,O,O,O,X,X,X,X,X,X,X
LZISOTJ,O,O,O,X,X,X,X,X,O,X
LZISOJT,O,O,X,X,X,X,X,X,O,X
LZIOTJS,X,X,X,X,X,X,X,X,O,X
LZIOTSJ,X,X,O,X,X,X,X,X,O,X
LZIOJTS,X,X,X,X,X,X,X,X,O,X
LZIOJST,X,O,X,X,X,X,X,X,O,X
LZIOSTJ,X,O,X,X,X,X,X,X,O,X
LZIOSJT,X,O,X,X,X,X,X,X,O,X
LZJTISO,X,O,O,O,X,O,X,X,X,X
LZJTIOS,X,O,O,X,X,O,X,X,X,X
LZJTSIO,X,O,O,O,X,O,X,X,X,X
LZJTSOI,X,O,O,X,X,X,X,X,X,X
LZJTOIS,X,O,O,X,X,O,X,X,O,X
LZJTOSI,X,O,O,X,X,X,X,X,O,X
LZJITSO,X,X,O,O,X,O,X,X,X,X
LZJITOS,X,X,O,X,X,O,X,X,X,X
LZJISTO,O,O,X,O,X,O,O,X,X,X
LZJISOT,O,O,X,X,X,O,O,X,X,X
LZJIOTS,X,X,O,X,X,O,X,X,X,X
LZJIOST,X,O,X,X,X,O,X,X,X,X
LZJSTIO,O,O,O,O,X,O,O,X,X,X
LZJSTOI,X,O,O,X,O,X,O,X,O,X
LZJSITO,O,O,O,O,X,O,O,X,X,X
LZJSIOT,O,O,O,X,X,O,O,X,X,X
LZJSOTI,X,O,O,X,X,X,O,X,O,X
LZJSOIT,O,O,O,X,X,X,O,X,O,X
LZJOTIS,X,X,O,X,X,O,X,X,O,X
LZJOTSI,X,O,O,X,X,X,X,X,O,X
LZJOITS,X,X,O,X,X,O,X,X,O,X
LZJOIST,X,O,O,X,X,O,X,X,O,X
LZJOSTI,X,O,O,X,X,X,X,X,O,X
LZJOSIT,X,O,O,X,X,X,X,X,O,X
LZSTIJO,O,O,O,O,X,X,O,X,X,X
LZSTIOJ,O,O,O,X,X,X,O,X,O,X
LZSTJIO,O,O,O,O,X,O,O,X,X,X
LZSTJOI,O,O,O,X,O,X,O,X,O,X
LZSTOIJ,O,O,O,X,X,X,O,X,O,X
LZSTOJI,O,O,O,X,O,X,O,X,O,X
LZSITJO,O,O,O,O,X,X,O,X,X,X
LZSITOJ,O,O,O,X,X,X,O,X,O,X
LZSIJTO,O,O,O,O,X,X,O,X,X,X
LZSIJOT,O,O,O,X,X,X,O,X,X,X
LZSIOTJ,O,O,O,X,X,X,X,X,O,X
LZSIOJT,O,O,X,X,X,X,O,X,O,X
LZSJTIO,O,O,O,O,X,O,O,X,X,X
LZSJTOI,O,O,O,X,O,X,O,X,O,X
LZSJITO,O,O,O,O,X,O,O,X,X,X
LZSJIOT,O,O,O,X,X,O,O,X,X,X
LZSJOTI,X,O,O,X,X,X,O,X,O,X
LZSJOIT,O,O,O,X,X,X,O,X,O,X
LZSOTIJ,O,O,O,X,X,X,O,X,O,X
LZSOTJI,O,O,O,X,O,X,O,X,O,X
LZSOITJ,O,O,O,X,X,X,X,X,O,X
LZSOIJT,O,O,X,X,X,X,O,X,O,X
LZSOJTI,X,O,O,X,O,X,O,X,O,X
LZSOJIT,O,O,O,X,O,X,O,X,O,X
LZOTIJS,X,X,X,X,X,X,X,X,O,X
LZOTISJ,X,X,O,X,X,X,X,X,O,X
LZOTJIS,X,X,O,X,X,O,X,X,O,X
LZOTJSI,X,O,O,X,X,X,X,X,O,X
LZOTSIJ,X,O,O,X,X,X,X,X,O,X
LZOTSJI,X,O,O,X,X,X,X,X,O,X
LZOITJS,X,X,X,X,X,X,X,X,O,X
LZOITSJ,X,X,O,X,X,X,X,X,O,X
LZOIJTS,X,X,X,X,X,X,X,X,O,X
LZOIJST,X,O,X,X,X,X,X,X,O,X
LZOISTJ,X,O,X,X,X,X,X,X,O,X
LZOISJT,X,O,X,X,X,X,X,X,O,X
LZOJTIS,X,X,O,X,X,O,X,X,O,X
LZOJTSI,X,O,O,X,X,X,X,X,O,X
LZOJITS,X,X,O,X,X,O,X,X,O,X
LZOJIST,X,O,X,X,O,O,X,X,O,X
LZOJSTI,X,O,O,X,O,X,X,X,O,X
LZOJSIT,X,O,X,X,O,X,X,X,O,X
LZOSTIJ,X,O,O,X,X,X,X,X,O,X
LZOSTJI,X,O,O,X,O,X,X,X,O,X
LZOSITJ,X,O,O,X,X,X,X,X,O,X
LZOSIJT,X,O,X,X,X,X,X,X,O,X
LZOSJTI,X,O,O,X,O,X,X,X,O,X
LZOSJIT,X,O,O,X,O,X,X,X,O,X
LOTIJSZ,X,X,X,O,X,X,X,X,X,X
LOTIJZS,X,X,X,O,X,X,X,X,X,X
LOTISJZ,X,X,X,O,X,X,X,X,X,X
LOTISZJ,X,X,X,O,X,X,X,O,X,X
LOTIZJS,X,X,X,O,X,X,X,X,X,X
LOTIZSJ,X,X,X,O,X,X,X,X,X,X
LOTJISZ,X,X,O,O,X,X,X,X,X,X
LOTJIZS,X,X,O,O,X,X,X,X,X,X
LOTJSIZ,X,O,O,O,X,X,X,X,X,X
LOTJSZI,X,O,O,O,X,X,X,X,X,X
LOTJZIS,X,X,O,O,X,X,X,X,X,X
LOTJZSI,X,X,O,O,X,X,X,X,X,X
LOTSIJZ,X,O,O,O,X,X,X,X,X,X
LOTSIZJ,X,O,O,O,X,X,X,O,X,X
LOTSJIZ,X,O,O,O,X,X,X,X,X,X
LOTSJZI,X,O,O,O,X,X,X,X,X,X
LOTSZIJ,X,O,X,O,X,X,X,O,X,X
LOTSZJI,X,O,X,O,X,X,X,O,X,X
LOTZIJS,X,X,X,O,X,X,X,X,X,X
LOTZISJ,X,X,O,O,X,X,X,X,X,X
LOTZJIS,X,X,O,O,X,X,X,X,X,X
LOTZJSI,X,O,O,O,X,X,X,X,X,X
LOTZSIJ,X,O,O,O,X,X,X,X,X,X
LOTZSJI,X,O,O,O,X,X,X,X,X,X
LOITJSZ,X,X,X,O,X,X,X,X,X,X
LOITJZS,X,X,X,O,X,X,X,X,X,X
LOITSJZ,X,X,X,O,X,X,X,X,X,X
LOITSZJ,X,X,X,O,X,X,X,O,X,X
LOITZJS,X,X,X,O,X,X,X,X,X,X
LOITZSJ,X,X,X,O,X,X,X,X,X,X
LOIJTSZ,X,X,X,O,X,X,X,X,X,X
LOIJTZS,X,X,X,O,X,X,X,X,X,X
LOIJSTZ,X,O,X,O,X,X,X,X,X,X
LOIJSZT,X,O,X,O,O,X,X,X,X,X
LOIJZTS,X,X,X,O,X,X,X,X,X,X
LOIJZST,X,X,X,O,O,X,X,X,X,X
LOISTJZ,O,O,X,O,X,X,X,X,X,X
LOISTZJ,O,O,X,O,X,X,X,O,X,X
LOISJTZ,X,O,X,O,X,X,X,X,X,X
LOISJZT,X,O,X,O,O,X,X,X,X,X
LOISZTJ,O,O,X,O,X,X,X,X,X,X
LOISZJT,O,O,X,O,X,X,X,O,X,X
LOIZTJS,X,X,X,O,X,X,X,X,X,X
LOIZTSJ,X,X,X,O,X,X,X,X,X,X
LOIZJTS,X,X,X,O,X,X,X,X,X,X
LOIZJST,X,O,X,O,X,X,X,X,X,X
LOIZSTJ,X,O,X,O,X,X,X,X,X,X
LOIZSJT,X,O,X,O,X,X,X,X,X,X
LOJTISZ,X,X,O,O,X,X,X,X,X,X
LOJTIZS,X,X,O,O,X,X,X,X,X,X
LOJTSIZ,X,O,O,O,X,X,X,X,X,X
LOJTSZI,X,O,O,O,X,X,X,X,X,X
LOJTZIS,X,X,O,O,X,X,X,X,X,X
LOJTZSI,X,X,O,O,X,X,X,X,X,X
LOJITSZ,X,X,O,O,X,X,X,X,X,X
LOJITZS,X,X,O,O,X,X,X,X,X,X
LOJISTZ,X,O,O,O,X,X,X,X,X,X
LOJISZT,X,O,O,O,O,X,O,X,X,X
LOJIZTS,X,X,O,O,X,X,X,X,X,X
LOJIZST,X,X,O,O,O,X,X,X,X,X
LOJSTIZ,X,O,O,O,X,X,X,X,X,X
LOJSTZI,X,O,O,O,X,X,X,X,X,X
LOJSITZ,X,O,O,O,X,X,X,X,X,X
LOJSIZT,X,O,O,O,O,X,O,X,X,X
LOJSZTI,X,O,O,O,O,X,O,X,X,X
LOJSZIT,X,O,O,O,O,X,O,X,X,X
LOJZTIS,X,X,O,O,X,X,X,X,X,X
LOJZTSI,X,O,O,O,X,X,X,X,X,X
LOJZITS,X,X,O,O,X,X,X,X,X,X
LOJZIST,X,O,O,O,O,X,X,X,X,X
LOJZSTI,X,O,O,O,O,X,X,X,X,X
LOJZSIT,X,O,O,O,O,X,X,X,X,X
LOSTIJZ,O,O,O,O,X,X,X,X,X,X
LOSTIZJ,O,O,O,O,X,X,X,O,X,X
LOSTJIZ,O,O,O,O,X,X,X,X,X,X
LOSTJZI,O,O,O,O,X,X,X,X,X,X
LOSTZIJ,O,O,X,O,X,X,X,O,O,X
LOSTZJI,O,O,X,O,X,X,X,O,O,X
LOSITJZ,O,O,O,O,X,X,X,X,X,X
LOSITZJ,O,O,O,O,X,X,X,O,X,X
LOSIJTZ,X,O,X,O,X,X,X,X,X,X
LOSIJZT,X,O,X,O,O,X,O,X,X,X
LOSIZTJ,O,O,O,O,X,X,X,X,X,X
LOSIZJT,O,O,X,O,X,X,O,O,X,X
LOSJTIZ,X,O,O,O,X,X,X,X,X,X
LOSJTZI,X,O,O,O,X,X,X,X,X,X
LOSJITZ,X,O,O,O,X,X,X,X,X,X
LOSJIZT,X,O,O,O,O,X,O,X,X,X
LOSJZTI,X,O,O,O,O,X,O,X,X,X
LOSJZIT,X,O,O,O,O,X,O,X,X,X
LOSZTIJ,O,O,O,O,X,X,O,O,O,X
LOSZTJI,O,O,O,O,O,X,O,O,O,X
LOSZITJ,O,O,O,O,X,X,X,X,O,X
LOSZIJT,O,O,X,O,X,X,O,O,O,X
LOSZJTI,X,O,O,O,O,X,O,X,O,X
LOSZJIT,O,O,O,O,O,X,O,O,O,X
LOZTIJS,X,X,X,O,X,X,X,X,O,X
LOZTISJ,X,X,O,O,X,X,X,X,O,X
LOZTJIS,X,X,O,O,X,X,X,X,O,X
LOZTJSI,X,O,O,O,X,X,X,X,O,X
LOZTSIJ,X,O,O,O,X,X,X,X,O,X
LOZTSJI,X,O,O,O,X,X,X,X,O,X
LOZITJS,X,X,X,O,X,X,X,X,O,X
LOZITSJ,X,X,O,O,X,X,X,X,O,X
LOZIJTS,X,X,X,O,X,X,X,X,O,X
LOZIJST,X,O,X,O,X,X,X,X,O,X
LOZISTJ,X,O,X,O,X,X,X,X,O,X
LOZISJT,X,O,X,O,X,X,X,X,O,X
LOZJTIS,X,X,O,O,X,X,X,X,O,X
LOZJTSI,X,O,O,O,X,X,X,X,O,X
LOZJITS,X,X,O,O,X,X,X,X,O,X
LOZJIST,X,O,X,O,O,X,X,X,O,X
LOZJSTI,X,O,O,O,O,X,X,X,O,X
LOZJSIT,X,O,X,O,O,X,X,X,O,X
LOZSTIJ,X,O,O,O,X,X,X,X,O,X
LOZSTJI,X,O,O,O,O,X,X,X,O,X
LOZSITJ,X,O,O,O,X,X,X,X,O,X
LOZSIJT,X,O,X,O,X,X,X,X,O,X
LOZSJTI,X,O,O,O,O,X,X,X,O,X
LOZSJIT,X,O,O,O,O,X,X,X,O,X
JTILSZO,X,X,O,O,X,X,X,X,X,X
JTILSOZ,X,X,O,O,X,X,X,X,X,X
JTILZSO,X,X,O,O,X,O,X,O,X,X
JTILZOS,X,X,O,X,X,O,X,X,X,X
JTILOSZ,X,X,O,O,X,X,X,X,X,X
JTILOZS,X,X,O,X,X,X,X,X,X,X
JTISLZO,X,O,O,O,X,X,X,X,X,X
JTISLOZ,O,O,O,O,X,X,X,X,X,X
JTISZLO,X,X,O,X,X,O,X,O,X,X
JTISZOL,X,X,O,X,X,X,X,O,X,O
JTISOLZ,O,X,O,X,X,X,X,X,X,X
JTISOZL,O,X,O,X,X,X,X,X,X,O
JTIZLSO,O,X,X,O,X,O,X,O,X,X
JTIZLOS,X,X,X,X,X,O,X,X,X,X
JTIZSLO,O,X,X,X,X,O,X,O,X,X
JTIZSOL,O,X,X,X,X,X,X,O,X,O
JTIZOLS,O,X,X,X,X,O,X,X,X,X
JTIZOSL,O,X,X,X,X,X,X,O,X,O
JTIOLSZ,O,X,O,O,X,X,X,X,X,X
JTIOLZS,O,X,O,O,X,X,X,X,X,X
JTIOSLZ,O,X,O,O,X,X,X,X,X,X
JTIOSZL,O,X,O,X,X,X,X,O,X,O
JTIOZLS,O,X,O,O,X,O,X,X,X,X
JTIOZSL,O,X,O,X,X,X,X,O,X,O
JTLISZO,X,O,O,O,X,X,O,X,X,X
JTLISOZ,X,O,O,O,X,X,O,X,X,X
JTLIZSO,X,X,O,O,X,O,O,O,X,X
JTLIZOS,X,X,O,X,X,O,X,X,X,X
JTLIOSZ,X,O,O,O,X,X,O,X,X,X
JTLIOZS,X,X,O,X,X,X,X,X,X,X
JTLSIZO,X,O,O,O,X,X,O,X,X,X
JTLSIOZ,X,O,O,O,X,X,O,X,X,X
JTLSZIO,X,O,O,O,X,X,O,X,X,X
JTLSZOI,X,O,O,X,X,X,O,X,X,X
JTLSOIZ,X,O,O,O,X,X,O,X,X,X
JTLSOZI,X,O,O,X,X,X,O,X,X,X
JTLZISO,X,O,O,O,X,O,O,O,X,X
JTLZIOS,X,O,O,X,X,O,X,X,X,X
JTLZSIO,X,O,O,O,X,O,O,O,X,X
JTLZSOI,X,O,O,X,X,X,O,X,X,X
JTLZOIS,X,O,O,X,X,O,X,X,X,X
JTLZOSI,X,O,O,X,X,X,X,X,X,X
JTLOISZ,X,O,O,O,X,X,O,X,X,X
JTLOIZS,X,X,O,X,X,X,X,X,X,X
JTLOSIZ,X,O,O,O,X,X,O,X,X,X
JTLOSZI,X,O,O,X,X,X,O,X,X,X
JTLOZIS,X,O,O,X,X,X,X,X,X,X
JTLOZSI,X,O,O,X,X,X,X,X,X,X
JTSILZO,X,O,O,O,X,X,O,X,X,X
JTSILOZ,O,O,O,O,X,X,O,X,X,X
JTSIZLO,X,X,O,X,X,O,O,O,X,X
JTSIZOL,X,X,O,X,X,X,X,O,X,O
JTSIOLZ,O,X,O,X,X,X,X,X,X,X
JTSIOZL,O,X,O,X,X,X,X,X,X,O
JTSLIZO,X,O,O,O,X,X,O,X,X,X
JTSLIOZ,O,O,O,O,X,X,O,X,X,X
JTSLZIO,X,O,O,O,X,X,O,X,X,X
JTSLZOI,X,O,O,X,X,X,O,X,X,X
JTSLOIZ,O,O,O,O,X,X,O,X,X,X
JTSLOZI,O,O,O,X,X,X,O,X,X,X
JTSZILO,X,X,O,X,X,O,O,O,X,X
JTSZIOL,X,X,O,X,O,X,X,O,X,X
JTSZLIO,X,X,O,X,X,O,O,O,X,X
JTSZLOI,X,X,O,X,O,X,O,X,X,X
JTSZOIL,X,X,O,X,O,X,X,O,X,X
JTSZOLI,X,X,O,X,O,X,X,X,X,X
JTSOILZ,O,X,O,X,X,X,X,X,X,X
JTSOIZL,O,X,O,X,X,X,X,X,X,X
JTSOLIZ,O,X,O,X,X,X,X,X,X,X
JTSOLZI,O,X,O,X,X,X,X,X,X,X
JTSOZIL,O,X,O,X,X,X,X,X,X,X
JTSOZLI,O,X,O,X,X,X,X,X,X,X
JTZILSO,O,O,X,O,X,O,X,O,X,X
JTZILOS,X,O,X,X,X,O,X,X,X,X
JTZISLO,O,O,X,X,X,O,X,O,X,X
JTZISOL,O,O,X,X,X,X,X,O,X,X
JTZIOLS,O,X,X,X,X,O,X,X,X,X
JTZIOSL,O,X,X,X,X,X,X,O,X,X
JTZLISO,O,O,O,O,X,O,X,O,X,X
JTZLIOS,X,O,O,X,X,O,X,X,X,X
JTZLSIO,O,O,O,O,X,O,X,O,X,X
JTZLSOI,O,O,O,X,X,X,X,X,X,X
JTZLOIS,X,O,O,X,X,O,X,X,X,X
JTZLOSI,X,O,O,X,X,X,X,X,X,X
JTZSILO,O,O,O,X,X,O,X,O,X,X
JTZSIOL,O,O,O,X,O,X,X,O,X,X
JTZSLIO,O,O,X,X,X,O,X,O,X,X
JTZSLOI,O,O,X,X,O,X,X,X,X,X
JTZSOIL,O,O,O,X,O,X,X,O,X,X
JTZSOLI,O,O,X,X,O,X,X,X,X,X
JTZOILS,O,X,O,X,X,O,X,X,X,X
JTZOISL,O,X,O,X,X,X,X,O,X,X
JTZOLIS,O,O,O,X,X,O,X,X,X,X
JTZOLSI,O,O,O,X,X,X,X,X,X,X
JTZOSIL,O,O,O,X,X,X,X,O,X,X
JTZOSLI,O,O,X,X,X,X,X,X,X,X
JTOILSZ,O,X,O,O,X,X,X,X,X,X
JTOILZS,O,X,O,O,X,X,X,X,X,X
JTOISLZ,O,X,O,O,X,X,X,X,X,X
JTOISZL,O,X,O,X,X,X,X,O,X,X
JTOIZLS,O,X,O,O,X,O,X,X,X,X
JTOIZSL,O,X,O,X,X,X,X,O,X,X
JTOLISZ,O,X,O,O,X,X,X,X,X,X
JTOLIZS,O,X,O,O,X,X,X,X,X,X
JTOLSIZ,O,X,O,O,X,X,X,X,X,X
JTOLSZI,O,X,O,O,X,X,X,X,X,X
JTOLZIS,O,X,O,O,X,X,X,X,X,X
JTOLZSI,O,X,O,O,X,X,X,X,X,X
JTOSILZ,O,X,O,O,X,X,X,X,X,X
JTOSIZL,O,X,O,X,X,X,X,O,X,X
JTOSLIZ,O,X,O,O,X,X,X,X,X,X
JTOSLZI,O,X,O,O,X,X,X,X,X,X
JTOSZIL,O,X,O,X,X,X,X,O,X,X
JTOSZLI,O,X,O,X,X,X,X,O,X,X
JTOZILS,O,X,O,O,X,O,X,X,X,X
JTOZISL,O,X,O,X,X,X,X,O,X,X
JTOZLIS,O,X,O,O,X,O,X,X,X,X
JTOZLSI,O,X,O,O,X,X,X,X,X,X
JTOZSIL,O,X,O,X,X,X,X,O,X,X
JTOZSLI,O,X,X,X,X,X,X,X,X,X
JITLSZO,X,X,O,O,X,X,X,X,X,X
JITLSOZ,X,X,O,O,X,X,X,X,X,X
JITLZSO,X,X,O,O,X,O,X,O,X,X
JITLZOS,X,X,O,X,X,O,X,X,X,X
JITLOSZ,X,X,O,O,X,X,X,X,X,X
JITLOZS,X,X,O,X,X,X,X,X,X,X
JITSLZO,X,O,O,O,X,X,X,X,X,X
JITSLOZ,O,O,O,O,X,X,X,X,X,X
JITSZLO,X,X,O,X,X,O,X,O,X,X
JITSZOL,X,X,O,X,X,X,X,O,X,O
JITSOLZ,O,X,O,X,X,X,X,X,X,X
JITSOZL,O,X,O,X,X,X,X,X,X,O
JITZLSO,O,X,X,O,X,O,X,O,X,X
JITZLOS,X,X,X,X,X,O,X,X,X,X
JITZSLO,O,X,X,X,X,O,X,O,X,X
JITZSOL,O,X,X,X,X,X,X,O,X,O
JITZOLS,O,X,X,X,X,O,X,X,X,X
JITZOSL,O,X,X,X,X,X,X,O,X,O
JITOLSZ,O,X,O,O,X,X,X,X,X,X
JITOLZS,O,X,O,O,X,X,X,X,X,X
JITOSLZ,O,X,O,O,X,X,X,X,X,X
JITOSZL,O,X,O,X,X,X,X,O,X,O
JITOZLS,O,X,O,O,X,O,X,X,X,X
JITOZSL,O,X,O,X,X,X,X,O,X,O
JILTSZO,X,X,O,O,X,X,X,X,X,X
JILTSOZ,X,X,O,O,X,X,X,X,X,X
JILTZSO,X,X,O,O,X,O,X,X,X,X
JILTZOS,X,X,O,X,X,O,X,X,X,X
JILTOSZ,X,X,O,O,X,X,X,X,X,X
JILTOZS,X,X,O,X,X,X,X,X,X,X
JILSTZO,X,X,O,O,X,X,X,X,X,X
JILSTOZ,O,X,O,O,X,X,X,X,X,X
JILSZTO,O,X,O,O,X,X,X,X,X,X
JILSZOT,O,X,O,X,X,X,X,X,X,O
JILSOTZ,X,X,O,O,X,X,X,X,X,X
JILSOZT,X,X,O,X,X,X,X,X,X,O
JILZTSO,X,X,O,O,X,O,X,X,X,X
JILZTOS,X,X,O,X,X,O,X,X,X,X
JILZSTO,X,X,X,O,X,O,X,X,X,X
JILZSOT,X,X,X,X,X,O,X,X,X,O
JILZOTS,X,X,O,X,X,O,X,X,X,X
JILZOST,X,X,X,X,X,O,X,X,X,O
JILOTSZ,X,X,O,O,X,X,X,X,X,X
JILOTZS,X,X,O,O,X,X,X,X,X,X
JILOSTZ,X,X,O,O,X,X,X,X,X,X
JILOSZT,X,X,O,O,X,X,X,X,X,O
JILOZTS,X,X,O,O,X,X,X,X,X,X
JILOZST,X,X,O,O,X,X,X,X,X,O
JISTLZO,X,O,O,O,X,X,X,X,X,X
JISTLOZ,O,O,O,O,X,X,X,X,X,X
JISTZLO,X,X,O,X,X,O,X,X,X,X
JISTZOL,X,X,O,X,X,X,X,X,X,O
JISTOLZ,O,X,O,X,X,X,X,X,X,X
JISTOZL,O,X,O,X,X,X,X,X,X,O
JISLTZO,X,X,O,O,X,X,X,X,X,X
JISLTOZ,O,O,O,O,X,X,X,X,X,X
JISLZTO,O,O,O,O,X,X,X,X,X,X
JISLZOT,O,O,O,X,X,X,X,X,X,O
JISLOTZ,X,O,O,O,X,X,X,X,X,X
JISLOZT,X,O,O,X,X,X,X,X,X,O
JISZTLO,O,O,O,X,X,X,X,X,X,X
JISZTOL,O,O,O,X,O,X,X,X,X,O
JISZLTO,O,O,O,X,X,O,X,X,X,X
JISZLOT,O,O,O,X,X,O,X,X,X,O
JISZOTL,X,O,O,X,X,X,X,X,X,O
JISZOLT,O,O,O,X,X,X,X,X,X,O
JISOTLZ,X,X,O,O,X,X,X,X,X,X
JISOTZL,X,X,O,X,X,X,X,X,X,O
JISOLTZ,X,X,O,O,X,X,X,X,X,X
JISOLZT,X,X,O,O,X,X,X,X,X,O
JISOZTL,X,X,O,X,X,X,X,X,X,O
JISOZLT,X,X,O,X,X,X,X,X,X,O
JIZTLSO,O,X,X,O,X,O,X,X,X,X
JIZTLOS,X,X,X,X,X,O,X,X,X,X
JIZTSLO,O,X,X,X,X,O,X,X,X,X
JIZTSOL,O,X,X,X,X,X,X,X,X,O
JIZTOLS,O,X,X,X,X,O,X,X,X,X
JIZTOSL,O,X,X,X,X,X,X,X,X,O
JIZLTSO,X,X,X,O,X,O,X,X,X,X
JIZLTOS,X,X,X,X,X,O,X,X,X,X
JIZLSTO,O,X,X,O,X,O,X,X,X,X
JIZLSOT,O,X,X,X,X,O,X,X,X,O
JIZLOTS,X,X,X,X,X,O,X,X,X,X
JIZLOST,X,X,X,X,X,O,X,X,X,O
JIZSTLO,O,X,X,X,X,X,X,X,X,X
JIZSTOL,O,X,X,X,O,X,X,X,X,O
JIZSLTO,O,X,X,X,X,O,X,X,X,X
JIZSLOT,O,X,X,X,X,O,X,X,X,O
JIZSOTL,X,X,X,X,X,X,X,X,X,O
JIZSOLT,O,X,X,X,X,X,X,X,X,O
JIZOTLS,X,X,X,O,X,X,X,X,X,X
JIZOTSL,X,X,X,X,X,X,X,X,X,O
