sequence,v115@5gD8GeC8FeD8EeE8BeA8BeE8JeZ/IvhFCbB0cBNlB+?pBXmBzqB,v115@5gD8GeC8FeD8EeE8BeA8BeE8JeO/IvhF8fBqgBthB/?qBZmBTpB,v115@5gD8GeC8FeD8EeE8BeA8BeE8Jem7IvhFthBZkBflB0?gB6pBzqB,v115@5gD8GeC8FeD8EeE8BeA8BeE8Jez6IvhFtgB0cB6pB/?qBOrBZkB,v115@5gD8GeC8FeD8EeE8BeA8BeE8JeZ/IvhFqfBmbBthB0?gB3pBzqB,v115@5gD8GeC8FeD8EeE8BeA8BeE8Jem7IvhFthBZkBzfBf?mB6pB0qB,v115@5gD8GeC8FeD8EeE8BeA8BeE8JeZ/IvhFthBzfBarB8?lB3pBGqB,v115@5gD8GeC8FeD8EeE8BeA8BeE8JeO/IvhFXbBZhBthBS?lBTpB0qB,v115@5gD8GeC8FeD8EeE8BeA8BeE8JeX7IvhF0cB2kBNmBx?pBqqBTpB,v115@5gD8GeC8FeD8EeE8BeA8BeE8Je6/IvhFTbBZkB3hB8?pBtqBOrB,v115@5gD8GeC8FeD8EeE8BeA8BeE8Je06IvhFthB2kB3lBZ?mBTpB6qB,v115@5gD8GeC8FeD8EeE8BeA8BeE8JeZ/IvhFzaBthB3gBa?mB+pB0qB,v115@5gD8GeC8FeD8EeE8BeA8BeE8Jei6IvhF+gBZhBthB3?fBTpB0qB,v115@5gD8GeC8FeD8EeE8BeA8BeE8Jex6IvhFehBthB0fBK?pBXlBzqB,v115@5gD8GeC8FeD8EeE8BeA8BeE8JecAJvhFthBTfBuqBZ?mBikB3pB,v115@5gD8GeC8FeD8EeE8BeA8BeE8JeT7IvhFZhBthBOkB0?fBqqB3pB,v115@5gD8GeC8FeD8EeE8BeA8BeE8JeK/IvhFRbBthBUgBe?rB3lBTpB,v115@5gD8GeC8FeD8EeE8BeA8BeE8JeZ/IvhFufBthBTgB8?qB3pBarB,v115@5gD8GeC8FeD8EeE8BeA8BeE8Je//IvhFcgBthBKpBu?qBZmBzpB,v115@5gD8GeC8FeD8EeE8BeA8BeE8JeK/IvhFRbBthB3gBe?rBUlBTpB,v115@5gD8GeC8FeD8EeE8BeA8BeE8JeK/IvhFfgBRhBcmB9?qBTpBmqB,v115@5gD8GeC8FeD8EeE8BeA8BeE8JeX7IvhFthB2kBarBx?pB8qBTpB,v115@5gD8GeC8FeD8EeE8BeA8BeE8JeO/IvhFthBflB0gBZ?mB6qBTpB,v115@5gD8GeC8FeD8EeE8BeA8BeE8JeT6IvhFegBtgB0cBK?pBRqBXrB,v115@5gD8GeC8FeD8EeE8BeA8BeE8Je//IvhF0cBKpBxlB9?lBerBzpB,v115@5gD8GeC8FeD8EeE8BeA8BeE8Jei6IvhF0cB3fBxlBT?pBmqBtqB,v115@5gD8GeC8FeD8EeE8BeA8BeE8Jez7IvhFthBUgBerBx?pB/pBipB,v115@5gD8GeC8FeD8EeE8BeA8BeE8JeK/IvhFzbBthBUgBe?rBxpB3pB,v115@5gD8GeC8FeD8EeE8BeA8BeE8Jem6IvhFtgB0cBikBR?qBXrBTpB,v115@5gD8GeC8FeD8EeE8BeA8BeE8JeK/IvhFRgB3hBUgB9?qBOrBTpB
TLJZIOS,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZSIO,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJZSOI,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJZOIS,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZOSI,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJOISZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJOIZS,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOSIZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJOSZI,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TLJOZIS,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOZSI,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TLSIJZO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X
TLSIJOZ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLSIZJO,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLSIZOJ,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSIOJZ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIOZJ,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJIZO,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSJIOZ,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJZIO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLSJZOI,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSJOIZ,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJOZI,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSZIJO,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLSZIOJ,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSZJIO,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLSZJOI,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSZOIJ,X,O,X,X,O,X,O,X,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSZOJI,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSOIJZ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOIZJ,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOJIZ,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOJZI,X,O,X,O,O,X,X,X,X,X,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSOZIJ,X,O,O,X,O,X,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOZJI,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZIJSO,X,X,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZIJOS,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZISJO,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TLZISOJ,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLZIOJS,X,X,X,X,X,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZIOSJ,X,X,X,X,X,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJISO,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZJIOS,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJSIO,O,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZJSOI,X,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZJOIS,O,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJOSI,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZSIJO,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLZSIOJ,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZSJIO,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZSJOI,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZSOIJ,X,X,X,X,X,O,O,O,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZSOJI,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZOIJS,X,X,X,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOISJ,X,X,X,X,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOJIS,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOJSI,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOSIJ,X,X,X,X,X,O,X,O,X,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZOSJI,X,X,X,X,X,O,X,O,X,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLOIJSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
TLOIJZS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOISJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TLOISZJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLOIZJS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOIZSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLOJISZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLOJIZS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJSIZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLOJSZI,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X
TLOJZIS,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJZSI,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TLOSIJZ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLOSIZJ,X,O,O,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLOSJIZ,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLOSJZI,X,O,X,O,O,X,X,X,X,X,O,X,O,O,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X
TLOSZIJ,X,O,O,X,O,X,O,X,X,O,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLOSZJI,X,O,O,X,O,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOZIJS,X,X,X,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOZISJ,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLOZJIS,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOZJSI,X,O,O,X,O,X,X,O,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOZSIJ,X,O,O,X,O,X,X,O,X,O,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLOZSJI,X,O,O,X,O,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJILSZO,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X
TJILSOZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJILZSO,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TJILZOS,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJILOSZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJILOZS,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJISLZO,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
TJISLOZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJISZLO,O,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TJISZOL,O,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TJISOLZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJISOZL,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TJIZLSO,O,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TJIZLOS,O,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJIZSLO,O,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TJIZSOL,O,X,X,X,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TJIZOLS,O,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIZOSL,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIOLSZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TJIOLZS,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TJIOSLZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TJIOSZL,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
TJIOZLS,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIOZSL,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLISZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X
TJLISOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLIZSO,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TJLIZOS,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJLIOSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLIOZS,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJLSIZO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLSIOZ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLSZIO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLSZOI,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLSOIZ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJLSOZI,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TJLZISO,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLZIOS,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLZSIO,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLZSOI,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLZOIS,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLZOSI,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLOISZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJLOIZS,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLOSIZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJLOSZI,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TJLOZIS,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLOZSI,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TJSILZO,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TJSILOZ,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSIZLO,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TJSIZOL,O,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X
TJSIOLZ,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJSIOZL,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TJSLIZO,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJSLIOZ,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSLZIO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TJSLZOI,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJSLOIZ,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJSLOZI,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TJSZILO,O,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJSZIOL,O,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TJSZLIO,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TJSZLOI,O,O,X,O,X,X,X,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJSZOIL,O,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TJSZOLI,O,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJSOILZ,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJSOIZL,O,X,O,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSOLIZ,O,X,X,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJSOLZI,O,O,X,O,O,X,X,X,X,X,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TJSOZIL,O,O,O,X,O,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJSOZLI,O,O,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJZILSO,O,X,X,X,X,X,X,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJZILOS,O,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZISLO,O,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TJZISOL,O,X,X,X,X,O,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TJZIOLS,O,X,X,X,X,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZIOSL,X,X,X,X,X,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZLISO,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJZLIOS,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZLSIO,O,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJZLSOI,X,X,X,O,X,X,X,O,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJZLOIS,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZLOSI,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJZSILO,O,X,X,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZSIOL,O,X,X,X,X,O,X,X,X,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJZSLIO,O,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJZSLOI,O,X,X,O,X,O,X,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJZSOIL,O,X,X,X,X,O,X,X,X,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJZSOLI,O,X,X,O,X,O,X,X,X,X,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJZOILS,O,X,X,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZOISL,X,X,X,X,X,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZOLIS,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZOLSI,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TJZOSIL,X,X,X,X,X,O,X,O,X,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJZOSLI,X,X,X,X,X,O,X,O,X,X,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJOILSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TJOILZS,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
