sequence,v115@7gB8GeC8FeD8FeE8AeH8JeZ/IvhFUbBFcBXdBWlBTm?BCqB,v115@7gB8GeC8FeD8FeE8AeH8JeT6IvhF0bBxcBykB3hBWr?BlpB,v115@7gB8GeC8FeD8FeE8AeH8Jex7IvhFXdBOkBlgB0fBTm?BCqB,v115@7gB8GeC8FeD8FeE8AeH8JeZ/IvhFufB3bBFdB6mB8p?BzqB,v115@7gB8GeC8FeD8FeE8AeH8JeZ/IvhFufBXdBlgB8pBTr?BCrB,v115@7gB8GeC8FeD8FeE8AeH8JeO/IvhF0bBxcBzfBCmB3m?BlpB,v115@7gB8GeC8FeD8FeE8AeH8JeK/IvhFzaBfhBxcBumB0l?BlpB,v115@7gB8GeC8FeD8FeE8AeH8Jey/IvhFfhBxcBumBTfB0l?BlpB,v115@7gB8GeC8FeD8FeE8AeH8Jex6IvhFXdBTfBmgB6mB0l?BlpB,v115@7gB8GeC8FeD8FeE8AeH8Jex8IvhFTfBlgB3hB8pBip?BWwB,v115@7gB8GeC8FeD8FeE8AeH8Jem7IvhFxfB3hBTfB0lBCn?BlpB,v115@7gB8GeC8FeD8FeE8AeH8JeZ/IvhFufBlgB3hB8pBzq?BCsB
IZLTOJS,X,X,X,O,X,O,X,X,X,X,X,X
IZLTOSJ,X,X,X,O,X,O,X,X,X,X,X,X
IZLJTSO,O,X,X,O,O,O,X,X,X,X,X,O
IZLJTOS,O,X,X,O,X,O,X,X,X,X,X,X
IZLJSTO,O,X,X,O,O,X,X,O,X,X,X,O
IZLJSOT,O,X,X,O,O,X,X,O,X,X,X,X
IZLJOTS,O,X,X,O,O,X,X,X,X,X,X,X
IZLJOST,O,X,X,O,O,X,X,X,X,X,X,X
IZLSTJO,O,X,X,O,O,O,X,X,X,X,X,O
IZLSTOJ,X,X,X,O,X,O,X,X,X,O,X,X
IZLSJTO,O,X,X,O,O,X,X,O,X,X,O,O
IZLSJOT,O,X,X,O,O,X,X,O,X,X,X,X
IZLSOTJ,X,X,X,O,O,X,X,X,X,O,X,X
IZLSOJT,X,X,X,O,O,X,X,X,X,X,X,X
IZLOTJS,O,X,X,O,O,O,X,X,X,X,X,X
IZLOTSJ,O,X,X,O,O,O,X,X,X,X,X,X
IZLOJTS,O,X,X,O,O,X,X,X,X,X,X,X
IZLOJST,O,X,X,O,O,X,X,X,X,X,X,X
IZLOSTJ,O,X,X,O,O,X,X,X,X,O,X,X
IZLOSJT,O,X,X,O,O,X,X,X,X,X,X,X
IZJTLSO,X,O,X,O,O,X,O,O,X,X,X,O
IZJTLOS,X,O,X,O,X,X,O,X,X,X,X,X
IZJTSLO,X,O,X,O,O,X,O,O,X,X,X,O
IZJTSOL,X,X,X,O,O,X,O,O,O,X,X,O
IZJTOLS,X,O,X,O,O,X,X,X,O,X,X,X
IZJTOSL,X,X,X,O,O,X,X,X,O,X,X,O
IZJLTSO,X,O,X,O,O,X,X,X,X,X,X,O
IZJLTOS,X,O,X,O,X,X,X,X,X,X,X,X
IZJLSTO,X,X,X,O,O,X,X,O,X,X,X,O
IZJLSOT,X,X,X,O,O,X,X,O,X,X,X,X
IZJLOTS,X,X,X,O,O,X,X,X,X,X,X,X
IZJLOST,X,X,X,O,O,X,X,X,X,X,X,X
IZJSTLO,X,O,X,O,O,X,O,O,X,X,O,O
IZJSTOL,X,X,X,O,O,X,O,O,O,O,O,O
IZJSLTO,X,X,X,O,O,X,O,O,X,X,O,O
IZJSLOT,X,X,X,O,O,X,X,O,X,X,X,X
IZJSOTL,X,X,X,O,O,X,O,O,X,O,O,O
IZJSOLT,X,X,X,O,O,X,X,O,X,X,X,X
IZJOTLS,X,O,X,O,O,X,X,X,X,X,X,X
IZJOTSL,X,X,X,O,O,X,X,X,X,X,X,O
IZJOLTS,X,X,X,O,O,X,X,X,X,X,X,X
IZJOLST,X,X,X,O,O,X,X,X,X,X,X,X
IZJOSTL,X,X,X,O,O,X,X,X,X,O,X,O
IZJOSLT,X,X,X,O,O,X,X,X,X,X,X,X
IZSTLJO,O,O,X,O,O,X,O,O,X,X,O,O
IZSTLOJ,X,O,X,O,X,X,O,X,X,O,X,X
IZSTJLO,X,O,X,O,O,X,O,O,X,X,O,O
IZSTJOL,X,O,X,O,O,X,O,O,O,O,O,O
IZSTOLJ,O,O,X,O,O,X,O,X,O,O,X,X
IZSTOJL,X,X,X,O,O,X,X,X,O,O,O,O
IZSLTJO,O,O,X,O,O,X,O,X,X,X,X,O
IZSLTOJ,X,O,X,O,X,X,O,X,X,O,X,X
IZSLJTO,O,O,X,O,O,X,X,O,X,X,O,O
IZSLJOT,O,X,X,O,O,X,X,O,X,X,X,X
IZSLOTJ,X,X,X,O,O,X,X,X,X,O,X,X
IZSLOJT,X,X,X,O,O,X,X,X,X,X,X,X
IZSJTLO,X,O,X,O,O,X,O,O,X,X,O,O
IZSJTOL,X,O,X,O,O,X,O,O,O,O,O,O
IZSJLTO,X,O,X,O,O,X,O,O,X,X,O,O
IZSJLOT,X,X,X,O,O,X,X,O,X,X,X,X
IZSJOTL,X,O,X,O,O,X,O,O,X,O,O,O
IZSJOLT,X,X,X,O,O,X,X,O,X,X,X,X
IZSOTLJ,O,O,X,O,O,X,O,X,X,O,X,X
IZSOTJL,X,X,X,O,O,X,X,X,X,O,X,O
IZSOLTJ,O,X,X,O,O,X,X,X,X,O,X,X
IZSOLJT,O,X,X,O,O,X,X,X,X,X,X,X
IZSOJTL,X,O,X,O,O,X,X,X,X,O,O,O
IZSOJLT,X,X,X,O,O,X,X,X,X,X,X,X
IZOTLJS,O,X,X,O,O,X,X,X,X,X,X,X
IZOTLSJ,O,X,X,O,O,X,X,X,X,X,X,X
IZOTJLS,X,X,X,O,O,X,X,X,X,X,X,X
IZOTJSL,X,X,X,O,O,X,X,X,X,X,X,O
IZOTSLJ,O,X,X,O,O,X,X,X,X,O,X,X
IZOTSJL,X,X,X,O,O,X,X,X,X,O,X,O
IZOLTJS,O,X,X,O,O,X,X,X,X,X,X,X
IZOLTSJ,O,X,X,O,O,X,X,X,X,X,X,X
IZOLJTS,O,X,X,O,O,X,X,X,X,X,X,X
IZOLJST,O,X,X,O,O,X,X,X,X,X,X,X
IZOLSTJ,O,X,X,O,O,X,X,X,X,O,X,X
IZOLSJT,O,X,X,O,O,X,X,X,X,X,X,X
IZOJTLS,X,X,X,O,O,X,X,X,X,X,X,X
IZOJTSL,X,X,X,O,O,X,X,X,X,X,X,O
IZOJLTS,X,X,X,O,O,X,X,X,X,X,X,X
IZOJLST,X,X,X,O,O,X,X,X,X,X,X,X
IZOJSTL,X,X,X,O,O,X,X,X,X,O,X,O
IZOJSLT,X,X,X,O,O,X,X,X,X,X,X,X
IZOSTLJ,O,X,X,O,O,X,X,X,X,O,X,X
IZOSTJL,X,X,X,O,O,X,X,X,X,O,X,O
IZOSLTJ,O,X,X,O,O,X,X,X,X,O,X,X
IZOSLJT,O,X,X,O,O,X,X,X,X,X,X,X
IZOSJTL,X,X,X,O,O,X,X,X,X,O,O,O
IZOSJLT,X,X,X,O,O,X,X,X,X,X,X,X
IOTLJSZ,O,O,O,X,X,O,X,X,X,X,X,X
IOTLJZS,O,O,X,O,X,O,X,X,X,X,X,X
IOTLSJZ,O,O,O,X,X,O,X,X,X,X,X,X
IOTLSZJ,O,O,X,O,X,O,X,X,X,X,X,X
IOTLZJS,O,O,X,O,X,O,X,X,X,X,X,X
IOTLZSJ,O,O,X,O,X,O,X,X,X,X,X,X
IOTJLSZ,O,O,O,X,X,O,X,X,X,X,X,X
IOTJLZS,O,O,X,X,X,O,X,X,X,X,X,X
IOTJSLZ,O,X,O,X,X,O,X,X,X,X,X,X
IOTJSZL,X,X,O,X,X,O,X,X,X,X,X,X
IOTJZLS,X,O,X,O,X,O,X,X,X,X,X,X
IOTJZSL,X,X,O,O,X,O,X,X,X,X,X,X
IOTSLJZ,O,O,O,X,X,O,X,X,X,X,X,X
IOTSLZJ,O,O,X,X,X,O,X,X,X,X,X,X
IOTSJLZ,O,X,O,X,X,O,X,X,X,X,X,X
IOTSJZL,X,X,O,X,X,O,X,X,X,X,X,X
IOTSZLJ,O,O,X,O,O,X,X,X,X,X,X,X
IOTSZJL,X,X,O,O,O,O,X,X,X,X,X,X
IOTZLJS,O,X,X,O,O,O,X,X,X,X,X,X
IOTZLSJ,O,X,X,O,O,O,X,X,X,X,X,X
IOTZJLS,X,X,X,O,O,O,X,X,X,X,X,X
IOTZJSL,X,X,O,O,O,O,X,X,X,X,X,X
IOTZSLJ,O,X,X,O,O,X,X,X,X,X,X,X
IOTZSJL,X,X,O,O,O,O,X,X,X,X,X,X
IOLTJSZ,O,X,O,X,X,O,X,X,X,X,X,X
IOLTJZS,O,X,O,O,X,O,X,X,X,X,X,X
IOLTSJZ,O,X,O,X,X,O,X,X,X,X,X,X
IOLTSZJ,O,X,O,O,X,O,X,X,X,X,X,X
IOLTZJS,O,X,O,O,X,O,X,X,X,X,X,X
IOLTZSJ,O,X,O,O,X,O,X,X,X,X,X,X
IOLJTSZ,O,X,O,X,X,X,X,X,X,X,X,X
IOLJTZS,O,X,O,O,X,X,X,X,X,X,X,X
IOLJSTZ,O,X,O,X,X,X,X,X,X,X,X,X
IOLJSZT,O,X,X,X,X,X,X,X,X,X,X,X
IOLJZTS,O,X,X,O,X,X,X,X,X,X,X,X
IOLJZST,O,X,X,O,X,X,X,X,X,X,X,X
IOLSTJZ,O,X,O,X,X,X,X,X,X,X,X,X
IOLSTZJ,O,X,O,O,X,X,X,X,X,X,X,X
IOLSJTZ,O,X,O,X,X,X,X,X,X,X,X,X
IOLSJZT,O,X,X,X,X,X,X,X,X,X,X,X
IOLSZTJ,O,X,O,O,O,X,X,X,X,X,X,X
IOLSZJT,O,X,X,O,O,X,X,X,X,X,X,X
IOLZTJS,O,X,X,O,O,O,X,X,X,X,X,X
IOLZTSJ,O,X,X,O,O,O,X,X,X,X,X,X
IOLZJTS,O,X,X,O,O,X,X,X,X,X,X,X
IOLZJST,O,X,X,O,O,X,X,X,X,X,X,X
IOLZSTJ,O,X,X,O,O,X,X,X,X,X,X,X
IOLZSJT,O,X,X,O,O,X,X,X,X,X,X,X
IOJTLSZ,O,O,O,X,X,X,X,X,X,X,X,X
IOJTLZS,O,O,X,X,X,X,X,X,X,X,X,X
IOJTSLZ,O,X,O,X,X,X,X,X,X,X,X,X
IOJTSZL,X,X,O,X,X,X,X,X,X,X,X,X
IOJTZLS,X,O,X,O,X,X,X,X,X,X,X,X
IOJTZSL,X,X,O,O,X,X,X,X,X,X,X,X
IOJLTSZ,O,X,O,X,X,X,X,X,X,X,X,X
IOJLTZS,O,X,O,O,X,X,X,X,X,X,X,X
IOJLSTZ,O,X,O,X,X,X,X,X,X,X,X,X
IOJLSZT,O,X,X,X,X,X,X,X,X,X,X,X
IOJLZTS,O,X,X,O,X,X,X,X,X,X,X,X
IOJLZST,O,X,X,O,X,X,X,X,X,X,X,X
IOJSTLZ,O,X,O,X,X,X,X,X,X,X,X,X
IOJSTZL,X,X,O,X,X,X,X,X,X,X,X,X
IOJSLTZ,O,X,O,X,X,X,X,X,X,X,X,X
IOJSLZT,O,X,X,X,X,X,X,X,X,X,X,X
IOJSZTL,X,X,X,X,O,X,X,X,X,X,X,X
IOJSZLT,X,X,X,X,O,X,X,X,X,X,X,X
IOJZTLS,X,O,X,O,O,X,X,X,X,X,X,X
IOJZTSL,X,X,X,O,O,X,X,X,X,X,X,X
IOJZLTS,X,X,X,O,O,X,X,X,X,X,X,X
IOJZLST,X,X,X,O,O,X,X,X,X,X,X,X
IOJZSTL,X,X,X,O,O,X,X,X,X,X,X,X
IOJZSLT,X,X,X,O,O,X,X,X,X,X,X,X
IOSTLJZ,O,O,O,X,X,X,X,X,X,X,X,X
IOSTLZJ,O,O,O,X,X,X,X,X,X,X,X,X
IOSTJLZ,O,X,O,X,X,X,X,X,X,X,X,X
IOSTJZL,X,X,O,X,X,X,X,X,X,X,X,X
IOSTZLJ,O,O,X,O,O,X,X,X,X,O,X,X
IOSTZJL,X,X,O,O,O,X,X,X,X,O,X,X
IOSLTJZ,O,X,O,X,X,X,X,X,X,X,X,X
IOSLTZJ,O,X,O,O,X,X,X,X,X,X,X,X
IOSLJTZ,O,X,O,X,X,X,X,X,X,X,X,X
IOSLJZT,O,X,X,X,X,X,X,X,X,X,X,X
IOSLZTJ,O,X,O,O,O,X,X,X,X,X,X,X
IOSLZJT,O,X,X,O,O,X,X,X,X,X,X,X
IOSJTLZ,O,O,O,X,X,X,X,X,X,X,X,X
IOSJTZL,X,O,O,X,X,X,X,X,X,X,X,X
IOSJLTZ,O,X,O,X,X,X,X,X,X,X,X,X
IOSJLZT,O,X,X,X,X,X,X,X,X,X,X,X
IOSJZTL,X,O,X,X,O,X,X,X,X,X,X,X
IOSJZLT,X,X,X,X,O,X,X,X,X,X,X,X
IOSZTLJ,O,O,X,O,O,X,X,X,X,O,X,X
IOSZTJL,X,X,O,O,O,X,X,X,X,O,X,O
IOSZLTJ,O,X,O,O,O,X,X,X,X,O,X,X
IOSZLJT,O,X,X,O,O,X,X,X,X,X,X,X
IOSZJTL,X,O,X,O,O,X,X,X,X,O,X,O
IOSZJLT,X,X,X,O,O,X,X,X,X,X,X,X
IOZTLJS,O,X,X,O,O,X,X,X,X,X,X,X
IOZTLSJ,O,X,X,O,O,X,X,X,X,X,X,X
IOZTJLS,X,X,X,O,O,X,X,X,X,X,X,X
IOZTJSL,X,X,X,O,O,X,X,X,X,X,X,O
IOZTSLJ,O,X,X,O,O,X,X,X,X,O,X,X
IOZTSJL,X,X,X,O,O,X,X,X,X,O,X,O
IOZLTJS,O,X,X,O,O,X,X,X,X,X,X,X
IOZLTSJ,O,X,X,O,O,X,X,X,X,X,X,X
IOZLJTS,O,X,X,O,O,X,X,X,X,X,X,X
IOZLJST,O,X,X,O,O,X,X,X,X,X,X,X
IOZLSTJ,O,X,X,O,O,X,X,X,X,O,X,X
IOZLSJT,O,X,X,O,O,X,X,X,X,X,X,X
IOZJTLS,X,X,X,O,O,X,X,X,X,X,X,X
IOZJTSL,X,X,X,O,O,X,X,X,X,X,X,O
IOZJLTS,X,X,X,O,O,X,X,X,X,X,X,X
IOZJLST,X,X,X,O,O,X,X,X,X,X,X,X
IOZJSTL,X,X,X,O,O,X,X,X,X,O,X,O
IOZJSLT,X,X,X,O,O,X,X,X,X,X,X,X
IOZSTLJ,O,X,X,O,O,X,X,X,X,O,X,X
IOZSTJL,X,X,X,O,O,X,X,X,X,O,X,O
IOZSLTJ,O,X,X,O,O,X,X,X,X,O,X,X
IOZSLJT,O,X,X,O,O,X,X,X,X,X,X,X
IOZSJTL,X,X,X,O,O,X,X,X,X,O,X,O
IOZSJLT,X,X,X,O,O,X,X,X,X,X,X,X
LTIJSZO,O,O,O,X,X,O,X,X,X,X,X,X
LTIJSOZ,O,O,O,X,X,X,X,X,X,X,X,X
LTIJZSO,O,O,O,O,X,O,O,X,X,X,X,X
LTIJZOS,O,O,X,O,X,O,O,X,X,X,X,X
LTIJOSZ,O,O,O,X,X,O,X,X,X,X,X,X
LTIJOZS,O,O,X,O,X,O,O,X,X,X,X,X
LTISJZO,O,O,O,X,X,O,X,X,X,X,X,X
LTISJOZ,O,O,O,X,X,X,X,X,X,X,X,X
LTISZJO,O,O,O,O,X,O,X,X,X,X,X,X
LTISZOJ,X,O,X,O,X,O,X,X,X,X,X,X
LTISOJZ,O,O,O,X,X,O,X,X,X,X,X,X
LTISOZJ,X,O,X,O,X,O,X,X,X,X,X,X
LTIZJSO,X,O,O,O,X,O,O,X,X,X,X,X
LTIZJOS,X,O,X,O,X,O,O,X,X,X,X,X
LTIZSJO,X,O,O,O,X,O,O,X,X,X,X,X
LTIZSOJ,X,O,X,O,X,O,O,X,X,X,X,X
LTIZOJS,X,O,X,O,X,O,O,X,X,X,X,X
LTIZOSJ,X,O,X,O,X,O,O,X,X,X,X,X
LTIOJSZ,O,O,O,X,X,O,X,X,X,X,X,X
LTIOJZS,O,O,X,O,X,O,O,X,X,X,X,X
LTIOSJZ,O,O,O,X,X,O,X,X,X,X,X,X
LTIOSZJ,O,O,X,O,X,O,X,X,X,X,X,X
LTIOZJS,O,O,X,O,X,O,O,X,X,X,X,X
LTIOZSJ,O,O,X,O,X,O,O,X,X,X,X,X
LTJISZO,O,O,O,X,X,O,X,X,X,X,X,X
LTJISOZ,O,O,O,X,X,X,X,X,X,X,X,X
LTJIZSO,O,O,O,O,X,O,O,X,X,X,X,X
LTJIZOS,O,O,X,O,X,O,O,X,X,X,X,X
LTJIOSZ,O,O,O,X,X,O,X,X,X,X,X,X
LTJIOZS,O,O,X,O,X,O,O,X,X,X,X,X
LTJSIZO,O,O,O,X,X,O,X,X,X,X,X,X
LTJSIOZ,O,O,O,X,X,X,X,X,X,X,X,X
LTJSZIO,O,O,O,O,X,O,O,X,X,X,X,X
LTJSZOI,O,O,O,O,X,X,O,X,X,X,X,X
LTJSOIZ,O,O,O,X,X,X,X,X,X,X,X,X
LTJSOZI,O,O,O,O,X,X,O,X,X,X,X,X
LTJZISO,O,O,O,O,X,O,O,O,X,X,X,X
LTJZIOS,O,O,X,O,X,O,O,X,X,X,X,X
LTJZSIO,O,O,O,O,X,O,O,O,X,X,X,X
LTJZSOI,O,O,O,O,X,X,O,O,X,X,X,X
LTJZOIS,O,O,X,O,X,O,O,X,X,X,X,X
LTJZOSI,O,O,X,O,X,O,O,O,X,X,X,X
LTJOISZ,O,O,O,X,X,O,X,X,X,X,X,X
LTJOIZS,O,O,O,O,X,O,O,X,X,X,X,X
LTJOSIZ,O,O,O,X,X,O,X,X,X,X,X,X
LTJOSZI,O,O,O,O,X,O,O,X,X,X,X,X
LTJOZIS,O,O,O,O,X,O,O,X,X,X,X,X
LTJOZSI,O,O,O,O,X,O,O,X,X,X,X,X
LTSIJZO,O,O,O,X,X,O,X,X,X,X,X,X
LTSIJOZ,O,O,O,X,X,X,X,X,X,X,X,X
LTSIZJO,O,O,O,O,X,O,X,X,X,X,X,X
LTSIZOJ,X,O,X,O,X,O,X,X,X,X,X,X
LTSIOJZ,O,O,O,X,X,O,X,X,X,X,X,X
LTSIOZJ,X,O,X,O,X,O,X,X,X,X,X,X
LTSJIZO,O,O,O,X,X,O,X,X,X,X,X,X
LTSJIOZ,O,O,O,X,X,X,X,X,X,X,X,X
LTSJZIO,O,O,O,O,X,O,O,X,X,X,X,X
LTSJZOI,O,O,O,O,X,X,O,X,X,X,X,X
LTSJOIZ,O,O,O,X,X,X,X,X,X,X,X,X
LTSJOZI,O,O,O,O,X,X,O,X,X,X,X,X
LTSZIJO,O,O,O,O,X,O,O,X,X,X,O,X
LTSZIOJ,X,O,X,O,X,O,O,X,X,X,X,X
LTSZJIO,O,O,O,O,X,O,O,X,X,X,O,X
LTSZJOI,O,O,O,O,X,X,O,X,O,X,X,X
LTSZOIJ,X,O,X,O,X,O,O,X,O,X,X,X
LTSZOJI,X,O,X,O,X,O,O,X,O,X,X,X
LTSOIJZ,O,O,O,X,X,O,X,X,X,X,X,X
LTSOIZJ,X,O,X,O,X,O,X,X,O,X,X,X
LTSOJIZ,O,O,O,X,X,O,X,X,X,X,X,X
LTSOJZI,O,O,O,O,X,O,O,X,X,X,X,X
LTSOZIJ,X,O,X,O,X,O,O,X,O,X,X,X
LTSOZJI,X,O,X,O,X,O,O,X,O,X,X,X
LTZIJSO,X,O,O,O,X,O,O,O,X,X,X,X
LTZIJOS,X,O,X,O,X,O,O,X,X,X,X,X
LTZISJO,X,O,O,O,X,O,O,O,X,X,O,X
LTZISOJ,X,O,X,O,X,O,O,X,X,X,X,X
LTZIOJS,X,O,X,O,X,O,O,X,X,X,X,X
LTZIOSJ,X,O,X,O,X,O,O,X,X,X,X,X
LTZJISO,X,O,O,O,X,O,O,O,X,X,X,X
LTZJIOS,X,O,X,O,X,O,O,X,X,X,X,X
LTZJSIO,X,O,O,O,X,O,O,O,X,X,X,X
LTZJSOI,X,O,O,O,X,X,O,O,O,X,X,X
LTZJOIS,X,O,X,O,X,O,O,X,O,X,X,X
LTZJOSI,X,O,X,O,X,O,O,O,O,X,X,X
LTZSIJO,X,O,O,O,X,O,O,O,X,X,O,X
LTZSIOJ,X,O,X,O,X,O,O,X,X,X,X,X
LTZSJIO,X,O,O,O,X,O,O,O,X,X,O,X
LTZSJOI,X,O,O,O,X,X,O,O,O,X,X,X
LTZSOIJ,X,O,X,O,X,O,O,X,O,X,X,X
LTZSOJI,X,O,X,O,X,O,O,O,O,X,X,X
LTZOIJS,X,O,X,O,X,O,O,X,O,X,X,X
LTZOISJ,X,O,X,O,X,O,O,X,O,X,X,X
LTZOJIS,X,O,X,O,X,O,O,X,O,X,X,X
LTZOJSI,X,O,X,O,X,O,O,O,O,X,X,X
LTZOSIJ,X,O,X,O,X,O,O,X,O,X,X,X
LTZOSJI,X,O,X,O,X,O,O,O,O,X,X,X
LTOIJSZ,O,O,O,X,X,O,X,X,X,X,X,X
LTOIJZS,O,O,O,O,X,O,O,X,X,X,X,X
LTOISJZ,O,O,O,X,X,O,X,X,X,X,X,X
LTOISZJ,O,O,O,O,X,O,X,X,O,X,X,X
LTOIZJS,O,O,O,O,X,O,O,X,O,X,X,X
LTOIZSJ,O,O,O,O,X,O,O,X,O,X,X,X
LTOJISZ,O,O,O,X,X,O,X,X,X,X,X,X
LTOJIZS,O,O,O,O,X,O,O,X,X,X,X,X
LTOJSIZ,O,O,O,X,X,O,X,X,X,X,X,X
LTOJSZI,O,O,O,O,X,O,O,X,X,X,X,X
LTOJZIS,O,O,O,O,X,O,O,X,X,X,X,X
LTOJZSI,O,O,O,O,X,O,O,X,X,X,X,X
LTOSIJZ,O,O,O,X,X,O,X,X,X,X,X,X
LTOSIZJ,O,O,O,O,X,O,X,X,O,X,X,X
LTOSJIZ,O,O,O,X,X,O,X,X,X,X,X,X
LTOSJZI,O,O,O,O,X,O,O,X,X,X,X,X
LTOSZIJ,O,O,O,O,X,O,O,X,O,X,X,X
LTOSZJI,O,O,O,O,X,O,O,X,O,X,X,X
LTOZIJS,O,O,O,O,X,O,O,X,O,X,X,X
LTOZISJ,O,O,O,O,X,O,O,X,O,X,X,X
LTOZJIS,O,O,O,O,X,O,O,X,O,X,X,X
LTOZJSI,O,O,O,O,X,O,O,X,O,X,X,X
LTOZSIJ,O,O,O,O,X,O,O,X,O,X,X,X
LTOZSJI,O,O,O,O,X,O,O,X,O,X,X,X
LITJSZO,O,O,O,X,X,O,X,X,X,X,X,X
LITJSOZ,O,O,O,X,X,X,X,X,X,X,X,X
LITJZSO,O,O,O,O,X,O,X,X,X,X,X,X
LITJZOS,O,O,X,O,X,O,X,X,X,X,X,X
LITJOSZ,O,O,O,X,X,O,X,X,X,X,X,X
LITJOZS,O,O,X,O,X,O,X,X,X,X,X,X
LITSJZO,O,O,O,X,X,O,X,X,X,X,X,X
LITSJOZ,O,O,O,X,X,X,X,X,X,X,X,X
LITSZJO,O,O,O,O,X,O,X,X,X,X,X,X
LITSZOJ,X,O,X,O,X,O,X,X,X,X,X,X
LITSOJZ,O,O,O,X,X,O,X,X,X,X,X,X
LITSOZJ,X,O,X,O,X,O,X,X,X,X,X,X
LITZJSO,X,O,O,O,X,O,X,X,X,X,X,X
LITZJOS,X,O,X,O,X,O,X,X,X,X,X,X
LITZSJO,X,X,O,O,X,O,X,X,X,X,X,X
LITZSOJ,X,O,X,O,X,O,X,X,X,X,X,X
LITZOJS,X,O,X,O,X,O,X,X,X,X,X,X
LITZOSJ,X,O,X,O,X,O,X,X,X,X,X,X
LITOJSZ,O,O,O,X,X,O,X,X,X,X,X,X
LITOJZS,O,O,X,O,X,O,X,X,X,X,X,X
LITOSJZ,O,O,O,X,X,O,X,X,X,X,X,X
LITOSZJ,O,O,X,O,X,O,X,X,X,X,X,X
LITOZJS,O,O,X,O,X,O,X,X,X,X,X,X
LITOZSJ,O,O,X,O,X,O,X,X,X,X,X,X
LIJTSZO,O,O,O,X,X,O,X,X,X,X,X,X
LIJTSOZ,O,O,O,X,X,X,X,X,X,X,X,X
LIJTZSO,O,O,O,O,X,O,X,X,X,X,X,X
LIJTZOS,O,O,X,O,X,O,X,X,X,X,X,X
LIJTOSZ,O,O,O,X,X,O,X,X,X,X,X,X
LIJTOZS,O,O,X,O,X,O,X,X,X,X,X,X
LIJSTZO,O,X,O,X,X,X,X,X,X,X,X,X
LIJSTOZ,O,X,O,X,X,X,X,X,X,X,X,X
LIJSZTO,O,X,X,X,X,X,X,X,X,X,X,X
LIJSZOT,O,X,X,X,X,X,X,X,X,X,X,X
LIJSOTZ,O,X,X,X,X,X,X,X,X,X,X,X
LIJSOZT,O,X,X,X,X,X,X,X,X,X,X,X
LIJZTSO,O,O,X,O,X,O,X,X,X,X,X,X
LIJZTOS,O,O,X,O,X,O,X,X,X,X,X,X
LIJZSTO,O,X,X,O,X,X,X,X,X,X,X,X
LIJZSOT,O,X,X,O,X,X,X,X,X,X,X,X
LIJZOTS,O,X,X,O,X,X,X,X,X,X,X,X
LIJZOST,O,X,X,O,X,X,X,X,X,X,X,X
LIJOTSZ,O,X,O,X,X,X,X,X,X,X,X,X
LIJOTZS,O,X,O,O,X,X,X,X,X,X,X,X
LIJOSTZ,O,X,O,X,X,X,X,X,X,X,X,X
LIJOSZT,O,X,X,X,X,X,X,X,X,X,X,X
LIJOZTS,O,X,X,O,X,X,X,X,X,X,X,X
LIJOZST,O,X,X,O,X,X,X,X,X,X,X,X
LISTJZO,O,O,O,X,X,O,X,X,X,X,X,X
LISTJOZ,O,O,O,X,X,X,X,X,X,X,X,X
LISTZJO,O,O,O,O,X,O,X,X,X,X,X,X
LISTZOJ,X,O,X,O,X,O,X,X,X,O,X,X
LISTOJZ,O,O,O,X,X,O,X,X,X,X,X,X
LISTOZJ,O,O,X,O,X,O,X,X,X,X,X,X
LISJTZO,O,O,O,X,X,X,X,X,X,X,X,X
LISJTOZ,O,O,O,X,X,X,X,X,X,X,X,X
LISJZTO,O,O,X,X,X,X,X,X,X,X,X,X
LISJZOT,O,X,X,X,X,X,X,X,X,X,X,X
LISJOTZ,O,X,X,X,X,X,X,X,X,X,X,X
LISJOZT,O,X,X,X,X,X,X,X,X,X,X,X
LISZTJO,O,O,O,O,O,O,X,X,X,X,X,O
LISZTOJ,X,O,X,O,X,O,X,X,X,O,X,X
LISZJTO,O,O,X,O,O,X,X,X,X,X,X,O
LISZJOT,O,X,X,O,O,X,X,X,X,X,X,X
LISZOTJ,X,X,X,O,O,X,X,X,X,O,X,X
LISZOJT,X,X,X,O,O,X,X,X,X,X,X,X
LISOTJZ,O,X,O,X,X,X,X,X,X,X,X,X
LISOTZJ,O,X,X,O,X,X,X,X,X,X,X,X
LISOJTZ,O,X,X,X,X,X,X,X,X,X,X,X
LISOJZT,O,X,X,X,X,X,X,X,X,X,X,X
LISOZTJ,O,X,X,O,O,X,X,X,X,X,X,X
LISOZJT,O,X,X,O,O,X,X,X,X,X,X,X
LIZTJSO,X,X,X,O,O,O,X,X,X,X,X,O
LIZTJOS,X,X,X,O,X,O,X,X,X,X,X,X
LIZTSJO,X,X,X,O,O,O,X,X,X,X,X,O
LIZTSOJ,X,X,X,O,X,O,X,X,X,X,X,X
LIZTOJS,X,X,X,O,X,O,X,X,X,X,X,X
LIZTOSJ,X,X,X,O,X,O,X,X,X,X,X,X
LIZJTSO,O,X,X,O,O,O,X,X,X,X,X,O
LIZJTOS,O,X,X,O,X,O,X,X,X,X,X,X
LIZJSTO,O,X,X,O,O,X,X,X,X,X,X,O
LIZJSOT,O,X,X,O,O,X,X,X,X,X,X,X
LIZJOTS,O,X,X,O,O,X,X,X,X,X,X,X
LIZJOST,O,X,X,O,O,X,X,X,X,X,X,X
