sequence,v115@7gB8GeC8GeF8CeF8CeE8Jex6IvhFCdBTfB2lB8mB3q?BdrB,v115@7gB8GeC8GeF8CeF8CeE8JeK/IvhFfgB8gB5hBOiBdr?BTqB,v115@7gB8GeC8GeF8CeF8CeE8Jem6IvhFCdBTfB9lBZmB8m?B3qB,v115@7gB8GeC8GeF8CeF8CeE8JeK/IvhFfgBxcBtlBmhBcr?BTqB,v115@7gB8GeC8GeF8CeF8CeE8Jex6IvhFXcBOiBTfBCrBNq?BcrB,v115@7gB8GeC8GeF8CeF8CeE8Jei6IvhFWhBxcB3fB8mBdr?BTqB,v115@7gB8GeC8GeF8CeF8CeE8JeN/IvhFxcB8lBzhBXrBOq?BCqB,v115@7gB8GeC8GeF8CeF8CeE8Jex6IvhFXdBTfBigB0hB+q?BNrB,v115@7gB8GeC8GeF8CeF8CeE8Jex6IvhFXdBTfBCrBOqBdr?B0rB,v115@7gB8GeC8GeF8CeF8CeE8JeN/IvhF3bBZmBzhBGlBCn?BUqB,v115@7gB8GeC8GeF8CeF8CeE8JeT6IvhF0bBXdBykBZmBtm?B+qB,v115@7gB8GeC8GeF8CeF8CeE8JeK/IvhFxcB9lBmhBTmBfq?B0qB,v115@7gB8GeC8GeF8CeF8CeE8JeN/IvhF3bBCdBZmB8mBzf?B+qB
ISJOZTL,O,X,X,X,X,X,O,X,X,O,X,X,X
ISJOZLT,O,X,X,X,X,X,O,O,X,X,X,X,X
ISZTLJO,X,X,X,X,X,O,X,X,X,X,X,X,X
ISZTLOJ,X,X,O,X,X,O,X,X,X,X,X,X,X
ISZTJLO,X,X,X,X,X,O,X,X,X,X,X,X,X
ISZTJOL,X,X,X,X,X,O,O,X,X,X,X,X,X
ISZTOLJ,X,X,O,X,X,O,O,X,X,X,X,X,X
ISZTOJL,X,X,O,X,X,O,O,X,X,O,X,X,X
ISZLTJO,X,X,X,X,X,O,X,X,X,X,X,X,X
ISZLTOJ,X,X,O,X,X,O,X,X,X,X,X,X,X
ISZLJTO,X,X,X,O,X,O,X,X,X,X,X,X,X
ISZLJOT,O,X,X,X,X,O,X,X,X,X,X,X,X
ISZLOTJ,X,X,O,X,X,X,X,X,X,X,X,X,X
ISZLOJT,O,X,X,X,X,O,X,X,X,X,X,X,X
ISZJTLO,X,X,X,O,X,O,X,X,X,X,X,X,X
ISZJTOL,X,X,X,X,X,X,O,X,X,O,X,X,X
ISZJLTO,X,X,X,O,X,O,X,X,X,X,X,X,X
ISZJLOT,O,X,X,X,X,O,X,X,X,X,X,X,X
ISZJOTL,O,X,X,X,X,X,O,X,X,O,X,X,X
ISZJOLT,O,X,X,X,X,O,O,X,X,X,X,X,X
ISZOTLJ,X,X,O,X,X,X,O,X,X,X,X,X,X
ISZOTJL,O,X,O,X,X,X,O,X,X,O,X,X,X
ISZOLTJ,X,X,O,X,X,X,O,X,X,X,X,X,X
ISZOLJT,O,X,X,X,X,O,O,X,X,X,X,X,X
ISZOJTL,O,X,X,X,X,X,O,X,X,O,X,X,X
ISZOJLT,O,X,X,X,X,O,O,X,X,X,X,X,X
ISOTLJZ,X,X,X,X,X,X,X,O,X,O,X,X,X
ISOTLZJ,X,X,X,X,X,X,O,X,X,X,X,X,X
ISOTJLZ,X,X,X,X,X,X,X,O,X,O,X,X,X
ISOTJZL,O,X,O,X,X,X,O,X,X,O,X,X,X
ISOTZLJ,X,X,O,X,X,X,O,X,X,X,X,X,X
ISOTZJL,O,X,O,X,X,X,O,X,X,O,X,X,X
ISOLTJZ,X,X,X,X,X,X,X,O,O,O,X,X,X
ISOLTZJ,X,X,X,X,X,X,O,X,X,X,X,X,X
ISOLJTZ,X,X,X,X,X,X,X,O,X,O,X,O,X
ISOLJZT,O,X,X,X,X,X,X,O,X,X,X,X,X
ISOLZTJ,X,X,X,X,X,X,O,X,X,X,X,X,X
ISOLZJT,O,X,X,X,X,X,O,O,X,X,X,X,X
ISOJTLZ,X,X,X,X,X,X,X,O,X,O,X,O,X
ISOJTZL,O,X,X,X,X,X,O,X,X,O,X,X,X
ISOJLTZ,X,X,X,X,X,X,X,O,X,O,X,O,X
ISOJLZT,O,X,X,X,X,X,X,O,X,X,X,X,X
ISOJZTL,O,X,X,X,X,X,O,X,X,O,X,X,X
ISOJZLT,O,X,X,X,X,X,O,O,X,X,X,X,X
ISOZTLJ,X,X,O,X,X,X,O,X,X,X,X,X,X
ISOZTJL,O,X,O,X,X,X,O,X,X,O,X,X,X
ISOZLTJ,X,X,O,X,X,X,O,X,X,X,X,X,X
ISOZLJT,O,X,X,X,X,O,O,O,X,X,X,X,X
ISOZJTL,O,X,X,X,X,X,O,X,X,O,X,X,X
ISOZJLT,O,X,X,X,X,O,O,O,X,X,X,X,X
IZTLJSO,X,O,X,O,X,O,X,X,X,X,X,X,O
IZTLJOS,X,O,O,O,X,X,X,X,X,X,X,X,O
IZTLSJO,X,O,X,O,X,O,X,X,X,X,X,X,X
IZTLSOJ,X,O,O,X,X,O,X,X,X,X,X,X,X
IZTLOJS,X,O,O,X,X,O,X,X,X,X,X,X,X
IZTLOSJ,X,O,O,X,X,O,X,X,X,X,X,X,X
IZTJLSO,X,O,X,O,X,O,X,X,X,X,X,X,O
IZTJLOS,X,O,O,O,X,X,X,X,X,X,X,X,O
IZTJSLO,X,O,X,O,X,O,X,X,X,X,X,X,O
IZTJSOL,X,X,X,X,X,O,X,X,X,O,X,X,O
IZTJOLS,X,O,O,O,X,O,X,X,X,X,X,X,O
IZTJOSL,X,X,O,X,X,O,X,X,X,O,X,X,O
IZTSLJO,X,O,X,X,X,O,X,X,X,X,X,X,X
IZTSLOJ,X,O,O,X,X,O,X,X,X,X,X,X,X
IZTSJLO,X,O,X,X,X,O,X,X,X,X,X,X,X
IZTSJOL,X,X,X,X,X,O,X,X,X,X,X,X,X
IZTSOLJ,X,X,O,X,X,O,O,X,X,X,X,X,X
IZTSOJL,X,X,O,X,X,O,O,X,X,O,X,X,X
IZTOLJS,X,O,O,X,X,O,X,X,X,X,X,X,X
IZTOLSJ,X,O,O,X,X,O,X,X,X,X,X,X,X
IZTOJLS,X,O,O,X,X,O,X,X,X,X,X,X,X
IZTOJSL,X,X,O,X,X,O,X,X,X,O,X,X,X
IZTOSLJ,X,X,O,X,X,O,O,X,X,X,X,X,X
IZTOSJL,X,X,O,X,X,O,O,X,X,O,X,X,X
IZLTJSO,X,O,X,O,X,O,X,X,X,X,X,X,O
IZLTJOS,X,O,O,O,X,X,X,X,X,X,X,X,O
IZLTSJO,X,O,X,O,X,O,X,X,X,X,X,X,X
IZLTSOJ,X,O,O,X,X,O,X,X,X,X,X,X,X
IZLTOJS,X,O,O,X,X,O,X,X,X,X,X,X,X
IZLTOSJ,X,O,O,X,X,O,X,X,X,X,X,X,X
IZLJTSO,X,O,X,O,X,X,X,X,X,X,X,X,O
IZLJTOS,X,O,O,O,X,X,X,X,X,X,X,X,O
IZLJSTO,X,O,X,O,X,O,X,X,X,X,X,X,O
IZLJSOT,X,X,X,X,X,O,X,X,X,X,X,X,O
IZLJOTS,X,X,O,O,X,X,X,X,X,X,X,X,O
IZLJOST,O,X,X,X,X,X,X,X,X,X,X,X,O
IZLSTJO,X,O,X,O,X,O,X,X,X,X,X,X,X
IZLSTOJ,X,O,O,X,X,X,X,X,X,X,X,X,X
IZLSJTO,X,O,X,O,X,O,X,X,X,X,X,X,X
IZLSJOT,O,X,X,X,X,O,X,X,X,X,X,X,X
IZLSOTJ,X,X,O,X,X,X,X,X,X,X,X,X,X
IZLSOJT,O,X,X,X,X,O,X,X,X,X,X,X,X
IZLOTJS,X,X,O,X,X,X,X,X,X,X,X,X,X
IZLOTSJ,X,X,O,X,X,X,X,X,X,X,X,X,X
IZLOJTS,X,X,O,O,X,X,X,X,X,X,X,O,X
IZLOJST,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLOSTJ,X,X,O,X,X,X,X,X,X,X,X,X,X
IZLOSJT,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJTLSO,X,O,X,O,X,O,X,X,X,X,X,X,O
IZJTLOS,X,O,O,O,X,X,X,X,X,X,X,X,O
IZJTSLO,X,O,X,O,X,O,X,X,X,X,X,X,O
IZJTSOL,X,X,X,X,X,O,X,X,X,O,X,X,O
IZJTOLS,X,O,O,O,X,O,X,X,X,X,X,X,O
IZJTOSL,X,X,O,X,X,O,X,X,X,O,X,X,O
IZJLTSO,X,O,X,O,X,X,X,X,X,X,X,X,O
IZJLTOS,X,O,O,O,X,X,X,X,X,X,X,X,O
IZJLSTO,X,O,X,O,X,O,X,X,X,X,X,X,O
IZJLSOT,X,X,X,X,X,O,X,X,X,X,X,X,O
IZJLOTS,X,X,O,O,X,X,X,X,X,X,X,X,O
IZJLOST,O,X,X,X,X,X,X,X,X,X,X,X,O
IZJSTLO,X,X,X,O,X,O,X,X,X,X,X,X,O
IZJSTOL,X,X,X,X,X,X,X,X,X,O,X,X,O
IZJSLTO,X,X,X,O,X,O,X,X,X,X,X,X,O
IZJSLOT,X,X,X,X,X,O,X,X,X,X,X,X,O
IZJSOTL,X,X,X,X,X,X,X,X,X,O,X,X,O
IZJSOLT,X,X,X,X,X,O,X,X,X,X,X,X,O
IZJOTLS,X,X,O,O,X,X,X,X,X,X,X,X,O
IZJOTSL,O,X,O,X,X,X,X,X,X,O,X,X,O
IZJOLTS,X,X,O,O,X,X,X,X,X,X,X,X,O
IZJOLST,O,X,X,X,X,X,X,X,X,X,X,X,O
IZJOSTL,O,X,X,X,X,X,X,X,X,O,X,X,O
IZJOSLT,O,X,X,X,X,O,X,X,X,X,X,X,O
IZSTLJO,X,X,X,X,X,O,X,X,X,X,X,X,X
IZSTLOJ,X,X,O,X,X,O,X,X,X,X,X,X,X
IZSTJLO,X,X,X,X,X,O,X,X,X,X,X,X,X
IZSTJOL,X,X,X,X,X,O,X,X,X,X,X,X,X
IZSTOLJ,X,X,O,X,X,O,O,X,X,X,X,X,X
IZSTOJL,X,X,O,X,X,O,O,X,X,O,X,X,X
IZSLTJO,X,X,X,X,X,O,X,X,X,X,X,X,X
IZSLTOJ,X,X,O,X,X,O,X,X,X,X,X,X,X
IZSLJTO,X,X,X,O,X,O,X,X,X,X,X,X,X
IZSLJOT,O,X,X,X,X,O,X,X,X,X,X,X,X
IZSLOTJ,X,X,O,X,X,X,X,X,X,X,X,X,X
IZSLOJT,O,X,X,X,X,O,X,X,X,X,X,X,X
IZSJTLO,X,X,X,O,X,O,X,X,X,X,X,X,X
IZSJTOL,X,X,X,X,X,X,X,X,X,O,X,X,X
IZSJLTO,X,X,X,O,X,O,X,X,X,X,X,X,X
IZSJLOT,O,X,X,X,X,O,X,X,X,X,X,X,X
IZSJOTL,O,X,X,X,X,X,X,X,X,O,X,X,X
IZSJOLT,O,X,X,X,X,O,X,X,X,X,X,X,X
IZSOTLJ,X,X,O,X,X,X,O,X,X,X,X,X,X
IZSOTJL,O,X,O,X,X,X,O,X,X,O,X,X,X
IZSOLTJ,X,X,O,X,X,X,O,X,X,X,X,X,X
IZSOLJT,O,X,X,X,X,O,O,X,X,X,X,X,X
IZSOJTL,O,X,X,X,X,X,O,X,X,O,X,X,X
IZSOJLT,O,X,X,X,X,O,O,X,X,X,X,X,X
IZOTLJS,X,X,O,X,X,O,X,X,X,X,X,X,X
IZOTLSJ,X,X,O,X,X,O,X,X,X,X,X,X,X
IZOTJLS,X,X,O,X,X,O,X,X,X,X,X,X,X
IZOTJSL,O,X,O,X,X,O,X,X,X,O,X,X,X
IZOTSLJ,X,X,O,X,X,O,O,X,X,X,X,X,X
IZOTSJL,O,X,O,X,X,O,O,X,X,O,X,X,X
IZOLTJS,X,X,O,X,X,X,X,X,X,X,X,X,X
IZOLTSJ,X,X,O,X,X,X,X,X,X,X,X,X,X
IZOLJTS,X,X,O,O,X,X,X,X,X,X,X,O,X
IZOLJST,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOLSTJ,X,X,O,X,X,X,X,X,X,X,X,X,X
IZOLSJT,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOJTLS,X,X,O,O,X,X,X,X,X,X,X,O,X
IZOJTSL,O,X,O,X,X,X,X,X,X,O,X,X,X
IZOJLTS,X,X,O,O,X,X,X,X,X,X,X,O,X
IZOJLST,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOJSTL,O,X,X,X,X,X,X,X,X,O,X,X,X
IZOJSLT,O,X,X,X,X,O,X,X,X,X,X,X,X
IZOSTLJ,X,X,O,X,X,X,O,X,X,X,X,X,X
IZOSTJL,O,X,O,X,X,X,O,X,X,O,X,X,X
IZOSLTJ,X,X,O,X,X,X,O,X,X,X,X,X,X
IZOSLJT,O,X,X,X,X,O,O,X,X,X,X,X,X
IZOSJTL,O,X,X,X,X,X,O,X,X,O,X,X,X
IZOSJLT,O,X,X,X,X,O,O,X,X,X,X,X,X
IOTLJSZ,X,O,X,X,O,X,X,O,O,O,X,O,X
IOTLJZS,X,O,O,X,O,X,X,X,O,X,X,O,X
IOTLSJZ,X,O,X,X,O,X,X,O,X,O,X,X,X
IOTLSZJ,X,O,X,X,O,X,O,X,X,X,X,X,X
IOTLZJS,X,O,O,X,O,X,X,X,X,X,X,X,X
IOTLZSJ,X,O,O,X,O,X,X,X,X,X,X,X,X
IOTJLSZ,X,O,X,X,O,X,X,O,X,O,X,O,X
IOTJLZS,X,O,O,X,O,X,X,O,X,X,X,O,X
IOTJSLZ,X,X,X,X,X,X,X,O,X,O,X,O,X
IOTJSZL,X,X,O,X,X,X,O,O,X,O,X,X,X
IOTJZLS,X,O,O,X,X,X,X,O,X,X,X,O,X
IOTJZSL,O,X,O,X,X,X,X,O,X,O,X,X,X
IOTSLJZ,X,X,X,X,X,X,X,O,X,O,X,X,X
IOTSLZJ,X,X,X,X,X,X,O,X,X,X,X,X,X
IOTSJLZ,X,X,X,X,X,X,X,O,X,O,X,X,X
IOTSJZL,O,X,O,X,X,X,O,X,X,O,X,X,X
IOTSZLJ,X,X,O,X,X,X,O,X,X,X,X,X,X
IOTSZJL,O,X,O,X,X,X,O,X,X,O,X,X,X
IOTZLJS,X,O,O,X,X,X,X,X,X,X,X,X,X
IOTZLSJ,X,O,O,X,X,X,X,X,X,X,X,X,X
IOTZJLS,X,O,O,X,X,X,X,X,X,X,X,X,X
IOTZJSL,O,X,O,X,X,X,X,X,X,O,X,X,X
IOTZSLJ,X,X,O,X,X,X,O,X,X,X,X,X,X
IOTZSJL,O,X,O,X,X,X,O,X,X,O,X,X,X
IOLTJSZ,X,O,X,X,O,X,X,O,O,O,X,O,X
IOLTJZS,X,O,O,X,O,X,X,X,O,X,X,O,X
IOLTSJZ,X,O,X,X,O,X,X,O,O,O,X,X,X
IOLTSZJ,X,O,X,X,O,X,O,X,X,X,X,X,X
IOLTZJS,X,O,O,X,O,X,X,X,X,X,X,X,X
IOLTZSJ,X,O,O,X,O,X,X,X,X,X,X,X,X
IOLJTSZ,X,O,X,X,O,X,X,O,O,O,X,O,X
IOLJTZS,X,O,X,X,O,X,X,O,O,X,X,O,X
IOLJSTZ,X,O,X,X,O,X,X,O,O,O,X,O,X
IOLJSZT,X,X,X,X,X,X,X,O,X,X,X,X,X
IOLJZTS,X,X,X,O,O,X,X,X,O,X,X,O,X
IOLJZST,O,X,X,X,X,X,X,O,X,X,X,X,X
IOLSTJZ,X,O,X,X,O,X,X,O,O,O,X,X,X
IOLSTZJ,X,O,X,X,O,X,O,X,X,X,X,X,X
IOLSJTZ,X,O,X,X,O,X,X,O,O,O,X,O,X
IOLSJZT,O,X,X,X,X,X,X,O,X,X,X,X,X
IOLSZTJ,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLSZJT,O,X,X,X,X,X,O,O,X,X,X,X,X
IOLZTJS,X,X,O,X,O,X,X,X,X,X,X,X,X
IOLZTSJ,X,X,O,X,O,X,X,X,X,X,X,X,X
IOLZJTS,X,X,O,O,O,X,X,X,O,X,X,O,X
IOLZJST,O,X,X,X,X,X,X,O,X,X,X,X,X
IOLZSTJ,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLZSJT,O,X,X,X,X,X,X,O,X,X,X,X,X
IOJTLSZ,X,O,X,X,O,X,X,O,X,O,X,O,X
IOJTLZS,X,O,O,X,O,X,X,O,X,X,X,O,X
IOJTSLZ,X,X,X,X,X,X,X,O,X,O,X,O,X
IOJTSZL,X,X,O,X,X,X,O,O,X,O,X,X,X
IOJTZLS,X,O,O,X,X,X,X,O,X,X,X,O,X
IOJTZSL,O,X,O,X,X,X,X,O,X,O,X,X,X
IOJLTSZ,X,O,X,X,O,X,X,O,O,O,X,O,X
IOJLTZS,X,O,X,X,O,X,X,O,O,X,X,O,X
IOJLSTZ,X,O,X,X,O,X,X,O,O,O,X,O,X
IOJLSZT,X,X,X,X,X,X,X,O,X,X,X,X,X
IOJLZTS,X,X,X,O,O,X,X,X,O,X,X,O,X
IOJLZST,O,X,X,X,X,X,X,O,X,X,X,X,X
IOJSTLZ,X,X,X,X,X,X,X,O,X,O,X,O,X
IOJSTZL,O,X,X,X,X,X,O,O,X,O,X,X,X
IOJSLTZ,X,X,X,X,O,X,X,O,X,O,X,O,X
IOJSLZT,O,X,X,X,X,X,X,O,X,X,X,X,X
IOJSZTL,O,X,X,X,X,X,O,X,X,O,X,X,X
IOJSZLT,O,X,X,X,X,X,O,O,X,X,X,X,X
IOJZTLS,X,X,O,O,X,X,X,O,X,X,X,O,X
IOJZTSL,O,X,O,X,X,X,X,O,X,O,X,X,X
IOJZLTS,X,X,O,O,O,X,X,X,X,X,X,O,X
IOJZLST,O,X,X,X,X,X,X,O,X,X,X,X,X
IOJZSTL,O,X,X,X,X,X,X,X,X,O,X,X,X
IOJZSLT,O,X,X,X,X,X,X,O,X,X,X,X,X
IOSTLJZ,X,X,X,X,X,X,X,O,X,O,X,X,X
IOSTLZJ,X,X,X,X,X,X,O,X,X,X,X,X,X
IOSTJLZ,X,X,X,X,X,X,X,O,X,O,X,X,X
IOSTJZL,O,X,O,X,X,X,O,X,X,O,X,X,X
IOSTZLJ,X,X,O,X,X,X,O,X,X,X,X,X,X
IOSTZJL,O,X,O,X,X,X,O,X,X,O,X,X,X
IOSLTJZ,X,X,X,X,O,X,X,O,O,O,X,X,X
IOSLTZJ,X,X,X,X,O,X,O,X,X,X,X,X,X
IOSLJTZ,X,X,X,X,O,X,X,O,O,O,X,O,X
IOSLJZT,O,X,X,X,X,X,X,O,X,X,X,X,X
IOSLZTJ,X,X,X,X,X,X,O,X,X,X,X,X,X
IOSLZJT,O,X,X,X,X,X,O,O,X,X,X,X,X
IOSJTLZ,X,X,X,X,X,X,X,O,X,O,X,O,X
IOSJTZL,O,X,X,X,X,X,O,O,X,O,X,X,X
IOSJLTZ,X,X,X,X,O,X,X,O,X,O,X,O,X
IOSJLZT,O,X,X,X,X,X,X,O,X,X,X,X,X
IOSJZTL,O,X,X,X,X,X,O,X,X,O,X,X,X
IOSJZLT,O,X,X,X,X,X,O,O,X,X,X,X,X
IOSZTLJ,X,X,O,X,X,X,O,X,X,X,X,X,X
IOSZTJL,O,X,O,X,X,X,O,X,X,O,X,X,X
IOSZLTJ,X,X,O,X,X,X,O,X,X,X,X,X,X
IOSZLJT,O,X,X,X,X,O,O,O,X,X,X,X,X
IOSZJTL,O,X,X,X,X,X,O,X,X,O,X,X,X
IOSZJLT,O,X,X,X,X,O,O,O,X,X,X,X,X
IOZTLJS,X,X,O,X,X,O,X,X,X,X,X,X,X
IOZTLSJ,X,X,O,X,X,O,X,X,X,X,X,X,X
IOZTJLS,X,X,O,X,X,O,X,X,X,X,X,X,X
IOZTJSL,O,X,O,X,X,O,X,X,X,O,X,X,X
IOZTSLJ,X,X,O,X,X,O,O,X,X,X,X,X,X
IOZTSJL,O,X,O,X,X,O,O,X,X,O,X,X,X
IOZLTJS,X,X,O,X,O,X,X,X,X,X,X,X,X
IOZLTSJ,X,X,O,X,O,X,X,X,X,X,X,X,X
IOZLJTS,X,X,O,O,O,X,X,X,O,X,X,O,X
IOZLJST,O,X,X,X,X,X,X,O,X,X,X,X,X
IOZLSTJ,X,X,O,X,X,X,X,X,X,X,X,X,X
IOZLSJT,O,X,X,X,X,X,X,O,X,X,X,X,X
IOZJTLS,X,X,O,O,X,X,X,O,X,X,X,O,X
IOZJTSL,O,X,O,X,X,X,X,O,X,O,X,X,X
IOZJLTS,X,X,O,O,O,X,X,X,X,X,X,O,X
IOZJLST,O,X,X,X,X,X,X,O,X,X,X,X,X
IOZJSTL,O,X,X,X,X,X,X,X,X,O,X,X,X
IOZJSLT,O,X,X,X,X,O,X,O,X,X,X,X,X
IOZSTLJ,X,X,O,X,X,X,O,X,X,X,X,X,X
IOZSTJL,O,X,O,X,X,X,O,X,X,O,X,X,X
IOZSLTJ,X,X,O,X,X,X,O,X,X,X,X,X,X
IOZSLJT,O,X,X,X,X,O,O,O,X,X,X,X,X
IOZSJTL,O,X,X,X,X,X,O,X,X,O,X,X,X
IOZSJLT,O,X,X,X,X,O,O,O,X,X,X,X,X
LTIJSZO,X,O,X,X,O,X,X,X,X,X,X,X,X
LTIJSOZ,X,O,X,X,X,X,X,X,O,O,X,X,X
LTIJZSO,X,O,X,O,O,X,X,X,X,X,X,X,X
LTIJZOS,X,O,X,O,O,X,X,X,X,X,X,X,X
LTIJOSZ,X,O,X,X,O,X,X,X,O,O,X,X,X
LTIJOZS,X,O,X,X,O,X,X,X,O,X,X,X,X
LTISJZO,X,O,X,X,O,X,X,X,X,X,X,X,X
LTISJOZ,X,O,X,X,X,X,X,X,O,X,X,X,X
LTISZJO,X,O,X,X,O,X,X,X,X,X,X,X,X
LTISZOJ,X,O,X,X,O,X,X,X,X,X,X,X,X
LTISOJZ,X,O,X,X,X,X,X,X,O,O,X,X,X
LTISOZJ,X,O,X,X,X,X,O,X,X,X,X,X,X
LTIZJSO,X,O,X,O,O,X,X,X,X,X,X,X,X
LTIZJOS,X,O,O,O,O,X,X,X,X,X,X,X,X
LTIZSJO,X,O,X,X,O,X,X,X,X,X,X,X,X
LTIZSOJ,X,O,O,X,O,X,X,X,X,X,X,X,X
LTIZOJS,X,O,O,X,O,X,X,X,X,X,X,X,X
LTIZOSJ,X,O,O,X,O,X,X,X,X,X,X,X,X
LTIOJSZ,X,O,X,X,O,X,X,X,O,O,X,O,X
LTIOJZS,X,O,O,X,O,X,X,X,O,X,X,O,X
LTIOSJZ,X,O,X,X,O,X,X,X,O,O,X,X,X
LTIOSZJ,X,O,X,X,O,X,O,X,X,X,X,X,X
LTIOZJS,X,O,O,X,O,X,X,X,X,X,X,X,X
LTIOZSJ,X,O,O,X,O,X,X,X,X,X,X,X,X
LTJISZO,X,O,X,X,O,X,X,X,X,X,X,X,O
LTJISOZ,X,O,X,X,X,X,X,X,O,O,X,X,X
LTJIZSO,X,O,X,O,O,X,X,X,X,X,X,X,O
LTJIZOS,X,O,X,O,O,X,X,X,X,X,X,X,O
LTJIOSZ,X,O,X,X,O,X,X,X,O,O,X,X,X
LTJIOZS,X,O,X,X,O,X,X,X,O,X,X,X,X
LTJSIZO,X,O,X,X,O,X,X,X,X,X,X,X,X
LTJSIOZ,X,O,X,X,X,X,X,X,O,X,X,X,X
LTJSZIO,X,O,X,X,O,X,X,X,X,X,X,X,X
LTJSZOI,X,O,X,X,O,X,X,X,O,X,O,X,X
LTJSOIZ,X,O,X,X,O,X,X,O,O,X,X,X,X
LTJSOZI,X,O,X,X,O,X,X,O,O,X,O,X,X
LTJZISO,X,O,X,O,O,X,X,X,X,X,X,X,O
LTJZIOS,X,O,X,O,O,X,X,X,X,X,X,X,O
LTJZSIO,X,O,X,O,O,X,X,X,X,X,X,X,O
LTJZSOI,X,O,X,O,O,X,X,X,O,X,O,X,X
LTJZOIS,X,O,X,O,O,X,X,X,O,X,X,X,O
LTJZOSI,X,O,X,O,O,X,X,X,O,X,O,X,X
LTJOISZ,X,O,X,X,O,X,X,O,O,O,X,O,X
LTJOIZS,X,O,X,X,O,X,X,X,O,X,X,O,X
LTJOSIZ,X,O,X,X,O,X,X,O,O,X,X,O,X
LTJOSZI,X,O,X,X,O,X,X,O,O,X,O,O,X
LTJOZIS,X,O,X,X,O,X,X,X,O,X,X,O,X
LTJOZSI,X,O,X,X,O,X,X,X,O,X,O,O,X
LTSIJZO,X,O,X,X,O,X,X,X,X,X,X,X,X
LTSIJOZ,X,O,X,X,X,X,X,X,O,X,X,X,X
LTSIZJO,X,O,X,X,O,O,X,X,X,X,X,X,X
LTSIZOJ,X,O,X,X,O,O,X,X,X,X,X,X,X
LTSIOJZ,X,O,X,X,X,X,X,X,O,X,X,X,X
LTSIOZJ,X,O,X,X,X,X,O,X,X,X,X,X,X
LTSJIZO,X,O,X,X,O,X,X,X,X,X,X,X,X
LTSJIOZ,X,O,X,X,X,X,X,X,O,X,X,X,X
LTSJZIO,X,O,X,X,O,O,X,X,X,X,X,X,X
LTSJZOI,X,O,X,X,O,O,X,X,O,X,O,X,X
LTSJOIZ,X,O,X,X,O,X,X,X,O,X,X,X,X
LTSJOZI,X,O,X,X,O,X,X,X,O,X,O,X,X
LTSZIJO,X,O,X,O,O,O,X,X,X,X,X,X,X
LTSZIOJ,X,O,X,X,O,O,X,X,X,X,X,X,X
LTSZJIO,X,O,X,O,O,O,X,X,X,X,X,X,X
LTSZJOI,X,O,X,O,O,O,O,X,O,X,X,X,X
LTSZOIJ,X,O,X,X,O,O,O,X,X,X,O,X,X
LTSZOJI,X,O,X,O,O,O,O,X,O,X,O,X,X
LTSOIJZ,X,O,X,X,O,X,X,O,O,X,X,X,X
LTSOIZJ,X,O,X,X,O,X,O,X,X,X,X,X,X
LTSOJIZ,X,O,X,X,O,X,X,O,O,X,X,O,X
LTSOJZI,X,O,X,X,O,X,X,O,O,X,O,O,X
LTSOZIJ,X,O,X,X,O,O,O,X,X,X,O,X,X
LTSOZJI,X,O,X,X,O,O,O,X,O,X,O,X,X
LTZIJSO,X,O,X,O,O,O,X,X,X,X,X,X,O
LTZIJOS,X,O,O,O,O,X,X,X,X,X,X,X,O
LTZISJO,X,O,X,O,O,O,X,X,X,X,X,X,X
LTZISOJ,X,O,O,X,O,O,X,X,X,X,X,X,X
LTZIOJS,X,O,O,X,O,O,X,X,X,X,X,X,X
LTZIOSJ,X,O,O,X,O,O,X,X,X,X,X,X,X
LTZJISO,X,O,X,O,O,O,X,X,X,X,X,X,O
LTZJIOS,X,O,O,O,O,X,X,X,X,X,X,X,O
LTZJSIO,X,O,X,O,O,O,X,X,X,X,X,X,O
LTZJSOI,X,O,X,O,O,O,X,X,O,X,O,X,X
LTZJOIS,X,O,O,O,O,X,X,X,O,X,X,X,O
LTZJOSI,X,O,O,O,O,X,X,X,O,X,O,X,X
LTZSIJO,X,O,X,O,O,O,X,X,X,X,X,X,X
LTZSIOJ,X,O,O,X,O,O,X,X,X,X,X,X,X
LTZSJIO,X,O,X,O,O,O,X,X,X,X,X,X,O
LTZSJOI,X,O,X,O,O,O,X,X,O,X,X,X,X
LTZSOIJ,X,O,O,X,O,O,X,X,X,X,O,X,X
LTZSOJI,X,O,O,O,O,O,X,X,O,X,O,X,X
LTZOIJS,X,O,O,X,O,O,X,X,X,X,X,X,X
LTZOISJ,X,O,O,X,O,O,X,X,X,X,X,X,X
LTZOJIS,X,O,O,O,O,O,X,X,O,X,X,O,O
LTZOJSI,X,O,O,O,O,O,X,X,O,X,O,O,X
LTZOSIJ,X,O,O,X,O,O,X,X,X,X,O,X,X
LTZOSJI,X,O,O,O,O,O,X,X,O,X,O,X,X
LTOIJSZ,X,O,X,X,O,X,X,O,O,O,X,O,X
LTOIJZS,X,O,O,X,O,X,X,X,O,X,X,O,X
LTOISJZ,X,O,X,X,O,X,X,O,O,O,X,X,X
