sequence,v115@1gB8HeB8FeE8EeF8DeG8MeT6IvhFicB9iBfnB5oB8s?BOtB,v115@1gB8HeB8FeE8EeF8DeG8MeT6IvhF/hBRdBcjBOnBqs?B9tB,v115@1gB8HeB8FeE8EeF8DeG8MeT6IvhF/hBRdBSjBNnB8s?B+tB,v115@1gB8HeB8FeE8EeF8DeG8MeT6IvhF/hBRdBOnBtsB6t?BctB,v115@1gB8HeB8FeE8EeF8DeG8MeT6IvhF2hBXeBxsB9tBCn?B0sB,v115@1gB8HeB8FeE8EeF8DeG8MeT6IvhFxcB6jB0hB9sB/t?BmsB,v115@1gB8HeB8FeE8EeF8DeG8MeT6IvhFmcBtiB0hB5oBys?BXtB
LSIJTZO,X,O,X,X,X,X,X
LSIJTOZ,X,O,X,X,X,X,X
LSIJZTO,O,X,X,X,X,X,X
LSIJZOT,O,X,X,X,X,X,X
LSIJOTZ,X,O,X,X,X,X,X
LSIJOZT,O,X,X,X,X,X,X
LSIZTJO,O,X,X,X,X,X,O
LSIZTOJ,O,X,X,X,X,X,O
LSIZJTO,O,X,X,X,X,X,O
LSIZJOT,O,X,X,X,X,X,O
LSIZOTJ,O,X,X,X,X,X,O
LSIZOJT,O,X,X,X,X,X,O
LSIOTJZ,X,O,X,O,X,X,X
LSIOTZJ,O,O,X,X,X,O,O
LSIOJTZ,X,O,X,X,X,X,X
LSIOJZT,O,X,X,X,X,X,X
LSIOZTJ,O,X,X,X,X,X,O
LSIOZJT,O,X,X,X,X,X,O
LSJTIZO,X,O,X,O,X,X,X
LSJTIOZ,X,O,X,O,X,X,X
LSJTZIO,O,O,O,O,X,O,X
LSJTZOI,O,O,O,O,X,O,X
LSJTOIZ,X,O,X,O,X,X,X
LSJTOZI,O,O,O,O,X,O,X
LSJITZO,X,O,X,X,X,X,X
LSJITOZ,X,O,X,X,X,X,X
LSJIZTO,O,X,X,X,X,X,X
LSJIZOT,O,X,X,X,X,X,X
LSJIOTZ,X,O,X,X,X,X,X
LSJIOZT,O,X,X,X,X,X,X
LSJZTIO,O,O,O,X,X,X,X
LSJZTOI,O,O,O,X,X,X,X
LSJZITO,O,X,X,X,X,X,X
LSJZIOT,O,X,X,X,X,X,X
LSJZOTI,O,O,O,X,X,X,X
LSJZOIT,O,X,X,X,X,X,X
LSJOTIZ,X,O,X,O,X,X,X
LSJOTZI,O,O,O,O,X,O,X
LSJOITZ,X,O,X,X,X,X,X
LSJOIZT,O,X,X,X,X,X,X
LSJOZTI,O,O,O,X,X,X,X
LSJOZIT,O,X,X,X,X,X,X
LSZTIJO,O,O,X,X,X,O,O
LSZTIOJ,O,O,X,X,X,O,O
LSZTJIO,O,O,X,O,X,O,O
LSZTJOI,O,O,X,O,X,O,O
LSZTOIJ,O,O,X,X,X,O,O
LSZTOJI,O,O,X,O,X,O,O
LSZITJO,O,X,X,X,X,O,O
LSZITOJ,O,X,X,X,X,O,O
LSZIJTO,O,X,X,X,X,X,O
LSZIJOT,O,X,X,X,X,X,O
LSZIOTJ,O,X,X,X,X,O,O
LSZIOJT,O,X,X,X,X,X,O
LSZJTIO,O,O,X,X,X,X,O
LSZJTOI,O,O,X,X,X,X,O
LSZJITO,O,X,X,X,X,X,O
LSZJIOT,O,X,X,X,X,X,O
LSZJOTI,O,O,X,X,X,X,O
LSZJOIT,O,X,X,X,X,X,O
LSZOTIJ,O,O,X,X,X,O,O
LSZOTJI,O,O,X,O,X,O,O
LSZOITJ,O,X,X,X,X,O,O
LSZOIJT,O,X,X,X,X,X,O
LSZOJTI,O,O,X,X,X,X,O
LSZOJIT,O,X,X,X,X,X,O
LSOTIJZ,X,O,X,O,X,X,X
LSOTIZJ,O,O,X,X,X,O,O
LSOTJIZ,X,O,X,O,X,X,X
LSOTJZI,O,O,O,O,X,O,X
LSOTZIJ,O,O,X,X,X,O,O
LSOTZJI,O,O,X,O,X,O,O
LSOITJZ,X,O,X,O,X,X,X
LSOITZJ,O,O,X,X,X,O,O
LSOIJTZ,X,O,X,X,X,X,X
LSOIJZT,O,X,X,X,X,X,X
LSOIZTJ,O,X,X,X,X,X,O
LSOIZJT,O,X,X,X,X,X,O
LSOJTIZ,X,O,X,O,X,X,X
LSOJTZI,O,O,O,O,X,O,X
LSOJITZ,X,O,X,X,X,X,X
LSOJIZT,O,X,X,X,X,X,X
LSOJZTI,O,O,O,X,X,X,X
LSOJZIT,O,X,X,X,X,X,X
LSOZTIJ,O,O,X,X,X,O,O
LSOZTJI,O,O,X,O,X,O,O
LSOZITJ,O,X,X,X,X,O,O
LSOZIJT,O,X,X,X,X,X,O
LSOZJTI,O,O,X,X,X,X,O
LSOZJIT,O,X,X,X,X,X,O
LZTIJSO,X,O,X,X,X,X,O
LZTIJOS,X,O,X,X,X,X,O
LZTISJO,O,O,X,X,X,O,O
LZTISOJ,O,O,X,X,X,O,O
LZTIOJS,X,O,X,X,X,X,O
LZTIOSJ,O,O,X,X,X,O,O
LZTJISO,X,O,X,X,X,X,O
LZTJIOS,X,O,X,X,X,X,O
LZTJSIO,X,O,X,O,X,X,O
LZTJSOI,X,O,X,O,X,X,O
LZTJOIS,X,O,X,X,X,X,O
LZTJOSI,X,O,X,O,X,X,O
LZTSIJO,O,O,X,X,X,O,O
LZTSIOJ,O,O,X,X,X,O,O
LZTSJIO,O,O,X,O,X,O,O
LZTSJOI,O,O,X,O,X,O,O
LZTSOIJ,O,O,X,X,X,O,O
LZTSOJI,O,O,X,O,X,O,O
LZTOIJS,X,O,X,X,X,X,O
LZTOISJ,O,O,X,X,X,O,O
LZTOJIS,X,O,X,X,X,X,O
LZTOJSI,X,O,X,O,X,X,O
LZTOSIJ,O,O,X,X,X,O,O
LZTOSJI,O,O,X,O,X,O,O
LZITJSO,X,X,X,X,X,X,O
LZITJOS,X,X,X,X,X,X,O
LZITSJO,O,X,X,X,X,O,O
LZITSOJ,O,X,X,X,X,O,O
LZITOJS,X,X,X,X,X,X,O
LZITOSJ,O,X,X,X,X,O,O
LZIJTSO,X,X,X,X,X,X,O
LZIJTOS,X,X,X,X,X,X,O
LZIJSTO,O,X,X,X,X,X,O
LZIJSOT,O,X,X,X,X,X,O
LZIJOTS,X,X,X,X,X,X,O
LZIJOST,O,X,X,X,X,X,O
LZISTJO,O,X,X,X,X,O,O
LZISTOJ,O,X,X,X,X,O,O
LZISJTO,O,X,X,X,X,X,O
LZISJOT,O,X,X,X,X,X,O
LZISOTJ,O,X,X,X,X,O,O
LZISOJT,O,X,X,X,X,X,O
LZIOTJS,X,X,X,X,X,X,O
LZIOTSJ,O,X,X,X,X,O,O
LZIOJTS,X,X,X,X,X,X,O
LZIOJST,O,X,X,X,X,X,O
LZIOSTJ,O,X,X,X,X,O,O
LZIOSJT,O,X,X,X,X,X,O
LZJTISO,X,O,X,X,X,X,O
LZJTIOS,X,O,X,X,X,X,O
LZJTSIO,X,O,X,X,X,X,O
LZJTSOI,X,O,X,X,X,X,O
LZJTOIS,X,O,X,X,X,X,O
LZJTOSI,X,O,X,X,X,X,O
LZJITSO,X,X,X,X,X,X,O
LZJITOS,X,X,X,X,X,X,O
LZJISTO,O,X,X,X,X,X,O
LZJISOT,O,X,X,X,X,X,O
LZJIOTS,X,X,X,X,X,X,O
LZJIOST,O,X,X,X,X,X,O
LZJSTIO,O,O,X,X,X,X,O
LZJSTOI,O,O,X,X,X,X,O
LZJSITO,O,X,X,X,X,X,O
LZJSIOT,O,X,X,X,X,X,O
LZJSOTI,O,O,X,X,X,X,O
LZJSOIT,O,X,X,X,X,X,O
LZJOTIS,X,O,X,X,X,X,O
LZJOTSI,X,O,X,X,X,X,O
LZJOITS,X,X,X,X,X,X,O
LZJOIST,O,X,X,X,X,X,O
LZJOSTI,O,O,X,X,X,X,O
LZJOSIT,O,X,X,X,X,X,O
LZSTIJO,O,O,X,X,X,X,O
LZSTIOJ,O,O,X,X,X,X,O
LZSTJIO,O,O,X,O,X,X,O
LZSTJOI,O,O,X,O,X,X,O
LZSTOIJ,O,O,X,X,X,X,O
LZSTOJI,O,O,X,O,X,X,O
LZSITJO,O,X,X,X,X,O,O
LZSITOJ,O,X,X,X,X,O,O
LZSIJTO,O,X,X,X,X,X,O
LZSIJOT,O,X,X,X,X,X,O
LZSIOTJ,O,X,X,X,X,O,O
LZSIOJT,O,X,X,X,X,X,O
LZSJTIO,O,O,X,X,X,X,O
LZSJTOI,O,O,X,X,X,X,O
LZSJITO,O,X,X,X,X,X,O
LZSJIOT,O,X,X,X,X,X,O
LZSJOTI,O,O,X,X,X,X,O
LZSJOIT,O,X,X,X,X,X,O
LZSOTIJ,O,O,X,X,X,X,O
LZSOTJI,O,O,X,O,X,X,O
LZSOITJ,O,X,X,X,X,O,O
LZSOIJT,O,X,X,X,X,X,O
LZSOJTI,O,O,X,X,X,X,O
LZSOJIT,O,X,X,X,X,X,O
LZOTIJS,X,O,X,X,X,X,O
LZOTISJ,O,O,X,X,X,O,O
LZOTJIS,X,O,X,X,X,X,O
LZOTJSI,X,O,X,O,X,X,O
LZOTSIJ,O,O,X,X,X,O,O
LZOTSJI,O,O,X,O,X,O,O
LZOITJS,X,X,X,X,X,X,O
LZOITSJ,O,X,X,X,X,O,O
LZOIJTS,X,X,X,X,X,X,O
LZOIJST,O,X,X,X,X,X,O
LZOISTJ,O,X,X,X,X,O,O
LZOISJT,O,X,X,X,X,X,O
LZOJTIS,X,O,X,X,X,X,O
LZOJTSI,X,O,X,X,X,X,O
LZOJITS,X,X,X,X,X,X,O
LZOJIST,O,X,X,X,X,X,O
LZOJSTI,O,O,X,X,X,X,O
LZOJSIT,O,X,X,X,X,X,O
LZOSTIJ,O,O,X,X,X,X,O
LZOSTJI,O,O,X,O,X,X,O
LZOSITJ,O,X,X,X,X,O,O
LZOSIJT,O,X,X,X,X,X,O
LZOSJTI,O,O,X,X,X,X,O
LZOSJIT,O,X,X,X,X,X,O
LOTIJSZ,X,O,X,O,X,X,X
LOTIJZS,X,O,X,X,X,X,O
LOTISJZ,X,O,X,O,X,X,X
LOTISZJ,O,O,X,X,X,X,O
LOTIZJS,X,O,X,X,X,X,O
LOTIZSJ,O,O,X,X,X,X,O
LOTJISZ,X,O,X,O,X,X,X
LOTJIZS,X,O,X,X,X,X,O
LOTJSIZ,X,O,X,O,X,X,X
LOTJSZI,X,O,O,O,X,X,X
LOTJZIS,X,O,O,X,X,X,O
LOTJZSI,X,O,O,O,X,X,O
LOTSIJZ,X,O,X,O,X,X,X
LOTSIZJ,O,O,X,X,X,O,O
LOTSJIZ,X,O,X,O,X,X,X
LOTSJZI,O,O,O,O,X,O,X
LOTSZIJ,O,O,X,X,X,O,O
LOTSZJI,O,O,X,O,X,O,O
LOTZIJS,X,O,X,X,X,X,O
LOTZISJ,O,O,X,X,X,O,O
LOTZJIS,X,O,X,X,X,X,O
LOTZJSI,X,O,X,O,X,X,O
LOTZSIJ,O,O,X,X,X,O,O
LOTZSJI,O,O,X,O,X,O,O
LOITJSZ,X,O,X,O,O,X,X
LOITJZS,X,O,X,X,O,X,O
LOITSJZ,X,O,X,O,O,X,X
LOITSZJ,O,O,X,X,X,X,O
LOITZJS,X,O,X,X,O,X,O
LOITZSJ,O,O,X,X,O,X,O
LOIJTSZ,X,O,X,X,O,X,X
LOIJTZS,X,O,X,X,O,X,O
LOIJSTZ,X,O,X,X,X,X,X
LOIJSZT,O,X,X,X,X,X,X
LOIJZTS,X,X,X,X,O,X,O
LOIJZST,O,X,X,X,X,X,O
LOISTJZ,X,O,X,O,X,X,X
LOISTZJ,O,O,X,X,X,X,O
LOISJTZ,X,O,X,X,X,X,X
LOISJZT,O,X,X,X,X,X,X
LOISZTJ,O,X,X,X,X,X,O
LOISZJT,O,X,X,X,X,X,O
LOIZTJS,X,X,X,X,O,X,O
LOIZTSJ,O,X,X,X,O,X,O
LOIZJTS,X,X,X,X,O,X,O
LOIZJST,O,X,X,X,X,X,O
LOIZSTJ,O,X,X,X,X,X,O
LOIZSJT,O,X,X,X,X,X,O
LOJTISZ,X,O,X,O,X,X,X
LOJTIZS,X,O,X,X,X,X,O
LOJTSIZ,X,O,X,O,X,X,X
LOJTSZI,X,O,O,O,X,X,X
LOJTZIS,X,O,O,X,X,X,O
LOJTZSI,X,O,O,O,X,X,O
LOJITSZ,X,O,X,X,O,X,X
LOJITZS,X,O,X,X,O,X,O
LOJISTZ,X,O,X,X,X,X,X
LOJISZT,O,X,X,X,X,X,X
LOJIZTS,X,X,O,X,O,X,O
LOJIZST,O,X,X,X,X,X,O
LOJSTIZ,X,O,X,O,X,X,X
LOJSTZI,O,O,O,O,X,X,X
LOJSITZ,X,O,X,X,X,X,X
LOJSIZT,O,X,X,X,X,X,X
LOJSZTI,O,O,O,X,X,X,X
LOJSZIT,O,X,X,X,X,X,X
LOJZTIS,X,O,O,X,X,X,O
LOJZTSI,X,O,O,X,X,X,O
LOJZITS,X,X,O,X,X,X,O
LOJZIST,O,X,X,X,X,X,O
LOJZSTI,O,O,O,X,X,X,O
LOJZSIT,O,X,X,X,X,X,O
LOSTIJZ,X,O,X,O,X,X,X
LOSTIZJ,O,O,X,X,X,O,O
LOSTJIZ,X,O,X,O,X,X,X
LOSTJZI,O,O,O,O,X,O,X
LOSTZIJ,O,O,X,X,X,O,O
LOSTZJI,O,O,X,O,X,O,O
LOSITJZ,X,O,X,O,X,X,X
LOSITZJ,O,O,X,X,X,O,O
LOSIJTZ,X,O,X,X,X,X,X
LOSIJZT,O,X,X,X,X,X,X
LOSIZTJ,O,X,X,X,X,X,O
LOSIZJT,O,X,X,X,X,X,O
LOSJTIZ,X,O,X,O,X,X,X
LOSJTZI,O,O,O,O,X,O,X
LOSJITZ,X,O,X,X,X,X,X
LOSJIZT,O,X,X,X,X,X,X
LOSJZTI,O,O,O,X,X,X,X
LOSJZIT,O,X,X,X,X,X,X
LOSZTIJ,O,O,X,X,X,O,O
LOSZTJI,O,O,X,O,X,O,O
LOSZITJ,O,X,X,X,X,O,O
LOSZIJT,O,X,X,X,X,X,O
LOSZJTI,O,O,X,X,X,X,O
LOSZJIT,O,X,X,X,X,X,O
LOZTIJS,X,O,X,X,X,X,O
LOZTISJ,O,O,X,X,X,O,O
LOZTJIS,X,O,X,X,X,X,O
LOZTJSI,X,O,X,O,X,X,O
LOZTSIJ,O,O,X,X,X,O,O
LOZTSJI,O,O,X,O,X,O,O
LOZITJS,X,X,X,X,X,X,O
LOZITSJ,O,X,X,X,X,O,O
LOZIJTS,X,X,X,X,X,X,O
LOZIJST,O,X,X,X,X,X,O
LOZISTJ,O,X,X,X,X,O,O
LOZISJT,O,X,X,X,X,X,O
LOZJTIS,X,O,X,X,X,X,O
LOZJTSI,X,O,X,X,X,X,O
LOZJITS,X,X,X,X,X,X,O
LOZJIST,O,X,X,X,X,X,O
LOZJSTI,O,O,X,X,X,X,O
LOZJSIT,O,X,X,X,X,X,O
LOZSTIJ,O,O,X,X,X,X,O
LOZSTJI,O,O,X,O,X,X,O
LOZSITJ,O,X,X,X,X,O,O
LOZSIJT,O,X,X,X,X,X,O
LOZSJTI,O,O,X,X,X,X,O
LOZSJIT,O,X,X,X,X,X,O
JTILSZO,X,X,X,O,X,X,X
JTILSOZ,X,X,X,O,O,X,X
JTILZSO,X,X,X,X,O,X,X
JTILZOS,X,X,X,X,O,X,X
JTILOSZ,X,X,X,O,O,X,X
JTILOZS,X,X,X,X,O,X,X
JTISLZO,X,X,X,O,X,X,X
JTISLOZ,X,X,X,O,O,X,X
JTISZLO,X,X,O,X,O,X,X
JTISZOL,X,X,O,X,O,X,X
JTISOLZ,X,X,X,O,O,X,X
JTISOZL,X,X,O,X,O,X,X
JTIZLSO,X,X,O,X,O,X,X
JTIZLOS,X,X,O,X,O,X,X
JTIZSLO,X,X,O,X,O,X,X
JTIZSOL,X,X,O,X,O,X,X
JTIZOLS,X,X,O,X,O,X,X
JTIZOSL,X,X,O,X,O,X,X
JTIOLSZ,X,X,X,O,O,X,X
JTIOLZS,X,X,X,X,O,X,X
JTIOSLZ,X,X,X,O,O,X,X
JTIOSZL,X,X,O,X,O,X,X
JTIOZLS,X,X,O,X,O,X,X
JTIOZSL,X,X,O,X,O,X,X
JTLISZO,X,O,X,O,X,X,X
JTLISOZ,X,O,X,O,X,X,X
JTLIZSO,X,O,X,X,X,X,X
JTLIZOS,X,O,X,X,X,X,X
JTLIOSZ,X,O,X,O,X,X,X
JTLIOZS,X,O,X,X,X,X,X
JTLSIZO,X,O,X,O,X,X,X
JTLSIOZ,X,O,X,O,X,X,X
JTLSZIO,X,O,O,O,X,X,X
JTLSZOI,X,O,O,O,X,X,X
JTLSOIZ,X,O,X,O,X,X,X
JTLSOZI,X,O,O,O,X,X,X
JTLZISO,X,O,O,X,X,X,X
JTLZIOS,X,O,O,X,X,X,X
JTLZSIO,X,O,O,O,X,X,X
JTLZSOI,X,O,O,O,X,X,X
JTLZOIS,X,O,O,X,X,X,X
JTLZOSI,X,O,O,O,X,X,X
JTLOISZ,X,O,X,O,X,X,X
JTLOIZS,X,O,X,X,X,X,X
JTLOSIZ,X,O,X,O,X,X,X
JTLOSZI,X,O,O,O,X,X,X
JTLOZIS,X,O,O,X,X,X,X
JTLOZSI,X,O,O,O,X,X,X
JTSILZO,X,X,X,O,X,X,X
JTSILOZ,X,X,X,O,X,X,X
JTSIZLO,X,X,O,X,X,X,X
JTSIZOL,X,X,O,X,X,X,X
JTSIOLZ,X,X,X,O,X,X,X
JTSIOZL,X,X,O,X,X,X,X
JTSLIZO,X,O,X,O,X,X,X
JTSLIOZ,X,O,X,O,X,X,X
JTSLZIO,X,O,O,O,X,O,X
JTSLZOI,X,O,O,O,X,O,X
JTSLOIZ,X,O,X,O,X,X,X
JTSLOZI,X,O,O,O,X,O,X
JTSZILO,X,X,O,X,X,O,X
JTSZIOL,X,O,O,X,X,O,X
JTSZLIO,X,O,O,O,X,O,X
JTSZLOI,X,O,O,O,X,O,X
JTSZOIL,X,O,O,X,X,O,X
JTSZOLI,X,O,O,O,X,O,X
JTSOILZ,X,X,X,O,X,X,X
JTSOIZL,X,X,O,X,X,X,X
JTSOLIZ,X,O,X,O,X,X,X
JTSOLZI,X,O,O,O,X,O,X
JTSOZIL,X,O,O,X,X,O,X
JTSOZLI,X,O,O,O,X,O,X
JTZILSO,X,X,O,X,X,X,X
JTZILOS,X,X,O,X,X,X,X
JTZISLO,X,X,O,X,X,O,X
JTZISOL,X,X,O,X,X,O,X
JTZIOLS,X,X,O,X,X,X,X
JTZIOSL,X,X,O,X,X,O,X
JTZLISO,X,O,O,X,X,X,X
JTZLIOS,X,O,O,X,X,X,X
JTZLSIO,X,O,O,O,X,X,X
JTZLSOI,X,O,O,O,X,X,X
JTZLOIS,X,O,O,X,X,X,X
JTZLOSI,X,O,O,O,X,X,X
JTZSILO,X,X,O,X,X,O,X
JTZSIOL,X,O,O,X,X,O,X
JTZSLIO,X,O,O,O,X,O,X
JTZSLOI,X,O,O,O,X,O,X
JTZSOIL,X,O,O,X,X,O,X
JTZSOLI,X,O,O,O,X,O,X
JTZOILS,X,X,O,X,X,X,X
JTZOISL,X,X,O,X,X,O,X
JTZOLIS,X,O,O,X,X,X,X
JTZOLSI,X,O,O,O,X,X,X
JTZOSIL,X,O,O,X,X,O,X
JTZOSLI,X,O,O,O,X,O,X
JTOILSZ,X,X,X,O,O,X,X
JTOILZS,X,X,X,X,O,X,X
JTOISLZ,X,X,X,O,O,X,X
JTOISZL,X,X,O,X,O,X,X
JTOIZLS,X,X,O,X,O,X,X
JTOIZSL,X,X,O,X,O,X,X
JTOLISZ,X,O,X,O,X,X,X
JTOLIZS,X,O,X,X,X,X,X
JTOLSIZ,X,O,X,O,X,X,X
JTOLSZI,X,O,O,O,X,X,X
JTOLZIS,X,O,O,X,X,X,X
JTOLZSI,X,O,O,O,X,X,X
JTOSILZ,X,X,X,O,X,X,X
JTOSIZL,X,X,O,X,X,X,X
JTOSLIZ,X,O,X,O,X,X,X
JTOSLZI,X,O,O,O,X,O,X
JTOSZIL,X,O,O,X,X,O,X
JTOSZLI,X,O,O,O,X,O,X
JTOZILS,X,X,O,X,X,X,X
JTOZISL,X,X,O,X,X,O,X
JTOZLIS,X,O,O,X,X,X,X
JTOZLSI,X,O,O,O,X,X,X
JTOZSIL,X,O,O,X,X,O,X
JTOZSLI,X,O,O,O,X,O,X
JITLSZO,X,X,X,O,X,X,X
JITLSOZ,X,X,X,O,O,X,X
JITLZSO,X,X,X,X,O,X,X
JITLZOS,X,X,X,X,O,X,X
JITLOSZ,X,X,X,O,O,X,X
JITLOZS,X,X,X,X,O,X,X
JITSLZO,X,X,X,O,X,X,X
JITSLOZ,X,X,X,O,O,X,X
JITSZLO,X,X,O,X,O,X,X
JITSZOL,X,X,O,X,O,X,X
JITSOLZ,X,X,X,O,O,X,X
JITSOZL,X,X,O,X,O,X,X
JITZLSO,X,X,O,X,O,X,X
JITZLOS,X,X,O,X,O,X,X
JITZSLO,X,X,O,X,O,X,X
JITZSOL,X,X,O,X,O,X,X
JITZOLS,X,X,O,X,O,X,X
JITZOSL,X,X,O,X,O,X,X
JITOLSZ,X,X,X,O,O,X,X
JITOLZS,X,X,X,X,O,X,X
JITOSLZ,X,X,X,O,O,X,X
JITOSZL,X,X,O,X,O,X,X
JITOZLS,X,X,O,X,O,X,X
JITOZSL,X,X,O,X,O,X,X
JILTSZO,X,O,X,X,X,X,X
JILTSOZ,X,O,X,X,O,X,X
JILTZSO,X,O,X,X,O,X,O
JILTZOS,X,O,X,X,O,X,O
JILTOSZ,X,O,X,X,O,X,X
JILTOZS,X,O,X,X,O,X,O
JILSTZO,X,O,X,X,X,X,X
JILSTOZ,X,O,X,X,X,X,X
JILSZTO,O,X,X,X,X,X,X
JILSZOT,O,X,X,X,X,X,X
JILSOTZ,X,O,X,X,X,X,X
JILSOZT,O,X,X,X,X,X,X
JILZTSO,X,X,O,X,O,X,O
JILZTOS,X,X,O,X,O,X,O
JILZSTO,O,X,X,X,X,X,O
JILZSOT,O,X,X,X,X,X,O
JILZOTS,X,X,O,X,O,X,O
JILZOST,O,X,X,X,X,X,O
JILOTSZ,X,O,X,X,O,X,X
JILOTZS,X,O,X,X,O,X,O
JILOSTZ,X,O,X,X,X,X,X
JILOSZT,O,X,X,X,X,X,X
JILOZTS,X,X,O,X,O,X,O
JILOZST,O,X,X,X,X,X,O
JISTLZO,X,X,X,O,X,X,X
JISTLOZ,X,X,X,O,O,X,X
JISTZLO,X,X,O,X,O,X,X
JISTZOL,X,X,O,X,O,X,X
JISTOLZ,X,X,X,O,O,X,X
JISTOZL,X,X,O,X,O,X,X
JISLTZO,X,O,X,X,X,X,X
JISLTOZ,X,O,X,X,X,X,X
JISLZTO,O,X,X,X,X,X,X
JISLZOT,O,X,X,X,X,X,X
JISLOTZ,X,O,X,X,X,X,X
JISLOZT,O,X,X,X,X,X,X
JISZTLO,O,X,O,X,O,X,X
JISZTOL,O,X,O,X,O,X,X
JISZLTO,O,X,X,X,X,X,X
JISZLOT,O,X,X,X,X,X,X
JISZOTL,O,X,O,X,O,X,X
JISZOLT,O,X,X,X,X,X,X
JISOTLZ,X,X,X,O,O,X,X
JISOTZL,X,X,O,X,O,X,X
JISOLTZ,X,O,X,X,X,X,X
JISOLZT,O,X,X,X,X,X,X
JISOZTL,O,X,O,X,O,X,X
JISOZLT,O,X,X,X,X,X,X
JIZTLSO,X,X,O,X,O,X,O
JIZTLOS,X,X,O,X,O,X,O
JIZTSLO,O,X,O,X,O,X,X
JIZTSOL,O,X,O,X,O,X,X
JIZTOLS,X,X,O,X,O,X,O
JIZTOSL,O,X,O,X,O,X,X
JIZLTSO,X,X,O,X,O,X,O
JIZLTOS,X,X,O,X,O,X,O
JIZLSTO,O,X,X,X,X,X,O
JIZLSOT,O,X,X,X,X,X,O
JIZLOTS,X,X,O,X,O,X,O
JIZLOST,O,X,X,X,X,X,O
JIZSTLO,O,X,O,X,O,X,X
JIZSTOL,O,X,O,X,O,X,X
JIZSLTO,O,X,X,X,X,X,O
JIZSLOT,O,X,X,X,X,X,O
JIZSOTL,O,X,O,X,O,X,X
JIZSOLT,O,X,X,X,X,X,O
JIZOTLS,X,X,O,X,O,X,O
JIZOTSL,O,X,O,X,O,X,X
JIZOLTS,X,X,O,X,O,X,O
JIZOLST,O,X,X,X,X,X,O
JIZOSTL,O,X,O,X,O,X,X
JIZOSLT,O,X,X,X,X,X,O
JIOTLSZ,X,X,X,O,O,X,X
JIOTLZS,X,X,X,X,O,X,X
JIOTSLZ,X,X,X,O,O,X,X
JIOTSZL,X,X,O,X,O,X,X
JIOTZLS,X,X,O,X,O,X,X
JIOTZSL,X,X,O,X,O,X,X
JIOLTSZ,X,O,X,X,O,X,X
JIOLTZS,X,O,X,X,O,X,O
JIOLSTZ,X,O,X,X,X,X,X
JIOLSZT,O,X,X,X,X,X,X
JIOLZTS,X,X,O,X,O,X,O
JIOLZST,O,X,X,X,X,X,O
JIOSTLZ,X,X,X,O,O,X,X
JIOSTZL,X,X,O,X,O,X,X
JIOSLTZ,X,O,X,X,X,X,X
JIOSLZT,O,X,X,X,X,X,X
JIOSZTL,O,X,O,X,O,X,X
JIOSZLT,O,X,X,X,X,X,X
JIOZTLS,X,X,O,X,O,X,O
JIOZTSL,O,X,O,X,O,X,X
JIOZLTS,X,X,O,X,O,X,O
JIOZLST,O,X,X,X,X,X,O
JIOZSTL,O,X,O,X,O,X,X
JIOZSLT,O,X,X,X,X,X,O
JLTISZO,X,O,X,O,X,X,X
JLTISOZ,X,O,X,O,X,X,X
JLTIZSO,X,O,X,X,X,X,O
JLTIZOS,X,O,X,X,X,X,O
JLTIOSZ,X,O,X,O,X,X,X
JLTIOZS,X,O,X,X,X,X,O
JLTSIZO,X,O,X,O,X,X,X
JLTSIOZ,X,O,X,O,X,X,X
JLTSZIO,X,O,O,O,X,X,X
JLTSZOI,X,O,O,O,X,X,X
JLTSOIZ,X,O,X,O,X,X,X
JLTSOZI,X,O,O,O,X,X,X
JLTZISO,X,O,O,X,X,X,O
JLTZIOS,X,O,O,X,X,X,O
JLTZSIO,X,O,O,O,X,X,O
JLTZSOI,X,O,O,O,X,X,O
JLTZOIS,X,O,O,X,X,X,O
JLTZOSI,X,O,O,O,X,X,O
JLTOISZ,X,O,X,O,X,X,X
JLTOIZS,X,O,X,X,X,X,O
JLTOSIZ,X,O,X,O,X,X,X
JLTOSZI,X,O,O,O,X,X,X
JLTOZIS,X,O,O,X,X,X,O
JLTOZSI,X,O,O,O,X,X,O
JLITSZO,X,O,X,X,X,X,X
JLITSOZ,X,O,X,X,O,X,X
JLITZSO,X,O,X,X,O,X,O
JLITZOS,X,O,X,X,O,X,O
JLITOSZ,X,O,X,X,O,X,X
JLITOZS,X,O,X,X,O,X,O
JLISTZO,X,O,X,X,X,X,X
JLISTOZ,X,O,X,X,X,X,X
JLISZTO,O,X,X,X,X,X,X
JLISZOT,O,X,X,X,X,X,X
JLISOTZ,X,O,X,X,X,X,X
JLISOZT,O,X,X,X,X,X,X
JLIZTSO,X,X,O,X,O,X,O
JLIZTOS,X,X,O,X,O,X,O
JLIZSTO,O,X,X,X,X,X,O
JLIZSOT,O,X,X,X,X,X,O
JLIZOTS,X,X,O,X,O,X,O
JLIZOST,O,X,X,X,X,X,O
JLIOTSZ,X,O,X,X,O,X,X
JLIOTZS,X,O,X,X,O,X,O
JLIOSTZ,X,O,X,X,X,X,X
JLIOSZT,O,X,X,X,X,X,X
JLIOZTS,X,X,O,X,O,X,O
JLIOZST,O,X,X,X,X,X,O
JLSTIZO,X,O,X,O,X,X,X
JLSTIOZ,X,O,X,O,X,X,X
JLSTZIO,O,O,O,O,X,X,X
JLSTZOI,O,O,O,O,X,X,X
