sequence,v115@vhH39IcjBOpByrBtsB+tBzpBRwB,v115@vhH//IUbBKpBdqBWrBToBWyBRwB,v115@vhH/BJcjBOpByrBtsB+tBzpBRwB,v115@vhH//IchBKpBdqBWrBToBWyBRwB,v115@vhH6+IZjBXiB9sB+tBTpB2vB0rB,v115@vhHK6IcjB/lBOpBtsB+tBzpBRwB,v115@vhH++I/fBcnBKpBdqBToBWyBRwB,v115@vhHO6I3dBcjBTkBtsB+tByuBRwB,v115@vhHX5IcjBOpByrBtsB+tBzpBRwB,v115@vhH01I/fBKpBdqBWrBToBWyBRwB,v115@vhHT1IcjB/kBalBtsB+tB2uBRwB,v115@vhHT5I/fBGjBKpBdqBUoBWyBRwB,v115@vhHO6IfgBcjBTkBtsB+tByuBRwB,v115@vhHO6IXZBcjBTkBtsB+tByuBRwB,v115@vhHi1I+eBcfBdlB+tBTpB3qBRsB,v115@vhHK6IXZBcjBOpBtsB+tBzpBRwB,v115@vhH01I+eB/fBKpBdqBToBWyBRwB,v115@vhH+7IXhBKoB9rBTnB2uB0qBxxB,v115@vhHK6I3dBcjBOpBtsB+tBzpBRwB,v115@vhH++I/fBUbBKpBdqBToBWyBRwB,v115@vhHT1I3dBcjBifBtsB+tB2uBRwB,v115@vhHT1IXZBcjBifBtsB+tB2uBRwB,v115@vhHK6IOpBTlBNrBUnB/tBWvBRxB,v115@vhHT1I/kBalBtqB0mB+tB2uBxwB,v115@vhHq6IUhB+oBzkBtqB2uB3rBxxB,v115@vhHe+IZkB3hBdsBznBWvBUrBSyB,v115@vhH01ITZB/fB+oBKpBdqBWyBRwB,v115@vhHO/IUhB5oBzkBtqB2uB3rByxB,v115@vhH38I0fBtlB2pBasBTrBGtBxuB,v115@vhHU8IymBTjBtqBWtB2uB3rBxxB,v115@vhHi1IcfBdlB5oB+rBTpB3qBmsB,v115@vhHG5I/jBZkBtnBKrBGqBUsBTtB,v115@vhHX5IcjBifBzkBtsB+tB2uBRwB,v115@vhH01I/fBziB+oBKpBdqBWyBRwB,v115@vhHX5IcjBmfBTkBtsB+tByuBRwB,v115@vhH37IWlBTjBKpBdrBUqBGtBRxB,v115@vhHX5IKfBcjBOqBtsB+tBTpBRwB,v115@vhHu6IzkBtqB0mBftB6tB2uBxwB,v115@vhHT1IdgB/kBRmB+sB6tB2uB0qB,v115@vhHq7IcjB/lBOpBtsB+tBzpBRwB,v115@vhHe9I/fBcnBKpBdqBToBWyBRwB,v115@vhHeAJaoBcqB3mB9sB+tBTpBRwB,v115@vhHq7IcjB/kBTlBtsB+tB2uBRwB,v115@vhHi3IzcBUhB+oBtqB2uB3rBxxB,v115@vhHT3IedBUhB5oBtqB2uB3rByxB,v115@vhHG3IzbBZkB3hBdsBWvBUrBSyB,v115@vhH01I/fB+jBKpBdqBGsBTtBRwB,v115@vhH+DJanBcpB3lB9rB+sBTtBRvB,v115@vhHi1IcfBGeBdlB+tBTpB3qBRsB,v115@vhHKDJThBmkBtqB0nB2uB3rBxxB,v115@vhHKDJThBmkBtqBXnB2uBUtBxwB,v115@vhH+/IaoBcqB3mB9sB+tBTpBRwB,v115@vhHK/IOoBcqB3mB9sB+tBTpBRwB,v115@vhH/DJZkBCgBtnB2qBWvBUsBTtB,v115@vhHe+IOpB8pBXmBdsBznBSyBxvB,v115@vhHK6IXZBcjBTkBtsB+tB2wBxuB,v115@vhHX5IcjBZkBzkBtsB+tBSvB2wB,v115@vhHX5IcjB2kBtsB+tBTpBiqBRwB,v115@vhHT5I2mB8nB5oBtqB2uB3rByxB,v115@vhHT2I/kBalBtqB0mB+tB2uBxwB,v115@vhHX5IcjBTfBypBtsB+tB2wBxuB,v115@vhHG+I/kBNnBUjB2uBxqBSxBTtB,v115@vhHx3I3cBdnBcqBerBStBTpBWxB,v115@vhH/6I2kB8lB5oB9rBTpB2vByxB,v115@vhH++I8fBZkB9lB+tBzpBXrBisB,v115@vhHi3IUhB+oBzkBtqB2uB3rBxxB,v115@vhHG3IZkB3hBdsBznBWvBUrBSyB
SOJTLZI,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,O,X,X
SOJTZIL,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,O,X,X
SOJTZLI,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,O,X,X
SOJITLZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,O,O,X,X
SOJITZL,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,O,O,O,X,X
SOJILTZ,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,O,O,X,X
SOJILZT,X,X,X,X,X,O,O,X,X,X,O,X,X,X,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X,O,X,O,O,X,X,O,X,X,X,O,O,O,X,X,O,X,O,X,X,X,O,O,O,X,O,O,O,O,X,X
SOJIZTL,O,X,O,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,O,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X,O,O,O,X,O,X,O,X,X,X,O,X,O,X,O,O,O,O,X,X
SOJIZLT,O,X,X,X,X,O,O,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X,O,O,O,X,O,X,O,X,X,X,O,O,O,X,O,O,O,O,X,X
SOJLTIZ,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,O,O,X,X
SOJLTZI,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,O,X,X
SOJLITZ,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,O,O,X,X
SOJLIZT,X,X,X,X,X,O,O,X,X,X,O,X,X,X,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X,O,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,O,O,O,X,O,O,O,O,X,X
SOJLZTI,X,X,X,X,O,O,O,X,X,X,O,X,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O,O,O,O,X,X
SOJLZIT,X,X,X,X,O,O,O,X,X,X,O,X,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,O,O,O,X,O,O,O,O,X,X
SOJZTIL,O,X,X,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O,O,O,O,X,X
SOJZTLI,X,X,X,X,O,O,X,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O,O,O,O,X,X
SOJZITL,O,X,O,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O,X,O,O,X,O,O,X,X,X,X,O,O,O,X,O,X,O,X,X,X,O,X,X,X,O,O,O,O,X,X
SOJZILT,O,X,X,X,O,O,O,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O,X,O,O,X,O,O,X,X,X,X,O,O,O,X,O,X,O,X,X,X,O,X,X,X,O,O,O,O,X,X
SOJZLTI,X,X,X,X,O,O,O,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O,O,O,O,X,X
SOJZLIT,O,X,X,X,O,O,O,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O,O,O,O,X,X
SOZTILJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,O,O,X,X,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X,O,X,X
SOZTIJL,O,X,X,X,X,O,X,X,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,O,O,X,X,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X,O,X,X,X,O,O,X,O,X,X
SOZTLIJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,O,X,X
SOZTLJI,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,O,X,X
SOZTJIL,O,X,X,X,X,O,X,X,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O,O,X,O,X,X
SOZTJLI,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O,O,X,O,X,X
SOZITLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,O,X,O,O,X,O,X,O,O,X,X,O,O,O,X,O,O,O,X,X,X,O,X,X,X,O,X,X,O,O,X
SOZITJL,O,X,X,X,X,O,X,X,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,O,X,O,O,X,O,X,O,O,X,X,O,O,O,X,O,O,O,X,X,X,O,X,X,X,O,O,X,O,O,X
SOZILTJ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,O,X,O,O,O,O,X,O,O,X,X,O,O,O,X,O,O,O,X,X,X,O,X,X,X,O,X,O,O,O,X
SOZILJT,O,X,X,X,O,O,O,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,O,O,O,O,O,O,O,X,X,O,O,O,X,O,O,O,X,X,X,O,X,X,X,O,O,O,O,O,X
SOZIJTL,O,X,O,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,O,X,O,O,X,O,O,O,O,X,X,O,O,O,X,O,O,O,X,X,X,O,X,X,X,O,O,O,O,O,X
SOZIJLT,O,X,X,X,O,O,O,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,O,O,O,O,O,O,O,X,X,O,O,O,X,O,O,O,X,X,X,O,X,X,X,O,O,O,O,O,X
SOZLTIJ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,O,O,O,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,O,X,X
SOZLTJI,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,O,X,X
SOZLITJ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,O,X,O,O,O,X,X,O,O,X,X,X,O,O,X,X,O,O,X,X,X,O,X,X,X,O,X,O,O,O,X
SOZLIJT,O,X,X,X,O,O,O,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,O,O,O,X,O,O,O,X,X,X,O,O,X,X,O,O,X,X,X,O,X,X,X,O,O,O,O,O,X
SOZLJTI,X,X,X,X,O,O,O,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O,O,O,O,X,X
SOZLJIT,O,X,X,X,O,O,O,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,O,O,O,X,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O,O,O,O,X,X
SOZJTIL,O,X,X,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O,O,O,O,X,X
SOZJTLI,X,X,X,X,O,O,X,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O,O,O,O,X,X
SOZJITL,O,X,O,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,O,O,X,O,O,O,O,X,X,O,O,O,X,O,X,O,X,X,X,O,X,X,X,O,O,O,O,X,X
SOZJILT,O,X,X,X,O,O,O,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,O,O,O,O,O,O,O,X,X,O,O,O,X,O,X,O,X,X,X,O,X,X,X,O,O,O,O,X,X
SOZJLTI,X,X,X,X,O,O,O,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O,O,O,O,X,X
SOZJLIT,O,X,X,X,O,O,O,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,O,O,O,X,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O,O,O,O,X,X
ZTILJSO,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
ZTILJOS,X,X,X,X,X,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
ZTILSJO,X,X,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,O
ZTILSOJ,X,X,X,X,X,X,O,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X,O
ZTILOJS,X,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,O,X,X,O,X,X,X
ZTILOSJ,X,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,O,X,X,O,X,X,X
ZTIJLSO,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
ZTIJLOS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X
ZTIJSLO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
ZTIJSOL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ZTIJOLS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
ZTIJOSL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
ZTISLJO,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,O
ZTISLOJ,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X,O
ZTISJLO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,O
ZTISJOL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ZTISOLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,O,X,X,X,O,X,O,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZTISOJL,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,O,X,X,X,O,X,O,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZTIOLJS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X
ZTIOLSJ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X
ZTIOJLS,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X
ZTIOJSL,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X
ZTIOSLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ZTIOSJL,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ZTLIJSO,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZTLIJOS,X,X,X,X,X,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZTLISJO,X,X,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O
ZTLISOJ,X,X,X,X,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,O
ZTLIOJS,X,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X
ZTLIOSJ,X,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X
ZTLJISO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZTLJIOS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZTLJSIO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
ZTLJSOI,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
ZTLJOIS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZTLJOSI,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
ZTLSIJO,X,X,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
ZTLSIOJ,X,X,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O
ZTLSJIO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
