sequence,v115@zgB8GeD8FeC8GeC8GeG8AeC8Jem7IvhFCdBZjBclBT?iBXmBFsB,v115@zgB8GeD8FeC8GeC8GeG8AeC8Jex7IvhFyhBzdBclBX?mBmnBFsB,v115@zgB8GeD8FeC8GeC8GeG8AeC8Jel7IvhFRdBXhB8mBz?iB2qBisB,v115@zgB8GeD8FeC8GeC8GeG8AeC8Jel7IvhFchBZjB6nBX?iBTlBmrB,v115@zgB8GeD8FeC8GeC8GeG8AeC8Jex7IvhFamBFiB8nBT?lBfsBmsB,v115@zgB8GeD8FeC8GeC8GeG8AeC8Jem9IvhFRhBfoBTgB0?hByqBFsB,v115@zgB8GeD8FeC8GeC8GeG8AeC8Jex8IvhFyiB3gBcmBm?nBTlBFsB,v115@zgB8GeD8FeC8GeC8GeG8AeC8JefCJvhF6iBZjBUhBT?lBmlBFsB,v115@zgB8GeD8FeC8GeC8GeG8AeC8JeR9IvhFFhBTiBeoB0?lBfsBiqB,v115@zgB8GeD8FeC8GeC8GeG8AeC8Je8CJvhF3gBzhBmgBy?sBxqBFsB
LSZOTIJ,X,O,O,X,O,X,X,X,X,X
LSZOTJI,X,O,O,X,O,X,X,X,X,X
LSZOITJ,X,O,O,X,O,X,X,X,X,X
LSZOIJT,O,O,O,X,O,X,X,X,X,X
LSZOJTI,X,O,O,X,O,X,X,X,X,X
LSZOJIT,O,O,O,X,O,X,X,X,X,X
LSOTIJZ,X,X,O,O,X,O,X,X,X,X
LSOTIZJ,X,X,O,X,O,X,X,X,X,X
LSOTJIZ,X,O,O,O,X,O,X,X,X,X
LSOTJZI,X,O,O,O,X,X,X,X,X,X
LSOTZIJ,X,O,O,X,O,X,X,X,X,X
LSOTZJI,X,O,X,X,O,X,X,X,X,X
LSOITJZ,X,X,O,O,X,X,X,X,X,X
LSOITZJ,X,X,O,X,O,X,X,X,X,X
LSOIJTZ,X,X,O,O,X,O,X,X,X,X
LSOIJZT,X,X,O,O,O,O,X,X,X,X
LSOIZTJ,X,X,O,X,O,X,X,X,X,X
LSOIZJT,O,X,O,X,O,X,X,X,X,X
LSOJTIZ,X,X,O,O,X,O,X,X,X,X
LSOJTZI,X,O,O,O,X,X,X,X,X,X
LSOJITZ,X,X,O,O,X,O,X,X,X,X
LSOJIZT,X,O,O,O,O,O,X,X,X,X
LSOJZTI,X,O,O,O,O,X,X,X,X,X
LSOJZIT,X,O,O,O,O,X,X,X,X,X
LSOZTIJ,X,O,O,X,O,X,X,X,X,X
LSOZTJI,X,O,O,X,O,X,X,X,X,X
LSOZITJ,X,O,O,X,O,X,X,X,X,X
LSOZIJT,O,O,O,X,O,X,X,X,X,X
LSOZJTI,X,O,O,X,O,X,X,X,X,X
LSOZJIT,O,O,O,X,O,X,X,X,X,X
LZTIJSO,X,O,O,O,X,X,O,X,X,X
LZTIJOS,O,O,O,O,X,X,O,X,X,X
LZTISJO,X,X,O,X,X,O,O,X,X,X
LZTISOJ,X,X,O,X,X,X,X,X,X,O
LZTIOJS,O,X,O,X,X,X,X,X,X,X
LZTIOSJ,O,X,O,X,X,X,X,X,X,O
LZTJISO,X,O,O,O,X,X,O,X,X,X
LZTJIOS,O,O,O,O,X,X,O,X,X,X
LZTJSIO,X,O,O,O,X,X,O,X,X,X
LZTJSOI,X,O,O,X,X,X,O,X,O,X
LZTJOIS,O,O,O,O,X,X,O,X,X,X
LZTJOSI,O,O,O,X,X,X,O,X,X,X
LZTSIJO,X,X,O,X,X,O,O,X,X,X
LZTSIOJ,X,X,O,X,O,X,X,X,X,X
LZTSJIO,X,X,O,X,X,O,O,X,X,X
LZTSJOI,X,X,O,X,O,X,O,X,O,X
LZTSOIJ,X,X,O,X,O,X,X,X,X,X
LZTSOJI,X,X,O,X,O,X,X,X,X,X
LZTOIJS,O,X,O,X,X,X,X,X,X,X
LZTOISJ,O,X,O,X,X,X,X,X,X,X
LZTOJIS,O,X,O,X,X,X,X,X,X,X
LZTOJSI,O,X,O,X,X,X,X,X,X,X
LZTOSIJ,O,X,O,X,X,X,X,X,X,X
LZTOSJI,O,X,O,X,X,X,X,X,X,X
LZITJSO,X,O,O,O,X,X,X,X,X,X
LZITJOS,O,O,O,O,X,X,X,X,X,X
LZITSJO,X,X,O,X,X,O,X,X,X,X
LZITSOJ,X,X,O,X,X,X,X,X,X,O
LZITOJS,O,X,O,X,X,X,X,X,X,X
LZITOSJ,O,X,O,X,X,X,X,X,X,O
LZIJTSO,X,X,O,O,X,X,O,X,X,X
LZIJTOS,O,O,O,O,X,X,X,X,X,X
LZIJSTO,O,O,O,O,X,X,O,X,X,X
LZIJSOT,O,O,O,X,X,X,O,X,X,O
LZIJOTS,X,O,O,O,X,X,X,X,X,X
LZIJOST,X,O,O,X,X,X,O,X,X,O
LZISTJO,O,O,O,X,X,X,X,X,X,X
LZISTOJ,O,O,O,X,O,X,X,X,X,O
LZISJTO,O,O,O,X,X,O,O,X,X,X
LZISJOT,O,O,O,X,X,O,O,X,X,O
LZISOTJ,X,O,O,X,X,X,X,X,X,O
LZISOJT,O,O,O,X,X,X,X,X,X,O
LZIOTJS,X,X,O,O,X,X,X,X,X,X
LZIOTSJ,X,X,O,X,X,X,X,X,X,O
LZIOJTS,X,X,O,O,X,X,X,X,X,X
LZIOJST,X,X,O,O,X,X,X,X,X,O
LZIOSTJ,X,X,O,X,X,X,X,X,X,O
LZIOSJT,X,X,O,X,X,X,X,X,X,O
LZJTISO,X,O,O,O,X,X,O,X,X,X
LZJTIOS,O,O,O,O,X,X,X,X,X,X
LZJTSIO,X,O,O,O,X,X,O,X,X,X
LZJTSOI,X,O,O,X,X,X,O,X,O,X
LZJTOIS,O,O,O,O,X,X,X,X,X,X
LZJTOSI,O,O,O,X,X,X,X,X,X,X
LZJITSO,X,X,O,O,X,X,O,X,X,X
LZJITOS,O,O,O,O,X,X,X,X,X,X
LZJISTO,O,O,O,O,X,X,O,X,X,X
LZJISOT,O,O,O,X,X,X,O,X,X,O
LZJIOTS,X,O,O,O,X,X,X,X,X,X
LZJIOST,X,O,O,X,X,X,O,X,X,O
LZJSTIO,O,O,O,O,X,X,O,X,X,X
LZJSTOI,O,O,O,X,O,X,O,X,O,X
LZJSITO,O,O,O,O,X,X,O,X,X,X
LZJSIOT,O,O,O,X,X,X,O,X,X,X
LZJSOTI,X,O,O,X,X,X,O,X,O,X
LZJSOIT,O,O,O,X,X,X,O,X,O,X
LZJOTIS,X,O,O,O,X,X,X,X,X,X
LZJOTSI,X,O,O,X,X,X,X,X,X,X
LZJOITS,X,O,O,O,X,X,X,X,X,X
LZJOIST,X,O,O,X,X,X,O,X,X,X
LZJOSTI,X,O,O,X,X,X,O,X,X,X
LZJOSIT,X,O,O,X,X,X,O,X,X,X
LZSTIJO,O,O,O,X,X,O,O,X,X,X
LZSTIOJ,O,O,O,X,O,X,X,X,X,X
LZSTJIO,O,O,O,X,X,O,O,X,X,X
LZSTJOI,O,O,O,X,O,X,O,X,O,X
LZSTOIJ,O,O,O,X,O,X,X,X,X,X
LZSTOJI,O,O,O,X,O,X,X,X,X,X
LZSITJO,O,O,O,X,X,X,X,X,X,X
LZSITOJ,O,O,O,X,O,X,X,X,X,O
LZSIJTO,O,O,O,X,X,O,O,X,X,X
LZSIJOT,O,O,O,X,X,O,O,X,X,O
LZSIOTJ,X,O,O,X,X,X,X,X,X,O
LZSIOJT,O,O,O,X,X,X,X,X,X,O
LZSJTIO,O,O,O,X,X,O,O,X,X,X
LZSJTOI,O,O,O,X,O,X,O,X,O,X
LZSJITO,O,O,O,X,X,O,O,X,X,X
LZSJIOT,O,O,O,X,X,O,O,X,X,X
LZSJOTI,X,O,O,X,X,X,O,X,O,X
LZSJOIT,O,O,O,X,X,X,O,X,O,X
LZSOTIJ,X,O,O,X,O,X,X,X,X,X
LZSOTJI,X,O,O,X,O,X,X,X,X,X
LZSOITJ,X,O,O,X,O,X,X,X,X,X
LZSOIJT,O,O,O,X,O,X,X,X,X,X
LZSOJTI,X,O,O,X,O,X,X,X,X,X
LZSOJIT,O,O,O,X,O,X,X,X,X,X
LZOTIJS,X,X,O,O,X,X,X,X,X,X
LZOTISJ,X,X,O,X,O,X,X,X,X,X
LZOTJIS,X,X,O,O,X,X,X,X,X,X
LZOTJSI,X,X,O,O,X,X,X,X,X,X
LZOTSIJ,X,X,O,X,O,X,X,X,X,X
LZOTSJI,X,X,O,X,O,X,X,X,X,X
LZOITJS,X,X,O,O,X,X,X,X,X,X
LZOITSJ,X,X,O,X,O,X,X,X,X,O
LZOIJTS,X,X,O,O,X,X,X,X,X,X
LZOIJST,X,X,O,O,O,X,X,X,X,O
LZOISTJ,X,X,O,X,O,X,X,X,X,O
LZOISJT,X,X,O,X,O,X,X,X,X,O
LZOJTIS,X,X,O,O,X,X,X,X,X,X
LZOJTSI,X,X,O,O,X,X,X,X,X,X
LZOJITS,X,X,O,O,X,X,X,X,X,X
LZOJIST,X,X,O,O,O,X,X,X,X,X
LZOJSTI,X,X,O,O,O,X,X,X,X,X
LZOJSIT,X,X,O,O,O,X,X,X,X,X
LZOSTIJ,X,X,O,X,O,X,X,X,X,X
LZOSTJI,X,X,O,X,O,X,X,X,X,X
LZOSITJ,X,X,O,X,O,X,X,X,X,X
LZOSIJT,X,X,O,X,O,X,X,X,X,X
LZOSJTI,X,X,O,X,O,X,X,X,X,X
LZOSJIT,X,X,O,X,O,X,X,X,X,X
LOTIJSZ,X,X,O,O,X,X,X,X,X,X
LOTIJZS,X,X,O,O,X,X,X,X,X,X
LOTISJZ,X,X,O,O,X,O,X,X,X,X
LOTISZJ,X,X,O,X,O,X,X,X,X,X
LOTIZJS,X,X,O,O,X,X,X,X,X,X
LOTIZSJ,X,X,O,X,O,X,X,O,X,X
LOTJISZ,X,X,O,O,X,X,X,X,X,X
LOTJIZS,X,X,O,O,X,X,X,X,X,X
LOTJSIZ,X,X,O,O,X,X,X,X,X,X
LOTJSZI,X,X,O,O,X,X,X,X,X,X
LOTJZIS,X,X,O,O,X,X,X,X,X,X
LOTJZSI,X,X,O,O,X,X,X,X,X,X
LOTSIJZ,X,X,O,O,X,O,X,X,X,X
LOTSIZJ,X,X,O,X,O,X,X,X,X,X
LOTSJIZ,X,X,O,O,X,O,X,X,X,X
LOTSJZI,X,X,O,O,X,X,X,X,X,X
LOTSZIJ,X,X,O,X,O,X,X,X,X,X
LOTSZJI,X,X,X,X,O,X,X,X,X,X
LOTZIJS,X,X,O,O,X,X,X,X,X,X
LOTZISJ,X,X,O,X,O,X,X,O,X,X
LOTZJIS,X,X,O,O,X,X,X,X,X,X
LOTZJSI,X,X,O,O,X,X,X,X,X,X
LOTZSIJ,X,X,O,X,O,X,X,O,X,X
LOTZSJI,X,X,O,X,O,X,X,O,X,X
LOITJSZ,X,X,O,O,X,X,X,X,X,X
LOITJZS,X,X,O,O,X,X,X,X,X,X
LOITSJZ,X,X,O,O,X,O,X,X,X,X
LOITSZJ,X,X,O,X,O,X,X,X,X,O
LOITZJS,X,X,O,O,X,X,X,X,X,X
LOITZSJ,X,X,O,X,O,X,X,O,X,O
LOIJTSZ,X,X,O,O,X,X,X,X,X,X
LOIJTZS,X,X,O,O,X,X,X,X,X,X
LOIJSTZ,X,X,O,O,X,X,X,X,X,X
LOIJSZT,X,X,O,O,O,X,X,X,X,O
LOIJZTS,X,X,O,O,X,X,X,X,X,X
LOIJZST,X,X,O,O,O,X,X,X,X,O
LOISTJZ,X,X,O,O,X,X,X,X,X,X
LOISTZJ,X,X,O,X,O,X,X,X,X,O
LOISJTZ,X,X,O,O,X,O,X,X,X,X
LOISJZT,X,X,O,O,O,O,X,X,X,O
LOISZTJ,X,X,O,X,O,X,X,X,X,O
LOISZJT,X,X,O,X,O,X,X,X,X,O
LOIZTJS,X,X,O,O,X,X,X,X,X,X
LOIZTSJ,X,X,O,X,O,X,X,O,X,O
LOIZJTS,X,X,O,O,X,X,X,X,X,X
LOIZJST,X,X,O,O,O,X,X,X,X,O
LOIZSTJ,X,X,O,X,O,X,X,O,X,O
LOIZSJT,X,X,O,X,O,X,X,O,X,O
LOJTISZ,X,X,O,O,X,X,X,X,X,X
LOJTIZS,X,X,O,O,X,X,X,X,X,X
LOJTSIZ,X,X,O,O,X,X,X,X,X,X
LOJTSZI,X,X,O,O,X,X,X,X,X,X
LOJTZIS,X,X,O,O,X,X,X,X,X,X
LOJTZSI,X,X,O,O,X,X,X,X,X,X
LOJITSZ,X,X,O,O,X,X,X,X,X,X
LOJITZS,X,X,O,O,X,X,X,X,X,X
LOJISTZ,X,X,O,O,X,X,X,X,X,X
LOJISZT,X,X,O,O,O,X,X,X,X,X
LOJIZTS,X,X,O,O,X,X,X,X,X,X
LOJIZST,X,X,O,O,O,X,X,X,X,X
LOJSTIZ,X,X,O,O,X,X,X,X,X,X
LOJSTZI,X,X,O,O,X,X,X,X,X,X
LOJSITZ,X,X,O,O,X,X,X,X,X,X
LOJSIZT,X,X,O,O,O,X,X,X,X,X
LOJSZTI,X,X,O,O,O,X,X,X,X,X
LOJSZIT,X,X,O,O,O,X,X,X,X,X
LOJZTIS,X,X,O,O,X,X,X,X,X,X
LOJZTSI,X,X,O,O,X,X,X,X,X,X
LOJZITS,X,X,O,O,X,X,X,X,X,X
LOJZIST,X,X,O,O,O,X,X,X,X,X
LOJZSTI,X,X,O,O,O,X,X,X,X,X
LOJZSIT,X,X,O,O,O,X,X,X,X,X
LOSTIJZ,X,X,O,O,X,O,X,X,X,X
LOSTIZJ,X,X,O,X,O,X,X,X,X,X
LOSTJIZ,X,X,O,O,X,O,X,X,X,X
LOSTJZI,X,X,O,O,X,X,X,X,X,X
LOSTZIJ,X,X,O,X,O,X,X,X,X,X
LOSTZJI,X,X,X,X,O,X,X,X,X,X
LOSITJZ,X,X,O,O,X,X,X,X,X,X
LOSITZJ,X,X,O,X,O,X,X,X,X,X
LOSIJTZ,X,X,O,O,X,O,X,X,X,X
LOSIJZT,X,X,O,O,O,O,X,X,X,X
LOSIZTJ,X,X,O,X,O,X,X,X,X,X
LOSIZJT,X,X,O,X,O,X,X,X,X,X
LOSJTIZ,X,X,O,O,X,O,X,X,X,X
LOSJTZI,X,X,O,O,X,X,X,X,X,X
LOSJITZ,X,X,O,O,X,O,X,X,X,X
LOSJIZT,X,X,O,O,O,O,X,X,X,X
LOSJZTI,X,X,O,O,O,X,X,X,X,X
LOSJZIT,X,X,O,O,O,X,X,X,X,X
LOSZTIJ,X,X,O,X,O,X,X,X,X,X
LOSZTJI,X,X,O,X,O,X,X,X,X,X
LOSZITJ,X,X,O,X,O,X,X,X,X,X
LOSZIJT,X,X,O,X,O,X,X,X,X,X
LOSZJTI,X,X,O,X,O,X,X,X,X,X
LOSZJIT,X,X,O,X,O,X,X,X,X,X
LOZTIJS,X,X,O,O,X,X,X,X,X,X
LOZTISJ,X,X,O,X,O,X,X,O,X,X
LOZTJIS,X,X,O,O,X,X,X,X,X,X
LOZTJSI,X,X,O,O,X,X,X,X,X,X
LOZTSIJ,X,X,O,X,O,X,X,O,X,X
LOZTSJI,X,X,O,X,O,X,X,O,X,X
LOZITJS,X,X,O,O,X,X,X,X,X,X
LOZITSJ,X,X,O,X,O,X,X,O,X,O
LOZIJTS,X,X,O,O,X,X,X,X,X,X
LOZIJST,X,X,O,O,O,X,X,X,X,O
LOZISTJ,X,X,O,X,O,X,X,O,X,O
LOZISJT,X,X,O,X,O,X,X,O,X,O
LOZJTIS,X,X,O,O,X,X,X,X,X,X
LOZJTSI,X,X,O,O,X,X,X,X,X,X
LOZJITS,X,X,O,O,X,X,X,X,X,X
LOZJIST,X,X,O,O,O,X,X,X,X,X
LOZJSTI,X,X,O,O,O,X,X,X,X,X
LOZJSIT,X,X,O,O,O,X,X,X,X,X
LOZSTIJ,X,X,O,X,O,X,X,O,X,X
LOZSTJI,X,X,O,X,O,X,X,O,X,X
LOZSITJ,X,X,O,X,O,X,X,O,X,X
LOZSIJT,X,X,O,X,O,X,X,O,X,X
LOZSJTI,X,X,O,X,O,X,X,X,X,X
LOZSJIT,X,X,O,X,O,X,X,O,X,X
JTILSZO,X,X,O,O,X,X,O,O,X,X
JTILSOZ,X,X,O,X,X,X,X,X,X,X
JTILZSO,X,O,O,O,X,X,O,X,X,X
JTILZOS,X,O,O,O,X,X,O,X,X,X
JTILOSZ,X,X,O,X,X,X,X,X,X,X
JTILOZS,X,O,O,O,X,X,O,X,X,X
JTISLZO,O,O,O,O,X,X,X,O,X,X
JTISLOZ,X,O,O,X,X,X,X,X,X,X
JTISZLO,O,O,O,O,X,X,X,O,X,X
JTISZOL,O,O,O,X,X,X,X,X,X,X
JTISOLZ,O,O,X,X,X,X,X,X,X,X
JTISOZL,O,O,O,X,X,X,X,X,X,X
JTIZLSO,X,O,O,O,X,X,O,X,X,X
JTIZLOS,O,O,O,O,X,X,O,X,X,X
JTIZSLO,O,O,O,O,X,X,O,O,X,X
JTIZSOL,O,O,O,X,X,X,O,X,X,X
JTIZOLS,O,O,O,O,X,X,O,X,X,X
JTIZOSL,O,O,O,X,X,X,O,X,X,X
JTIOLSZ,O,X,X,O,X,X,X,X,X,X
JTIOLZS,O,O,X,O,X,X,X,X,X,X
JTIOSLZ,O,O,X,O,X,X,X,X,X,X
JTIOSZL,O,O,X,O,X,X,X,X,X,X
JTIOZLS,O,O,X,O,X,X,X,X,X,X
JTIOZSL,O,O,X,O,X,X,X,O,X,X
JTLISZO,X,X,O,O,X,O,O,O,X,X
JTLISOZ,X,X,O,X,X,O,X,X,X,X
JTLIZSO,X,O,O,O,X,X,O,X,X,X
JTLIZOS,X,O,O,O,X,X,O,X,X,X
JTLIOSZ,X,X,O,X,X,X,X,X,X,X
JTLIOZS,X,O,O,O,X,X,O,X,X,X
JTLSIZO,X,O,O,O,X,O,O,O,X,X
JTLSIOZ,X,O,O,X,X,O,X,X,X,X
JTLSZIO,X,O,O,O,X,O,O,O,X,X
JTLSZOI,X,O,O,X,X,X,O,X,X,X
JTLSOIZ,X,O,O,X,X,O,X,X,X,X
JTLSOZI,X,O,O,X,X,X,X,X,X,X
JTLZISO,X,O,O,O,X,X,O,X,X,X
JTLZIOS,X,O,O,O,X,X,O,X,X,X
JTLZSIO,X,O,O,O,X,X,O,X,X,X
JTLZSOI,X,O,O,X,X,X,O,X,X,X
JTLZOIS,X,O,O,O,X,X,O,X,X,X
JTLZOSI,X,O,O,X,X,X,O,X,X,X
JTLOISZ,X,X,O,X,X,X,X,X,X,X
JTLOIZS,X,O,O,O,X,X,O,X,X,X
JTLOSIZ,X,O,O,X,X,X,X,X,X,X
JTLOSZI,X,O,O,X,X,X,X,X,X,X
JTLOZIS,X,O,O,O,X,X,O,X,X,X
JTLOZSI,X,O,O,X,X,X,O,X,X,X
JTSILZO,O,O,O,O,X,O,X,O,X,X
JTSILOZ,X,O,O,X,X,O,X,X,X,X
JTSIZLO,O,O,O,O,X,X,X,O,X,X
JTSIZOL,O,O,O,X,X,X,X,X,X,X
JTSIOLZ,O,O,X,X,X,X,X,X,O,X
JTSIOZL,O,O,O,X,X,X,X,X,O,X
JTSLIZO,O,O,O,O,X,O,O,O,X,X
JTSLIOZ,X,O,O,X,X,O,X,X,X,X
JTSLZIO,O,O,O,O,X,O,O,O,X,X
JTSLZOI,O,O,O,X,X,X,O,X,X,X
JTSLOIZ,X,O,O,X,X,O,X,X,O,X
JTSLOZI,X,O,O,X,X,X,X,X,O,X
JTSZILO,O,O,O,O,X,X,O,O,X,X
JTSZIOL,O,O,O,X,X,X,O,X,O,X
JTSZLIO,O,O,O,O,X,O,O,O,X,X
JTSZLOI,O,O,O,X,X,X,O,X,O,X
JTSZOIL,O,O,O,X,X,X,O,X,O,X
JTSZOLI,O,O,O,X,X,X,O,X,O,X
JTSOILZ,O,O,X,X,X,X,X,X,O,X
JTSOIZL,O,O,O,X,X,X,X,X,O,X
JTSOLIZ,O,O,O,X,X,O,X,X,O,X
JTSOLZI,O,O,O,X,X,X,X,X,O,X
JTSOZIL,O,O,O,X,X,X,X,X,O,X
JTSOZLI,O,O,O,X,X,X,X,X,O,X
JTZILSO,X,O,O,O,X,X,O,X,X,X
JTZILOS,O,O,O,O,X,X,O,X,X,X
JTZISLO,O,O,O,O,X,X,O,O,X,X
JTZISOL,O,O,O,X,X,X,O,X,O,X
JTZIOLS,O,O,O,O,X,X,O,X,X,X
JTZIOSL,O,O,O,X,X,X,O,X,X,X
JTZLISO,X,O,O,O,X,X,O,X,X,X
JTZLIOS,O,O,O,O,X,X,O,X,X,X
JTZLSIO,X,O,O,O,X,X,O,X,X,X
JTZLSOI,X,O,O,X,X,X,O,X,O,X
JTZLOIS,O,O,O,O,X,X,O,X,X,X
JTZLOSI,O,O,O,X,X,X,O,X,X,X
JTZSILO,O,O,O,O,X,X,O,O,X,X
JTZSIOL,O,O,O,X,X,X,O,X,O,X
JTZSLIO,O,O,O,O,X,X,O,O,X,X
JTZSLOI,O,O,O,X,X,X,O,X,O,X
JTZSOIL,O,O,O,X,X,X,O,X,O,X
JTZSOLI,O,O,O,X,X,X,O,X,O,X
JTZOILS,O,O,O,O,X,X,O,X,X,X
JTZOISL,O,O,O,X,X,X,O,X,X,X
JTZOLIS,O,O,O,O,X,X,O,X,X,X
JTZOLSI,O,O,O,X,X,X,O,X,X,X
JTZOSIL,O,O,X,X,X,X,O,X,O,X
JTZOSLI,O,O,X,X,X,X,O,X,O,X
JTOILSZ,O,X,X,O,X,X,X,X,X,X
JTOILZS,O,O,X,O,X,X,X,X,X,X
JTOISLZ,O,O,X,O,X,X,X,X,X,X
JTOISZL,O,O,X,O,X,X,X,X,X,X
JTOIZLS,O,O,X,O,X,X,X,X,X,X
JTOIZSL,O,O,X,O,X,X,X,O,X,X
JTOLISZ,O,X,O,O,X,X,X,X,X,X
JTOLIZS,O,O,O,O,X,X,O,X,X,X
JTOLSIZ,O,O,O,O,X,X,X,X,X,X
JTOLSZI,O,O,O,O,X,X,X,X,X,X
JTOLZIS,O,O,O,O,X,X,O,X,X,X
JTOLZSI,O,O,O,O,X,X,O,X,X,X
JTOSILZ,O,O,X,O,X,X,X,X,X,X
JTOSIZL,O,O,O,O,X,X,X,X,X,X
JTOSLIZ,O,O,O,O,X,X,X,X,X,X
JTOSLZI,O,O,O,O,X,X,X,X,X,X
JTOSZIL,O,O,O,O,X,X,X,X,X,X
JTOSZLI,O,O,O,O,X,X,X,X,X,X
JTOZILS,O,O,O,O,X,X,O,X,X,X
JTOZISL,O,O,O,O,X,X,O,O,X,X
JTOZLIS,O,O,O,O,X,X,O,X,X,X
JTOZLSI,O,O,O,O,X,X,O,X,X,X
JTOZSIL,O,O,X,O,X,X,O,O,X,X
JTOZSLI,O,O,X,O,X,X,O,O,X,X
JITLSZO,X,X,O,O,X,X,X,O,X,X
JITLSOZ,X,X,O,X,X,X,X,X,X,X
JITLZSO,X,X,O,O,X,X,X,X,X,X
JITLZOS,X,X,O,O,X,X,X,X,X,X
JITLOSZ,X,X,O,X,X,X,X,X,X,X
JITLOZS,X,X,O,O,X,X,X,X,X,X
JITSLZO,O,X,O,O,X,X,X,O,X,X
JITSLOZ,X,X,O,X,X,X,X,X,X,X
JITSZLO,O,X,O,O,X,X,X,O,X,X
JITSZOL,O,X,O,X,X,X,X,X,X,X
JITSOLZ,O,X,X,X,X,X,X,X,X,X
JITSOZL,O,X,O,X,X,X,X,X,X,X
JITZLSO,X,O,O,O,X,X,X,X,X,X
JITZLOS,O,O,O,O,X,X,X,X,X,X
JITZSLO,O,O,O,O,X,X,X,O,X,X
JITZSOL,O,O,O,X,X,X,X,X,X,X
JITZOLS,O,O,O,O,X,X,X,X,X,X
JITZOSL,O,O,O,X,X,X,X,X,X,X
JITOLSZ,O,X,X,O,X,X,X,X,X,X
JITOLZS,O,X,X,O,X,X,X,X,X,X
JITOSLZ,O,X,X,O,X,X,X,X,X,X
JITOSZL,O,X,X,O,X,X,X,X,X,X
JITOZLS,O,X,X,O,X,X,X,X,X,X
JITOZSL,O,X,X,O,X,X,X,O,X,X
JILTSZO,X,X,O,O,X,X,X,X,X,X
JILTSOZ,X,X,O,X,X,X,X,X,X,X
JILTZSO,X,X,O,O,X,X,O,X,X,X
JILTZOS,X,X,O,O,X,X,X,X,X,X
JILTOSZ,X,X,O,X,X,X,X,X,X,X
JILTOZS,X,X,O,O,X,X,X,X,X,X
JILSTZO,X,X,O,O,X,X,X,X,X,X
JILSTOZ,X,X,O,X,X,X,X,X,X,X
JILSZTO,X,X,X,O,X,X,O,X,X,X
JILSZOT,X,X,X,X,X,X,O,X,X,O
JILSOTZ,X,X,O,X,X,X,X,X,X,X
JILSOZT,X,X,X,X,X,X,X,X,X,O
JILZTSO,X,X,O,O,X,X,O,X,X,X
JILZTOS,O,O,O,O,X,X,X,X,X,X
JILZSTO,O,X,O,O,X,X,O,X,X,X
JILZSOT,O,O,O,X,X,X,O,X,X,O
JILZOTS,X,O,O,O,X,X,X,X,X,X
JILZOST,X,O,O,X,X,X,O,X,X,O
JILOTSZ,X,X,O,O,X,X,X,X,X,X
JILOTZS,X,X,O,O,X,X,X,X,X,X
JILOSTZ,X,X,O,O,X,X,X,X,X,X
JILOSZT,X,X,O,O,X,X,X,X,X,O
JILOZTS,X,O,O,O,X,X,X,X,X,X
JILOZST,X,O,O,O,X,X,O,X,X,O
JISTLZO,O,X,O,O,X,X,X,X,X,X
JISTLOZ,X,X,O,X,X,X,X,X,X,X
JISTZLO,O,X,O,O,X,X,X,X,X,X
JISTZOL,O,X,O,X,X,X,X,X,X,X
JISTOLZ,O,X,X,X,X,X,X,X,O,X
JISTOZL,O,X,O,X,X,X,X,X,O,X
JISLTZO,X,X,O,O,X,X,X,X,X,X
JISLTOZ,X,X,O,X,X,X,X,X,X,X
JISLZTO,O,O,X,O,X,X,X,X,X,X
JISLZOT,O,O,X,X,X,X,X,X,X,O
JISLOTZ,X,X,O,X,X,X,X,X,X,X
JISLOZT,X,O,X,X,X,X,X,X,X,O
JISZTLO,O,O,O,O,X,X,X,X,X,X
JISZTOL,O,O,O,X,X,X,X,X,O,X
JISZLTO,O,O,O,O,X,X,X,X,X,X
JISZLOT,O,O,O,X,X,X,X,X,X,X
JISZOTL,O,O,O,X,X,X,X,X,O,X
JISZOLT,O,O,X,X,X,X,X,X,O,X
JISOTLZ,X,X,X,X,X,X,X,X,O,X
JISOTZL,X,X,O,X,X,X,X,X,O,X
JISOLTZ,X,X,X,X,X,X,X,X,O,X
JISOLZT,X,O,X,X,X,X,X,X,O,O
JISOZTL,X,O,X,X,X,X,X,X,O,X
JISOZLT,X,O,X,X,X,X,X,X,O,X
JIZTLSO,X,O,O,O,X,X,O,X,X,X
JIZTLOS,O,O,O,O,X,X,X,X,X,X
JIZTSLO,O,O,O,O,X,X,O,X,X,X
JIZTSOL,O,O,O,X,X,X,X,X,O,X
JIZTOLS,O,O,O,O,X,X,X,X,X,X
JIZTOSL,O,O,O,X,X,X,X,X,X,X
JIZLTSO,X,X,O,O,X,X,O,X,X,X
JIZLTOS,O,O,O,O,X,X,X,X,X,X
JIZLSTO,O,O,O,O,X,X,O,X,X,X
JIZLSOT,O,O,O,X,X,X,O,X,X,X
JIZLOTS,X,O,O,O,X,X,X,X,X,X
JIZLOST,X,O,O,X,X,X,O,X,X,X
JIZSTLO,O,O,O,O,X,X,O,X,X,X
JIZSTOL,O,O,O,X,X,X,O,X,O,X
JIZSLTO,O,O,O,O,X,X,O,X,X,X
JIZSLOT,O,O,O,X,X,X,O,X,X,X
JIZSOTL,O,O,O,X,X,X,X,X,O,X
JIZSOLT,O,O,X,X,X,X,O,X,O,X
JIZOTLS,O,O,O,O,X,X,X,X,X,X
JIZOTSL,O,O,O,X,X,X,X,X,X,X
