sequence,v115@4gD8GeC8FeD8FeD8DeG8JeT6IvhF/gBUcB5jBlkByq?B2uB,v115@4gD8GeC8FeD8FeD8DeG8JeT6IvhFegBUcB5jBfmBKp?BFqB,v115@4gD8GeC8FeD8FeD8DeG8Jei6IvhF3bB5jBckBOmBTl?B1uB,v115@4gD8GeC8FeD8FeD8DeG8JeK/IvhFfgB5jBFhBcqBml?BTpB,v115@4gD8GeC8FeD8FeD8DeG8Jei7IvhF5jBOkBFhBfqB0l?BTpB,v115@4gD8GeC8FeD8FeD8DeG8Jel6IvhFUcB5jB/kBTgByq?B2uB,v115@4gD8GeC8FeD8FeD8DeG8Je06IvhF5jB2kB3lBFmBTp?BiqB,v115@4gD8GeC8FeD8FeD8DeG8Je06IvhFlbB5jB2kBXhBTp?BiqB,v115@4gD8GeC8FeD8FeD8DeG8JeK/IvhFUcB5jBFgBzlBmp?B3pB,v115@4gD8GeC8FeD8FeD8DeG8JeU8IvhF5jBFgBzlBmpB/p?BipB,v115@4gD8GeC8FeD8FeD8DeG8Je5DJvhFTfB/lBFhBmlBip?B0pB,v115@4gD8GeC8FeD8FeD8DeG8JeU8IvhF5jBFgBzlBipB/p?BmpB,v115@4gD8GeC8FeD8FeD8DeG8JeK/IvhF5jBUgBFhBzlBmp?B3pB
ISJOZLT,X,X,X,X,X,O,O,O,X,O,X,X,X
ISZTLJO,X,O,X,X,O,X,X,O,X,X,X,X,X
ISZTLOJ,X,O,X,X,O,X,X,O,X,X,O,X,X
ISZTJLO,X,X,X,X,O,X,X,X,X,X,X,X,X
ISZTJOL,X,X,X,X,O,X,X,X,X,X,X,X,X
ISZTOLJ,X,X,X,O,O,X,X,O,X,X,X,X,X
ISZTOJL,X,X,X,X,O,X,X,O,X,X,X,X,X
ISZLTJO,O,O,X,X,O,X,X,O,X,X,X,X,X
ISZLTOJ,O,O,X,X,O,X,X,O,X,X,O,X,X
ISZLJTO,O,O,X,X,O,O,X,O,X,X,X,X,X
ISZLJOT,O,X,X,X,X,O,X,O,X,X,X,X,X
ISZLOTJ,O,O,X,X,X,X,X,O,X,X,O,X,X
ISZLOJT,O,X,X,X,X,O,X,O,X,X,X,X,X
ISZJTLO,X,X,X,X,O,O,X,X,X,X,X,X,X
ISZJTOL,X,X,X,X,O,O,X,X,X,X,X,X,X
ISZJLTO,O,O,X,X,O,O,X,X,X,X,X,X,X
ISZJLOT,O,X,X,X,X,O,X,X,X,X,X,X,X
ISZJOTL,X,X,X,X,O,O,X,X,X,X,X,X,X
ISZJOLT,X,X,X,X,X,O,X,X,X,X,X,X,X
ISZOTLJ,X,X,X,O,O,X,X,O,X,X,X,X,X
ISZOTJL,X,X,X,X,O,X,X,O,X,X,X,X,X
ISZOLTJ,X,O,X,O,X,X,X,O,X,X,X,O,X
ISZOLJT,X,X,X,O,X,X,X,O,X,X,X,O,X
ISZOJTL,X,X,X,X,O,X,O,O,X,O,X,X,X
ISZOJLT,X,X,X,X,X,X,O,O,X,O,X,X,X
ISOTLJZ,X,X,X,O,X,X,X,O,X,X,O,X,X
ISOTLZJ,X,X,O,O,X,X,X,O,X,X,O,X,X
ISOTJLZ,X,X,X,X,X,X,O,O,X,X,X,X,X
ISOTJZL,X,X,O,X,X,X,O,O,X,X,X,X,X
ISOTZLJ,X,X,O,O,X,X,X,O,X,X,X,X,X
ISOTZJL,X,X,O,X,X,X,X,O,X,X,X,X,X
ISOLTJZ,X,O,X,O,X,X,X,O,X,X,O,O,X
ISOLTZJ,X,O,O,O,X,X,X,O,X,X,O,O,X
ISOLJTZ,X,X,X,O,X,X,O,O,X,X,O,O,X
ISOLJZT,X,X,X,X,X,X,O,O,X,X,X,O,X
ISOLZTJ,X,O,X,O,X,X,X,O,X,X,O,O,X
ISOLZJT,X,X,X,O,X,X,X,O,X,X,X,O,X
ISOJTLZ,X,X,X,X,X,X,O,O,X,O,X,X,X
ISOJTZL,X,X,O,X,X,X,O,O,X,O,X,X,X
ISOJLTZ,X,X,X,X,X,X,O,O,X,O,X,X,X
ISOJLZT,X,X,X,X,X,X,O,O,X,O,X,X,X
ISOJZTL,X,X,X,X,O,X,O,O,X,O,X,X,X
ISOJZLT,X,X,X,X,X,X,O,O,X,O,X,X,X
ISOZTLJ,X,X,O,O,O,X,X,O,X,X,X,X,X
ISOZTJL,X,X,O,X,O,X,X,O,X,X,X,X,X
ISOZLTJ,X,O,X,O,X,X,X,O,X,X,X,O,X
ISOZLJT,X,X,X,O,X,X,X,O,X,X,X,O,X
ISOZJTL,X,X,X,X,O,X,O,O,X,O,X,X,X
ISOZJLT,X,X,X,X,X,X,O,O,X,O,X,X,X
IZTLJSO,O,X,O,X,O,O,X,X,X,X,X,X,X
IZTLJOS,X,X,O,X,X,O,X,X,X,X,X,X,X
IZTLSJO,O,O,O,X,O,X,X,X,X,X,X,X,X
IZTLSOJ,O,O,O,X,O,X,X,X,X,X,X,X,X
IZTLOJS,X,X,O,O,X,O,X,X,X,X,X,X,X
IZTLOSJ,X,X,O,O,O,X,X,X,X,X,X,X,X
IZTJLSO,O,X,O,X,O,O,X,X,X,X,X,X,O
IZTJLOS,X,X,O,X,X,O,X,X,X,X,X,X,O
IZTJSLO,X,X,O,X,O,O,X,X,X,X,X,X,X
IZTJSOL,X,X,O,X,O,O,X,X,X,X,X,X,X
IZTJOLS,X,X,O,O,X,X,X,X,X,X,X,X,X
IZTJOSL,X,X,O,X,X,X,X,X,X,X,X,X,X
IZTSLJO,X,O,O,X,O,X,X,X,X,X,X,X,X
IZTSLOJ,X,O,O,X,O,X,X,X,X,X,O,X,X
IZTSJLO,X,X,O,X,O,X,X,X,X,X,X,X,X
IZTSJOL,X,X,O,X,O,X,X,X,X,X,X,X,X
IZTSOLJ,X,X,O,O,O,X,X,X,X,X,X,X,X
IZTSOJL,X,X,O,X,O,X,X,X,X,X,X,X,X
IZTOLJS,X,X,O,O,X,X,X,X,X,X,X,X,X
IZTOLSJ,X,X,O,O,O,X,X,X,X,X,X,O,X
IZTOJLS,X,X,O,O,X,X,X,X,X,X,X,X,X
IZTOJSL,X,X,O,X,X,X,X,X,X,O,X,X,X
IZTOSLJ,X,X,O,O,O,X,X,X,X,X,X,X,X
IZTOSJL,X,X,O,X,O,X,X,X,X,X,X,X,X
IZLTJSO,O,O,X,X,O,O,X,X,X,X,X,X,X
IZLTJOS,X,O,X,X,X,O,X,X,X,X,X,X,X
IZLTSJO,O,O,X,X,O,X,X,X,X,X,X,X,X
IZLTSOJ,O,O,X,X,O,X,X,X,X,X,X,X,X
IZLTOJS,X,O,X,O,X,O,X,X,X,X,X,X,X
IZLTOSJ,O,O,X,O,O,X,X,X,X,X,X,X,X
IZLJTSO,O,X,X,X,X,O,X,O,X,X,X,X,X
IZLJTOS,O,X,X,X,X,O,X,O,X,X,X,X,X
IZLJSTO,O,O,X,X,X,O,X,O,X,X,X,X,X
IZLJSOT,O,X,X,X,X,O,X,O,X,X,X,X,X
IZLJOTS,X,X,X,X,X,O,X,O,X,X,X,X,X
IZLJOST,O,X,X,X,X,O,X,O,X,X,X,X,X
IZLSTJO,O,O,X,X,O,X,X,O,X,X,X,X,X
IZLSTOJ,O,O,X,X,O,X,X,O,X,X,O,X,X
IZLSJTO,O,O,X,X,O,O,X,O,X,X,X,X,X
IZLSJOT,O,X,X,X,X,O,X,O,X,X,X,X,X
IZLSOTJ,O,O,X,X,X,X,X,O,X,X,O,X,X
IZLSOJT,O,X,X,X,X,O,X,O,X,X,X,X,X
IZLOTJS,X,O,X,O,X,O,X,X,X,X,X,X,X
IZLOTSJ,X,O,X,O,X,X,X,X,X,X,X,O,X
IZLOJTS,X,X,X,O,X,O,X,O,X,X,X,X,X
IZLOJST,O,X,X,O,X,O,X,O,X,O,X,O,X
IZLOSTJ,O,O,X,O,X,X,X,O,X,X,O,O,X
IZLOSJT,O,X,X,O,X,O,X,O,X,X,X,O,X
IZJTLSO,O,X,O,X,O,O,X,X,X,X,X,X,O
IZJTLOS,O,X,O,X,X,O,X,X,X,X,X,X,O
IZJTSLO,O,X,O,X,O,O,X,X,X,X,X,X,X
IZJTSOL,O,X,O,X,O,O,X,X,X,X,X,X,X
IZJTOLS,O,X,O,O,X,X,X,X,X,X,X,X,X
IZJTOSL,O,X,O,X,X,X,X,X,X,X,X,X,X
IZJLTSO,O,X,X,X,X,O,X,X,X,X,X,X,O
IZJLTOS,O,X,X,X,X,O,X,X,X,X,X,X,O
IZJLSTO,O,O,X,X,X,O,X,X,X,X,X,X,O
IZJLSOT,O,X,X,X,X,O,X,X,X,X,X,X,X
IZJLOTS,X,X,X,X,X,O,X,X,O,X,X,X,O
IZJLOST,O,X,X,X,X,O,X,X,O,X,X,X,X
IZJSTLO,X,X,O,X,O,O,X,X,X,X,X,X,X
IZJSTOL,X,X,O,X,O,O,X,X,X,X,X,X,X
IZJSLTO,O,O,X,X,O,O,X,X,X,X,X,X,X
IZJSLOT,O,X,X,X,X,O,X,X,X,X,X,X,X
IZJSOTL,X,X,O,X,O,O,X,X,X,X,X,X,X
IZJSOLT,X,X,X,X,X,O,X,X,X,X,X,X,X
IZJOTLS,X,X,O,O,X,X,X,X,X,X,X,X,X
IZJOTSL,X,X,O,X,X,X,X,X,X,O,X,X,X
IZJOLTS,X,X,X,O,X,O,X,X,X,X,X,X,X
IZJOLST,O,X,X,O,X,O,X,X,X,O,X,O,X
IZJOSTL,X,X,O,X,X,O,X,X,X,O,X,X,X
IZJOSLT,X,X,X,X,X,O,X,X,X,O,X,X,X
IZSTLJO,X,O,X,X,O,X,X,O,X,X,X,X,X
IZSTLOJ,X,O,X,X,O,X,X,O,X,X,O,X,X
IZSTJLO,X,X,X,X,O,X,X,X,X,X,X,X,X
IZSTJOL,X,X,X,X,O,X,X,X,X,X,X,X,X
IZSTOLJ,X,X,X,O,O,X,X,O,X,X,X,X,X
IZSTOJL,X,X,X,X,O,X,X,O,X,X,X,X,X
IZSLTJO,O,O,X,X,O,X,X,O,X,X,X,X,X
IZSLTOJ,O,O,X,X,O,X,X,O,X,X,O,X,X
IZSLJTO,O,O,X,X,O,O,X,O,X,X,X,X,X
IZSLJOT,O,X,X,X,X,O,X,O,X,X,X,X,X
IZSLOTJ,O,O,X,X,X,X,X,O,X,X,O,X,X
IZSLOJT,O,X,X,X,X,O,X,O,X,X,X,X,X
IZSJTLO,X,X,X,X,O,O,X,X,X,X,X,X,X
IZSJTOL,X,X,X,X,O,O,X,X,X,X,X,X,X
IZSJLTO,O,O,X,X,O,O,X,X,X,X,X,X,X
IZSJLOT,O,X,X,X,X,O,X,X,X,X,X,X,X
IZSJOTL,X,X,X,X,O,O,X,X,X,X,X,X,X
IZSJOLT,X,X,X,X,X,O,X,X,X,X,X,X,X
IZSOTLJ,X,X,X,O,O,X,X,O,X,X,X,X,X
IZSOTJL,X,X,X,X,O,X,X,O,X,X,X,X,X
IZSOLTJ,X,O,X,O,X,X,X,O,X,X,X,O,X
IZSOLJT,X,X,X,O,X,X,X,O,X,X,X,O,X
IZSOJTL,X,X,X,X,O,X,O,O,X,O,X,X,X
IZSOJLT,X,X,X,X,X,X,O,O,X,O,X,X,X
IZOTLJS,X,X,O,O,X,X,X,X,X,X,X,X,X
IZOTLSJ,X,X,O,O,O,X,X,X,X,X,X,O,X
IZOTJLS,X,X,O,O,X,X,X,X,X,X,X,X,X
IZOTJSL,X,X,O,X,X,X,X,X,X,O,X,X,X
IZOTSLJ,X,X,O,O,O,X,X,X,X,X,X,X,X
IZOTSJL,X,X,O,X,O,X,X,X,X,X,X,X,X
IZOLTJS,X,X,X,O,X,O,X,X,X,X,X,X,X
IZOLTSJ,X,X,X,O,X,X,X,X,X,X,X,O,X
IZOLJTS,X,X,X,O,X,O,X,O,X,X,X,X,X
IZOLJST,O,X,X,O,X,O,X,O,X,O,X,O,X
IZOLSTJ,O,O,X,O,X,X,X,O,X,X,X,O,X
IZOLSJT,O,X,X,O,X,O,X,O,X,X,X,O,X
IZOJTLS,X,X,X,O,X,X,X,O,X,X,X,X,X
IZOJTSL,X,X,X,X,X,X,O,O,X,O,X,X,X
IZOJLTS,X,X,X,O,X,O,X,O,O,X,X,X,X
IZOJLST,O,X,X,O,X,O,O,O,O,O,X,O,X
IZOJSTL,X,X,X,X,X,O,O,O,X,O,X,X,X
IZOJSLT,X,X,X,X,X,O,O,O,X,O,X,X,X
IZOSTLJ,X,X,O,O,O,X,X,O,X,X,X,X,X
IZOSTJL,X,X,O,X,O,X,X,O,X,X,X,X,X
IZOSLTJ,X,O,X,O,X,X,X,O,X,X,X,O,X
IZOSLJT,X,X,X,O,X,X,X,O,X,X,X,O,X
IZOSJTL,X,X,X,X,O,X,O,O,X,O,X,X,X
IZOSJLT,X,X,X,X,X,X,O,O,X,O,X,X,X
IOTLJSZ,X,X,X,O,X,X,X,O,X,X,X,X,X
IOTLJZS,X,X,X,X,X,X,X,O,X,X,X,X,X
IOTLSJZ,X,X,X,O,X,X,X,O,X,X,X,O,X
IOTLSZJ,X,X,O,O,X,X,X,O,X,X,X,O,X
IOTLZJS,X,X,O,O,X,X,X,X,X,X,X,X,X
IOTLZSJ,X,X,O,O,O,X,X,X,X,X,X,O,X
IOTJLSZ,X,X,O,O,X,X,X,O,X,X,X,X,X
IOTJLZS,X,X,O,X,X,X,X,O,X,X,X,X,O
IOTJSLZ,X,X,O,X,X,X,O,O,X,O,X,X,X
IOTJSZL,X,X,O,X,X,X,O,O,X,O,X,X,X
IOTJZLS,X,X,O,O,X,X,X,O,X,X,X,X,X
IOTJZSL,X,X,O,X,X,X,O,O,X,O,X,X,X
IOTSLJZ,X,X,X,O,X,X,X,O,X,X,O,X,X
IOTSLZJ,X,X,O,O,X,X,X,O,X,X,O,X,X
IOTSJLZ,X,X,X,X,X,X,O,O,X,X,X,X,X
IOTSJZL,X,X,O,X,X,X,O,O,X,X,X,X,X
IOTSZLJ,X,X,O,O,X,X,X,O,X,X,X,X,X
IOTSZJL,X,X,O,X,X,X,X,O,X,X,X,X,X
IOTZLJS,X,X,O,O,X,X,X,X,X,X,X,X,X
IOTZLSJ,X,X,O,O,O,X,X,X,X,X,X,O,X
IOTZJLS,X,X,O,O,X,X,X,X,X,X,X,X,X
IOTZJSL,X,X,O,X,X,X,X,X,X,O,X,X,X
IOTZSLJ,X,X,O,O,O,X,X,X,X,X,X,X,X
IOTZSJL,X,X,O,X,O,X,X,X,X,X,X,X,X
IOLTJSZ,O,O,X,O,X,O,X,O,X,X,X,X,X
IOLTJZS,X,O,X,X,X,O,X,O,X,X,X,X,X
IOLTSJZ,O,O,X,O,X,X,X,O,X,X,O,O,X
IOLTSZJ,O,O,O,O,X,X,X,O,X,X,O,O,X
IOLTZJS,X,O,O,O,X,O,X,X,X,X,X,X,X
IOLTZSJ,O,O,O,O,X,X,X,X,X,X,X,O,X
IOLJTSZ,O,O,X,O,X,O,X,O,X,X,X,X,X
IOLJTZS,O,O,X,X,X,O,X,O,X,X,X,X,X
IOLJSTZ,O,X,X,O,X,O,O,O,X,O,O,O,X
IOLJSZT,O,X,X,X,X,O,O,O,X,O,X,O,X
IOLJZTS,X,X,X,O,X,O,X,O,X,X,X,X,X
IOLJZST,O,X,X,O,X,O,O,O,X,O,X,O,X
IOLSTJZ,O,O,X,O,X,X,X,O,X,X,O,O,X
IOLSTZJ,O,O,O,O,X,X,X,O,X,X,O,O,X
IOLSJTZ,O,X,X,O,X,O,O,O,X,X,O,O,X
IOLSJZT,O,X,X,X,X,O,O,O,X,X,X,O,X
IOLSZTJ,O,O,X,O,X,X,X,O,X,X,O,O,X
IOLSZJT,O,X,X,O,X,O,X,O,X,X,X,O,X
IOLZTJS,X,O,X,O,X,O,X,X,X,X,X,X,X
IOLZTSJ,X,O,X,O,X,X,X,X,X,X,X,O,X
IOLZJTS,X,X,X,O,X,O,X,O,X,X,X,X,X
IOLZJST,O,X,X,O,X,O,X,O,X,O,X,O,X
IOLZSTJ,O,O,X,O,X,X,X,O,X,X,O,O,X
IOLZSJT,O,X,X,O,X,O,X,O,X,X,X,O,X
IOJTLSZ,O,X,O,O,X,X,X,O,X,X,X,X,X
IOJTLZS,O,X,O,X,X,X,X,O,X,X,X,X,O
IOJTSLZ,O,X,O,X,X,X,O,O,X,O,X,X,X
IOJTSZL,O,X,O,X,X,X,O,O,X,O,X,X,X
IOJTZLS,O,X,O,O,X,X,X,O,X,X,X,X,X
IOJTZSL,O,X,O,X,X,X,O,O,X,O,X,X,X
IOJLTSZ,O,X,O,O,X,O,X,O,O,X,X,X,X
IOJLTZS,O,X,O,X,X,O,X,O,O,X,X,X,O
IOJLSTZ,O,X,O,O,X,O,O,O,O,O,X,O,X
IOJLSZT,O,X,X,X,X,O,O,O,O,O,X,O,X
IOJLZTS,X,X,X,O,X,O,X,O,O,X,X,X,O
IOJLZST,O,X,X,O,X,O,O,O,O,O,X,O,X
IOJSTLZ,X,X,O,X,X,O,O,O,X,O,X,X,X
IOJSTZL,X,X,O,X,X,O,O,O,X,O,X,X,X
IOJSLTZ,X,X,O,X,X,O,O,O,X,O,X,X,X
IOJSLZT,X,X,X,X,X,O,O,O,X,O,X,X,X
IOJSZTL,X,X,O,X,X,O,O,O,X,O,X,X,X
IOJSZLT,X,X,X,X,X,O,O,O,X,O,X,X,X
IOJZTLS,X,X,O,O,X,X,X,O,X,X,X,X,X
IOJZTSL,X,X,O,X,X,X,O,O,X,O,X,X,X
IOJZLTS,X,X,X,O,X,O,X,O,O,X,X,X,X
IOJZLST,O,X,X,O,X,O,O,O,O,O,X,O,X
IOJZSTL,X,X,O,X,X,O,O,O,X,O,X,X,X
IOJZSLT,X,X,X,X,X,O,O,O,X,O,X,X,X
IOSTLJZ,X,X,X,O,X,X,X,O,X,X,O,X,X
IOSTLZJ,X,X,O,O,X,X,X,O,X,X,O,X,X
IOSTJLZ,X,X,X,X,X,X,O,O,X,X,X,X,X
IOSTJZL,X,X,O,X,X,X,O,O,X,X,X,X,X
IOSTZLJ,X,X,O,O,X,X,X,O,X,X,X,X,X
IOSTZJL,X,X,O,X,X,X,X,O,X,X,X,X,X
IOSLTJZ,X,O,X,O,X,X,X,O,X,X,O,O,X
IOSLTZJ,X,O,O,O,X,X,X,O,X,X,O,O,X
IOSLJTZ,X,X,X,O,X,X,O,O,X,X,O,O,X
IOSLJZT,X,X,X,X,X,X,O,O,X,X,X,O,X
IOSLZTJ,X,O,X,O,X,X,X,O,X,X,O,O,X
IOSLZJT,X,X,X,O,X,X,X,O,X,X,X,O,X
IOSJTLZ,X,X,X,X,X,X,O,O,X,O,X,X,X
IOSJTZL,X,X,O,X,X,X,O,O,X,O,X,X,X
IOSJLTZ,X,X,X,X,X,X,O,O,X,O,X,X,X
IOSJLZT,X,X,X,X,X,X,O,O,X,O,X,X,X
IOSJZTL,X,X,X,X,O,X,O,O,X,O,X,X,X
IOSJZLT,X,X,X,X,X,X,O,O,X,O,X,X,X
IOSZTLJ,X,X,O,O,O,X,X,O,X,X,X,X,X
IOSZTJL,X,X,O,X,O,X,X,O,X,X,X,X,X
IOSZLTJ,X,O,X,O,X,X,X,O,X,X,X,O,X
IOSZLJT,X,X,X,O,X,X,X,O,X,X,X,O,X
IOSZJTL,X,X,X,X,O,X,O,O,X,O,X,X,X
IOSZJLT,X,X,X,X,X,X,O,O,X,O,X,X,X
IOZTLJS,X,X,O,O,X,X,X,X,X,X,X,X,X
IOZTLSJ,X,X,O,O,O,X,X,X,X,X,X,O,X
IOZTJLS,X,X,O,O,X,X,X,X,X,X,X,X,X
IOZTJSL,X,X,O,X,X,X,X,X,X,O,X,X,X
IOZTSLJ,X,X,O,O,O,X,X,X,X,X,X,X,X
IOZTSJL,X,X,O,X,O,X,X,X,X,X,X,X,X
IOZLTJS,X,X,X,O,X,O,X,X,X,X,X,X,X
IOZLTSJ,X,X,X,O,X,X,X,X,X,X,X,O,X
IOZLJTS,X,X,X,O,X,O,X,O,X,X,X,X,X
IOZLJST,O,X,X,O,X,O,X,O,X,O,X,O,X
IOZLSTJ,O,O,X,O,X,X,X,O,X,X,X,O,X
IOZLSJT,O,X,X,O,X,O,X,O,X,X,X,O,X
IOZJTLS,X,X,X,O,X,X,X,O,X,X,X,X,X
IOZJTSL,X,X,X,X,X,X,O,O,X,O,X,X,X
IOZJLTS,X,X,X,O,X,O,X,O,O,X,X,X,X
IOZJLST,O,X,X,O,X,O,O,O,O,O,X,O,X
IOZJSTL,X,X,X,X,X,O,O,O,X,O,X,X,X
IOZJSLT,X,X,X,X,X,O,O,O,X,O,X,X,X
IOZSTLJ,X,X,O,O,O,X,X,O,X,X,X,X,X
IOZSTJL,X,X,O,X,O,X,X,O,X,X,X,X,X
IOZSLTJ,X,O,X,O,X,X,X,O,X,X,X,O,X
IOZSLJT,X,X,X,O,X,X,X,O,X,X,X,O,X
IOZSJTL,X,X,X,X,O,X,O,O,X,O,X,X,X
IOZSJLT,X,X,X,X,X,X,O,O,X,O,X,X,X
LTIJSZO,O,O,O,X,X,O,X,O,X,X,X,X,O
LTIJSOZ,O,O,X,X,X,O,X,O,X,X,X,X,X
LTIJZSO,O,O,O,X,O,O,X,O,X,X,X,X,O
LTIJZOS,O,O,O,X,X,O,X,O,X,X,X,X,O
LTIJOSZ,O,O,O,X,X,O,X,X,X,X,X,X,X
LTIJOZS,O,O,O,X,X,O,X,X,X,X,X,X,O
LTISJZO,O,O,X,X,X,X,X,O,X,X,X,X,X
LTISJOZ,O,O,X,X,X,X,X,O,X,X,O,X,X
LTISZJO,O,O,X,X,O,X,X,O,X,X,X,X,X
LTISZOJ,O,O,X,X,O,X,X,O,X,X,O,X,X
LTISOJZ,O,O,X,X,X,X,X,O,X,X,O,X,X
LTISOZJ,O,O,X,X,X,X,X,O,X,X,O,X,X
LTIZJSO,O,O,O,X,O,O,X,X,X,X,X,X,X
LTIZJOS,X,O,O,X,X,O,X,X,X,X,X,X,X
LTIZSJO,O,O,O,X,O,X,X,X,X,X,X,X,X
LTIZSOJ,O,O,O,X,O,X,X,X,X,X,X,X,X
LTIZOJS,X,O,O,O,X,O,X,X,X,X,X,X,X
LTIZOSJ,O,O,O,O,O,X,X,X,X,X,X,X,X
LTIOJSZ,O,O,X,O,X,O,X,O,X,X,X,X,X
LTIOJZS,X,O,X,X,X,O,X,O,X,X,X,X,X
LTIOSJZ,O,O,X,O,X,X,X,O,X,X,O,O,X
LTIOSZJ,O,O,O,O,X,X,X,O,X,X,O,O,X
LTIOZJS,X,O,O,O,X,O,X,X,X,X,X,X,X
LTIOZSJ,O,O,O,O,O,X,X,X,X,X,X,O,X
LTJISZO,O,O,O,X,X,O,X,O,X,X,X,X,O
LTJISOZ,O,O,X,X,X,O,X,O,X,X,X,X,X
LTJIZSO,O,O,O,X,O,O,X,O,X,X,X,X,O
LTJIZOS,O,O,O,X,X,O,X,O,X,X,X,X,O
LTJIOSZ,O,O,O,X,X,O,X,X,X,X,X,X,X
LTJIOZS,O,O,O,X,X,O,X,X,X,X,X,X,O
LTJSIZO,O,O,O,X,X,O,X,O,X,X,X,X,O
LTJSIOZ,O,O,X,X,X,O,X,O,X,X,X,X,X
LTJSZIO,O,O,O,X,X,O,X,O,X,X,X,X,O
LTJSZOI,O,O,O,X,X,O,X,O,X,X,X,X,X
LTJSOIZ,O,O,X,X,X,O,X,O,X,X,X,X,X
LTJSOZI,O,O,X,X,X,O,X,O,X,X,X,X,X
LTJZISO,O,O,O,X,O,O,X,O,X,X,X,X,O
LTJZIOS,O,O,O,X,X,O,X,O,X,X,X,X,O
LTJZSIO,O,O,O,X,O,O,X,O,X,X,X,X,O
LTJZSOI,O,O,O,X,O,O,X,O,X,X,X,X,X
LTJZOIS,O,O,O,X,X,O,X,O,X,X,X,X,O
LTJZOSI,O,O,O,X,X,O,X,X,X,X,X,X,X
LTJOISZ,O,O,O,X,X,O,X,X,X,X,X,X,X
LTJOIZS,O,O,O,X,X,O,X,X,X,X,X,X,O
LTJOSIZ,O,O,O,X,X,O,X,X,X,X,X,X,X
LTJOSZI,O,O,O,X,X,O,X,X,X,X,X,X,X
LTJOZIS,O,O,O,X,X,O,X,X,X,X,X,X,O
LTJOZSI,O,O,O,X,X,O,X,X,X,X,X,X,X
LTSIJZO,O,O,X,X,X,X,X,O,X,X,X,X,X
LTSIJOZ,O,O,X,X,X,X,X,O,X,X,O,X,X
LTSIZJO,O,O,X,X,O,X,X,O,X,X,X,X,X
LTSIZOJ,O,O,X,X,O,X,X,O,X,X,O,X,X
LTSIOJZ,O,O,X,X,X,X,X,O,X,X,O,X,X
LTSIOZJ,O,O,X,X,X,X,X,O,X,X,O,X,X
LTSJIZO,O,O,X,X,X,X,X,O,X,X,X,X,X
LTSJIOZ,O,O,X,X,X,X,X,O,X,X,O,X,X
LTSJZIO,O,O,X,X,X,X,X,O,X,X,X,X,X
LTSJZOI,O,O,X,X,X,X,X,O,X,X,X,X,X
LTSJOIZ,O,O,X,X,X,X,X,O,X,X,O,X,X
LTSJOZI,O,O,X,X,X,X,X,O,X,X,X,X,X
LTSZIJO,O,O,X,X,O,X,X,O,X,X,X,X,X
LTSZIOJ,O,O,X,X,O,X,X,O,X,X,O,X,X
LTSZJIO,O,O,X,X,O,X,X,O,X,X,X,X,X
LTSZJOI,O,O,X,X,O,X,X,O,X,X,X,X,X
LTSZOIJ,O,O,X,X,O,X,X,O,X,X,O,X,X
LTSZOJI,O,O,X,X,O,X,X,O,X,X,X,X,X
LTSOIJZ,O,O,X,X,X,X,X,O,X,X,O,X,X
LTSOIZJ,O,O,X,X,X,X,X,O,X,X,O,X,X
LTSOJIZ,O,O,X,X,X,X,X,O,X,X,O,X,X
LTSOJZI,O,O,X,X,X,X,X,O,X,X,X,X,X
LTSOZIJ,O,O,X,X,X,X,X,O,X,X,O,X,X
LTSOZJI,O,O,X,X,X,X,X,O,X,X,X,X,X
LTZIJSO,O,O,O,X,O,O,X,X,X,X,X,X,X
LTZIJOS,X,O,O,X,X,O,X,X,X,X,X,X,X
LTZISJO,O,O,O,X,O,X,X,X,X,X,X,X,X
LTZISOJ,O,O,O,X,O,X,X,X,X,X,X,X,X
LTZIOJS,X,O,O,O,X,O,X,X,X,X,X,X,X
LTZIOSJ,O,O,O,O,O,X,X,X,X,X,X,X,X
LTZJISO,O,O,O,X,O,O,X,X,X,X,X,X,X
LTZJIOS,X,O,O,X,X,O,X,X,X,X,X,X,X
LTZJSIO,O,O,O,X,O,O,X,X,X,X,X,X,X
LTZJSOI,O,O,O,X,O,O,X,X,X,X,X,X,X
LTZJOIS,X,O,O,X,X,O,X,X,X,X,X,X,X
LTZJOSI,X,O,O,X,X,O,X,X,X,X,X,X,X
LTZSIJO,O,O,O,X,O,X,X,X,X,X,X,X,X
LTZSIOJ,O,O,O,X,O,X,X,X,X,X,X,X,X
LTZSJIO,O,O,O,X,O,X,X,X,X,X,X,X,X
LTZSJOI,O,O,O,X,O,X,X,X,X,X,X,X,X
LTZSOIJ,O,O,O,X,O,X,X,X,X,X,X,X,X
LTZSOJI,O,O,O,X,O,X,X,X,X,X,X,X,X
LTZOIJS,X,O,O,O,X,O,X,X,X,X,X,X,X
LTZOISJ,O,O,O,O,O,X,X,X,X,X,X,X,X
LTZOJIS,X,O,O,O,X,O,X,X,X,X,X,X,X
LTZOJSI,X,O,O,O,X,O,X,X,X,X,X,X,X
LTZOSIJ,O,O,O,O,O,X,X,X,X,X,X,X,X
LTZOSJI,O,O,O,O,O,X,X,X,X,X,X,X,X
LTOIJSZ,O,O,X,O,X,O,X,O,X,X,X,X,X
LTOIJZS,X,O,X,X,X,O,X,O,X,X,X,X,X
LTOISJZ,O,O,X,O,X,X,X,O,X,X,O,O,X
LTOISZJ,O,O,O,O,X,X,X,O,X,X,O,O,X
