sequence,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeaAJvhFFcBxdBfmBG?nBToBUsB,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeU7IvhFRcBfjB6jBl?hBmlBTsB,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeR7IvhFFdBXeBTgBO?mBStBUsB,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeF7IvhFxcB6jB3gBc?mBmnBTsB,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeaAJvhFzbBRdB+jBU?iBFmB3sB,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeF7IvhFxcBTeB3gBW?oBimBUsB,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeF7IvhFXcBxdBSnBT?jBmlBUsB,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeU7IvhFFcBxdBzhBS?oBmlB3sB,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeR7IvhFFeBTgBOmBX?nBStBUsB,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeR7IvhFfiB8iB+jBi?gBFmBTsB,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeR7IvhFfjB6jBTgBO?mBVsBUsB,v115@zgA8IeB8HeB8HeD8AeK8BeB8JeaAJvhFzbB+jBRiB3?iBFmBUsB
LIZTOJS,X,X,X,O,O,X,X,O,O,X,X,X
LIZTOSJ,X,X,X,O,X,X,X,X,X,X,X,X
LIZJTSO,X,O,O,O,O,X,O,O,X,O,X,X
LIZJTOS,X,X,O,O,O,X,X,O,X,O,X,X
LIZJSTO,X,O,O,O,O,X,O,O,X,O,X,X
LIZJSOT,X,O,O,O,X,X,X,X,X,X,X,X
LIZJOTS,X,X,O,O,O,X,X,O,X,O,X,X
LIZJOST,X,X,O,O,X,X,X,O,X,X,X,X
LIZSTJO,X,O,O,O,X,X,X,X,X,X,X,X
LIZSTOJ,X,O,O,O,X,X,X,X,X,X,X,X
LIZSJTO,X,O,O,O,X,X,X,O,X,X,X,X
LIZSJOT,X,O,X,O,X,X,X,X,X,X,X,X
LIZSOTJ,X,O,O,O,X,X,X,X,X,X,X,X
LIZSOJT,X,O,O,O,X,X,X,O,X,X,X,X
LIZOTJS,X,X,X,O,X,X,X,O,O,X,X,X
LIZOTSJ,X,X,X,O,X,X,X,X,X,X,X,X
LIZOJTS,X,X,O,O,X,X,X,O,O,X,X,X
LIZOJST,X,X,O,O,X,X,X,O,O,X,X,X
LIZOSTJ,X,X,O,O,X,X,X,X,X,X,X,X
LIZOSJT,X,X,O,O,X,X,X,O,X,X,X,X
LIOTJSZ,O,X,O,X,X,X,O,O,O,X,X,X
LIOTJZS,X,X,O,X,X,X,O,O,O,X,X,X
LIOTSJZ,O,X,O,X,X,X,O,X,O,X,X,X
LIOTSZJ,O,X,O,X,X,X,X,X,X,X,X,X
LIOTZJS,X,X,X,X,X,X,O,O,O,X,X,X
LIOTZSJ,X,X,X,X,X,X,X,X,X,X,X,X
LIOJTSZ,O,X,O,X,X,X,O,O,O,X,O,X
LIOJTZS,X,X,O,X,X,X,O,O,O,X,X,X
LIOJSTZ,O,X,O,X,X,X,O,O,O,X,X,X
LIOJSZT,O,X,O,X,X,X,O,O,O,X,X,X
LIOJZTS,X,X,O,X,X,X,O,O,O,O,X,X
LIOJZST,O,X,O,X,X,X,O,O,O,X,X,X
LIOSTJZ,O,X,O,X,X,X,O,X,O,X,O,X
LIOSTZJ,O,X,O,X,X,X,X,X,X,X,X,X
LIOSJTZ,O,X,O,X,X,X,O,O,O,X,X,X
LIOSJZT,O,X,O,X,X,X,O,O,O,X,X,X
LIOSZTJ,O,X,O,X,X,X,X,X,X,X,X,X
LIOSZJT,O,X,O,X,X,X,X,O,X,X,X,X
LIOZTJS,X,X,X,X,X,X,O,O,O,X,X,X
LIOZTSJ,X,X,X,X,X,X,X,X,X,X,X,X
LIOZJTS,X,X,O,X,X,X,O,O,O,X,X,X
LIOZJST,O,X,O,X,X,X,O,O,O,X,X,X
LIOZSTJ,O,X,O,X,X,X,X,X,X,X,X,X
LIOZSJT,O,X,O,X,X,X,X,O,X,X,X,X
LJTISZO,O,O,O,O,X,O,O,O,X,O,X,X
LJTISOZ,O,O,O,X,X,O,O,X,O,O,X,O
LJTIZSO,X,O,O,O,O,X,O,O,X,O,X,X
LJTIZOS,X,X,O,O,O,O,X,O,X,O,X,O
LJTIOSZ,X,X,O,X,X,O,O,X,O,O,X,O
LJTIOZS,X,X,O,O,O,O,O,O,O,O,X,O
LJTSIZO,O,O,O,O,X,O,O,O,X,O,X,X
LJTSIOZ,O,O,O,X,X,O,O,X,O,O,O,O
LJTSZIO,O,O,O,O,O,O,O,O,X,O,X,X
LJTSZOI,O,O,O,O,O,O,O,X,O,O,O,X
LJTSOIZ,O,O,O,X,X,O,O,X,O,O,O,O
LJTSOZI,O,O,O,O,O,O,O,X,O,O,O,X
LJTZISO,X,O,O,O,O,X,O,O,X,O,X,X
LJTZIOS,X,X,O,O,O,O,X,O,X,O,X,O
LJTZSIO,X,O,O,O,O,X,O,O,X,O,X,X
LJTZSOI,X,O,O,O,O,X,O,X,O,O,X,X
LJTZOIS,X,X,O,O,O,O,O,O,O,O,X,O
LJTZOSI,X,O,O,X,O,X,O,O,O,O,X,X
LJTOISZ,O,X,O,X,X,O,O,O,O,O,O,O
LJTOIZS,X,X,O,O,O,O,O,O,O,O,X,O
LJTOSIZ,O,O,O,X,X,O,O,O,O,O,O,O
LJTOSZI,O,O,O,O,O,O,O,O,O,O,O,X
LJTOZIS,X,X,O,O,O,O,O,O,O,O,X,O
LJTOZSI,X,O,O,X,O,X,O,O,O,O,X,X
LJITSZO,O,O,O,O,X,O,O,O,X,O,X,X
LJITSOZ,O,O,O,X,X,O,O,X,O,O,X,O
LJITZSO,X,O,O,O,O,X,O,O,X,O,X,X
LJITZOS,X,X,O,O,O,O,X,O,X,O,X,O
LJITOSZ,X,X,O,X,X,O,O,X,O,O,X,O
LJITOZS,X,X,O,O,O,O,O,O,O,O,X,O
LJISTZO,O,O,O,O,X,O,O,O,X,X,X,X
LJISTOZ,O,O,O,X,X,O,O,X,O,X,X,O
LJISZTO,O,O,O,O,X,O,O,O,X,O,X,X
LJISZOT,X,O,O,O,X,O,X,X,X,X,X,X
LJISOTZ,O,X,O,X,X,O,O,X,O,X,X,X
LJISOZT,O,X,O,X,X,O,O,X,O,X,X,X
LJIZTSO,X,O,O,O,O,X,O,O,X,O,X,X
LJIZTOS,X,X,O,O,O,O,X,O,X,O,X,O
LJIZSTO,O,O,O,O,O,O,O,O,X,O,X,X
LJIZSOT,X,O,O,O,X,O,X,X,X,X,X,X
LJIZOTS,X,X,O,O,O,O,X,O,X,O,X,X
LJIZOST,X,X,O,O,X,O,X,O,X,X,X,X
LJIOTSZ,O,X,O,X,X,O,O,O,O,X,X,O
LJIOTZS,X,X,O,O,X,O,O,O,O,X,X,O
LJIOSTZ,O,X,O,X,X,O,O,O,O,X,X,X
LJIOSZT,O,X,O,X,X,O,O,O,O,X,X,X
LJIOZTS,X,X,O,O,X,O,O,O,O,O,X,X
LJIOZST,O,X,O,O,X,O,O,O,O,X,X,X
LJSTIZO,O,O,O,O,X,O,O,O,X,O,X,X
LJSTIOZ,O,O,O,X,X,O,O,X,O,O,O,O
LJSTZIO,O,O,O,O,O,O,O,O,X,O,X,X
LJSTZOI,O,O,O,O,O,O,O,X,O,O,O,X
LJSTOIZ,O,O,O,X,X,O,O,X,O,O,O,O
LJSTOZI,O,O,O,O,O,O,O,X,O,O,O,X
LJSITZO,O,O,O,O,X,O,O,O,X,X,X,X
LJSITOZ,O,O,O,X,X,O,O,X,O,X,X,O
LJSIZTO,O,O,O,O,X,O,O,O,X,O,X,X
LJSIZOT,X,O,O,O,X,O,X,X,X,X,X,X
LJSIOTZ,O,X,O,X,X,O,O,X,O,X,X,X
LJSIOZT,O,X,O,X,X,O,O,X,O,X,X,X
LJSZTIO,O,O,O,O,O,O,O,O,X,O,X,X
LJSZTOI,O,O,O,O,O,O,O,X,O,O,X,X
LJSZITO,O,O,O,O,O,O,O,O,X,O,X,X
LJSZIOT,O,O,O,O,X,O,X,X,X,X,X,X
LJSZOTI,O,O,O,O,X,O,O,O,O,O,X,X
LJSZOIT,O,O,O,O,X,O,O,O,O,X,X,X
LJSOTIZ,O,O,O,X,X,O,O,O,O,X,O,X
LJSOTZI,O,O,O,O,X,O,O,O,O,X,O,X
LJSOITZ,O,X,O,X,X,O,O,O,O,X,X,X
LJSOIZT,O,X,O,X,X,O,O,O,O,X,X,X
LJSOZTI,O,O,O,X,X,O,O,O,O,O,X,X
LJSOZIT,O,O,O,X,X,O,O,O,O,X,X,X
LJZTISO,X,O,O,O,O,X,O,O,X,O,X,X
LJZTIOS,X,X,O,O,O,O,X,O,X,O,X,O
LJZTSIO,X,O,O,O,O,X,O,O,X,O,X,X
LJZTSOI,X,O,O,O,O,X,O,X,O,O,X,X
LJZTOIS,X,X,O,O,O,O,O,O,O,O,X,O
LJZTOSI,X,O,O,X,O,X,O,O,O,O,X,X
LJZITSO,X,O,O,O,O,X,O,O,X,O,X,X
LJZITOS,X,X,O,O,O,O,X,O,X,O,X,O
LJZISTO,O,O,O,O,O,O,O,O,X,O,X,X
LJZISOT,X,O,O,O,X,O,X,X,X,X,X,X
LJZIOTS,X,X,O,O,O,O,X,O,X,O,X,X
LJZIOST,X,O,O,O,X,O,X,O,X,X,X,X
LJZSTIO,O,O,O,O,O,O,O,O,X,O,X,X
LJZSTOI,O,O,O,O,O,O,O,X,O,O,X,X
LJZSITO,O,O,O,O,O,O,O,O,X,O,X,X
LJZSIOT,X,O,O,O,X,O,X,X,X,X,X,X
LJZSOTI,O,O,O,O,X,O,O,O,O,O,X,X
LJZSOIT,O,O,O,O,X,O,O,O,O,X,X,X
LJZOTIS,X,O,O,O,O,O,O,O,O,O,X,X
LJZOTSI,X,O,O,X,O,X,O,O,O,O,X,X
LJZOITS,X,X,O,O,O,O,O,O,O,O,X,X
LJZOIST,O,O,O,O,X,O,O,O,O,X,X,X
LJZOSTI,O,O,O,O,X,O,O,O,O,O,X,X
LJZOSIT,O,O,O,O,X,O,O,O,O,X,X,X
LJOTISZ,O,O,O,X,X,O,O,O,O,X,O,O
LJOTIZS,X,O,O,O,O,O,O,O,O,X,X,O
LJOTSIZ,O,O,O,X,X,O,O,O,O,X,O,O
LJOTSZI,O,O,O,O,O,O,O,O,O,X,O,X
LJOTZIS,X,O,O,O,O,O,O,O,O,X,X,O
LJOTZSI,X,O,O,X,O,X,O,O,O,X,X,X
LJOITSZ,O,X,O,X,X,O,O,O,O,X,O,O
LJOITZS,X,X,O,O,X,O,O,O,O,X,X,O
LJOISTZ,O,X,O,X,X,O,O,O,O,X,X,X
LJOISZT,O,X,O,X,X,O,O,O,O,X,X,X
LJOIZTS,X,X,O,O,X,O,O,O,O,O,X,X
LJOIZST,O,X,O,O,X,O,O,O,O,X,X,X
LJOSTIZ,O,O,O,X,X,O,O,O,O,X,O,X
LJOSTZI,O,O,O,O,X,O,O,O,O,X,O,X
LJOSITZ,O,O,O,X,X,O,O,O,O,X,X,X
LJOSIZT,O,O,O,X,X,O,O,O,O,X,X,X
LJOSZTI,O,O,O,X,X,O,O,O,O,O,X,X
LJOSZIT,O,O,O,X,X,O,O,O,O,X,X,X
LJOZTIS,X,O,O,O,O,O,O,O,O,O,X,X
LJOZTSI,X,O,O,X,O,X,O,O,O,O,X,X
LJOZITS,X,X,O,O,O,O,O,O,O,O,X,X
LJOZIST,O,O,O,O,X,O,O,O,O,X,X,X
LJOZSTI,O,O,O,O,X,O,O,O,O,O,X,X
LJOZSIT,O,O,O,O,X,O,O,O,O,X,X,X
LSTIJZO,X,O,O,O,X,O,O,X,X,O,X,X
LSTIJOZ,X,O,O,X,X,O,O,X,O,O,O,X
LSTIZJO,O,O,O,O,X,O,X,X,X,O,X,X
LSTIZOJ,O,O,O,O,X,X,X,X,X,X,X,X
LSTIOJZ,O,X,O,X,X,O,X,X,O,O,O,X
LSTIOZJ,O,O,O,X,X,X,X,X,X,X,X,X
LSTJIZO,X,O,O,O,X,O,O,X,X,O,X,X
LSTJIOZ,X,O,O,X,X,O,O,X,O,O,O,O
LSTJZIO,O,O,O,O,O,O,O,X,X,O,X,X
LSTJZOI,O,O,O,O,O,O,O,X,O,O,O,X
LSTJOIZ,O,O,O,X,X,O,O,X,O,O,O,O
LSTJOZI,O,O,O,O,O,O,O,X,O,O,O,X
LSTZIJO,O,O,O,O,X,O,X,X,X,O,X,X
LSTZIOJ,O,O,O,O,X,X,X,X,X,X,X,X
LSTZJIO,O,O,O,O,O,O,X,X,X,O,X,X
LSTZJOI,O,O,O,O,O,O,X,X,O,O,O,X
LSTZOIJ,O,O,O,O,X,X,X,X,X,X,X,X
LSTZOJI,O,O,X,O,O,X,X,X,O,X,O,X
LSTOIJZ,O,X,O,X,X,O,O,X,O,O,O,X
LSTOIZJ,O,O,O,X,X,X,X,X,X,X,X,X
LSTOJIZ,O,O,O,X,X,O,O,X,O,O,O,O
LSTOJZI,O,O,O,O,O,O,O,X,O,O,O,X
LSTOZIJ,O,O,O,O,X,X,X,X,X,X,X,X
LSTOZJI,O,O,X,O,O,X,X,X,O,X,O,X
LSITJZO,X,O,O,O,X,O,O,X,X,X,X,X
LSITJOZ,X,O,O,X,X,O,O,X,O,X,O,X
LSITZJO,O,O,O,O,X,O,X,X,X,X,X,X
LSITZOJ,O,O,O,O,X,X,X,X,X,X,X,X
LSITOJZ,O,X,O,X,X,O,X,X,O,X,O,X
LSITOZJ,O,O,O,X,X,X,X,X,X,X,X,X
LSIJTZO,X,O,O,O,X,O,O,O,X,X,X,X
LSIJTOZ,X,O,O,X,X,O,O,X,O,X,X,X
LSIJZTO,X,O,O,X,X,O,O,O,X,O,X,X
LSIJZOT,X,O,O,X,X,O,X,X,X,X,X,X
LSIJOTZ,X,X,O,X,X,O,O,X,O,X,X,X
LSIJOZT,X,X,O,X,X,O,X,X,O,X,X,X
LSIZTJO,O,O,O,X,X,O,X,X,X,X,X,X
LSIZTOJ,O,O,O,X,X,X,X,X,X,X,X,X
LSIZJTO,O,O,O,X,X,O,X,O,X,X,X,X
LSIZJOT,O,O,X,X,X,O,X,X,X,X,X,X
LSIZOTJ,O,O,O,X,X,X,X,X,X,X,X,X
LSIZOJT,O,O,O,X,X,X,X,O,X,X,X,X
LSIOTJZ,O,X,O,X,X,O,X,X,O,X,O,X
LSIOTZJ,O,X,O,X,X,X,X,X,X,X,X,X
LSIOJTZ,O,X,O,X,X,O,X,O,O,X,X,X
LSIOJZT,O,X,O,X,X,O,X,O,O,X,X,X
LSIOZTJ,O,X,O,X,X,X,X,X,X,X,X,X
LSIOZJT,O,X,O,X,X,X,X,O,X,X,X,X
LSJTIZO,O,O,O,O,X,O,O,O,X,O,X,X
LSJTIOZ,O,O,O,X,X,O,O,X,O,O,O,O
LSJTZIO,O,O,O,O,O,O,O,O,X,O,X,X
LSJTZOI,O,O,O,O,O,O,O,X,O,O,O,X
LSJTOIZ,O,O,O,X,X,O,O,X,O,O,O,O
LSJTOZI,O,O,O,O,O,O,O,X,O,O,O,X
LSJITZO,O,O,O,O,X,O,O,O,X,X,X,X
LSJITOZ,O,O,O,X,X,O,O,X,O,X,X,O
LSJIZTO,O,O,O,O,X,O,O,O,X,O,X,X
LSJIZOT,X,O,O,O,X,O,X,X,X,X,X,X
LSJIOTZ,O,X,O,X,X,O,O,X,O,X,X,X
LSJIOZT,O,X,O,X,X,O,O,X,O,X,X,X
LSJZTIO,O,O,O,O,O,O,O,O,X,O,X,X
LSJZTOI,O,O,O,O,O,O,O,X,O,O,X,X
LSJZITO,O,O,O,O,O,O,O,O,X,O,X,X
LSJZIOT,O,O,O,O,X,O,X,X,X,X,X,X
LSJZOTI,O,O,O,O,X,O,O,O,O,O,X,X
LSJZOIT,O,O,O,O,X,O,O,O,O,X,X,X
LSJOTIZ,O,O,O,X,X,O,O,O,O,X,O,X
LSJOTZI,O,O,O,O,X,O,O,O,O,X,O,X
LSJOITZ,O,X,O,X,X,O,O,O,O,X,X,X
LSJOIZT,O,X,O,X,X,O,O,O,O,X,X,X
LSJOZTI,O,O,O,X,X,O,O,O,O,O,X,X
LSJOZIT,O,O,O,X,X,O,O,O,O,X,X,X
LSZTIJO,O,O,O,O,X,O,X,X,X,X,X,X
LSZTIOJ,O,O,O,O,X,X,X,X,X,X,X,X
LSZTJIO,O,O,O,O,O,O,X,X,X,X,X,X
LSZTJOI,O,O,O,O,O,O,X,X,O,X,O,X
LSZTOIJ,O,O,O,O,X,X,X,X,X,X,X,X
LSZTOJI,O,O,X,O,O,X,X,X,O,X,O,X
LSZITJO,O,O,O,O,X,O,X,X,X,X,X,X
LSZITOJ,O,O,O,O,X,X,X,X,X,X,X,X
LSZIJTO,O,O,O,O,X,O,X,O,X,X,X,X
LSZIJOT,O,O,X,O,X,O,X,X,X,X,X,X
LSZIOTJ,O,O,O,O,X,X,X,X,X,X,X,X
LSZIOJT,O,O,O,O,X,X,X,O,X,X,X,X
LSZJTIO,O,O,O,O,O,O,X,O,X,O,X,X
LSZJTOI,O,O,O,O,O,O,X,X,O,O,X,X
LSZJITO,O,O,O,O,O,O,X,O,X,O,X,X
LSZJIOT,O,O,X,O,X,O,X,X,X,X,X,X
LSZJOTI,O,O,O,O,X,O,X,O,O,O,X,X
LSZJOIT,O,O,O,O,X,O,X,O,O,X,X,X
LSZOTIJ,O,O,O,O,X,X,X,X,X,X,X,X
LSZOTJI,O,O,X,O,X,X,X,X,O,X,O,X
LSZOITJ,O,O,O,O,X,X,X,X,X,X,X,X
LSZOIJT,O,O,O,O,X,X,X,O,X,X,X,X
LSZOJTI,O,O,O,O,X,X,X,O,O,X,X,X
LSZOJIT,O,O,O,O,X,X,X,O,O,X,X,X
LSOTIJZ,O,X,O,X,X,O,O,X,O,X,O,X
LSOTIZJ,O,O,O,X,X,X,X,X,X,X,X,X
LSOTJIZ,O,O,O,X,X,O,O,X,O,X,O,X
LSOTJZI,O,O,O,O,X,O,O,X,O,X,O,X
LSOTZIJ,O,O,O,O,X,X,X,X,X,X,X,X
LSOTZJI,O,O,X,O,X,X,X,X,O,X,O,X
LSOITJZ,O,X,O,X,X,O,O,X,O,X,O,X
LSOITZJ,O,X,O,X,X,X,X,X,X,X,X,X
LSOIJTZ,O,X,O,X,X,O,O,O,O,X,X,X
LSOIJZT,O,X,O,X,X,O,O,O,O,X,X,X
LSOIZTJ,O,X,O,X,X,X,X,X,X,X,X,X
LSOIZJT,O,X,O,X,X,X,X,O,X,X,X,X
LSOJTIZ,O,O,O,X,X,O,O,O,O,X,O,X
LSOJTZI,O,O,O,O,X,O,O,O,O,X,O,X
LSOJITZ,O,X,O,X,X,O,O,O,O,X,X,X
LSOJIZT,O,X,O,X,X,O,O,O,O,X,X,X
LSOJZTI,O,O,O,X,X,O,O,O,O,O,X,X
LSOJZIT,O,O,O,X,X,O,O,O,O,X,X,X
LSOZTIJ,O,O,O,X,X,X,X,X,X,X,X,X
LSOZTJI,O,O,X,X,X,X,X,X,O,X,O,X
LSOZITJ,O,O,O,X,X,X,X,X,X,X,X,X
LSOZIJT,O,O,O,X,X,X,X,O,X,X,X,X
LSOZJTI,O,O,O,X,X,X,X,O,O,X,X,X
LSOZJIT,O,O,O,X,X,X,X,O,O,X,X,X
LZTIJSO,X,X,X,O,O,X,O,O,X,X,X,X
LZTIJOS,X,X,X,O,O,X,X,O,X,X,X,X
LZTISJO,X,O,X,O,X,X,X,X,X,X,X,X
LZTISOJ,X,O,X,O,X,X,X,X,X,X,X,X
LZTIOJS,X,X,X,O,O,X,X,O,O,X,X,X
LZTIOSJ,X,X,X,O,X,X,X,X,X,X,X,X
LZTJISO,X,O,X,O,O,X,O,O,X,X,X,X
LZTJIOS,X,X,X,O,O,O,X,O,X,X,X,O
LZTJSIO,X,O,X,O,O,X,O,O,X,X,X,X
LZTJSOI,X,O,X,O,O,X,O,X,O,X,X,X
LZTJOIS,X,X,X,O,O,O,O,O,O,X,X,O
LZTJOSI,X,O,X,X,O,X,O,O,O,X,X,X
LZTSIJO,X,O,X,O,X,X,X,X,X,X,X,X
LZTSIOJ,X,O,X,O,X,X,X,X,X,X,X,X
LZTSJIO,X,O,X,O,O,X,X,X,X,X,X,X
LZTSJOI,X,O,X,O,O,X,X,X,O,X,X,X
LZTSOIJ,X,O,X,O,X,X,X,X,X,X,X,X
LZTSOJI,X,O,X,O,O,X,X,X,O,X,X,X
LZTOIJS,X,X,X,O,O,X,O,O,O,X,X,X
LZTOISJ,X,X,X,O,X,X,X,X,X,X,X,X
LZTOJIS,X,X,X,O,O,X,O,O,O,X,X,O
LZTOJSI,X,X,X,O,O,X,O,O,O,X,X,X
LZTOSIJ,X,O,X,O,X,X,X,X,X,X,X,X
LZTOSJI,X,O,X,O,O,X,X,X,O,X,X,X
LZITJSO,X,X,X,O,O,X,O,O,X,X,X,X
LZITJOS,X,X,X,O,O,X,X,O,X,X,X,X
LZITSJO,X,O,X,O,X,X,X,X,X,X,X,X
LZITSOJ,X,O,X,O,X,X,X,X,X,X,X,X
LZITOJS,X,X,X,O,O,X,X,O,O,X,X,X
LZITOSJ,X,X,X,O,X,X,X,X,X,X,X,X
LZIJTSO,X,O,O,O,O,X,O,O,X,O,X,X
LZIJTOS,X,X,O,O,O,X,X,O,X,O,X,X
LZIJSTO,X,O,O,O,O,X,O,O,X,O,X,X
LZIJSOT,X,O,O,O,X,X,X,X,X,X,X,X
LZIJOTS,X,X,O,O,O,X,X,O,X,O,X,X
LZIJOST,X,X,O,O,X,X,X,O,X,X,X,X
LZISTJO,X,O,O,O,X,X,X,X,X,X,X,X
LZISTOJ,X,O,O,O,X,X,X,X,X,X,X,X
LZISJTO,X,O,O,O,X,X,X,O,X,X,X,X
LZISJOT,X,O,X,O,X,X,X,X,X,X,X,X
LZISOTJ,X,O,O,O,X,X,X,X,X,X,X,X
LZISOJT,X,O,O,O,X,X,X,O,X,X,X,X
LZIOTJS,X,X,X,O,X,X,X,O,O,X,X,X
LZIOTSJ,X,X,X,O,X,X,X,X,X,X,X,X
LZIOJTS,X,X,O,O,X,X,X,O,O,X,X,X
LZIOJST,X,X,O,O,X,X,X,O,O,X,X,X
LZIOSTJ,X,X,O,O,X,X,X,X,X,X,X,X
LZIOSJT,X,X,O,O,X,X,X,O,X,X,X,X
LZJTISO,X,O,O,O,O,X,O,O,X,O,X,X
LZJTIOS,X,X,O,O,O,O,X,O,X,O,X,O
LZJTSIO,X,O,O,O,O,X,O,O,X,O,X,X
LZJTSOI,X,O,O,O,O,X,O,X,O,O,X,X
LZJTOIS,X,X,O,O,O,O,O,O,O,O,X,O
LZJTOSI,X,O,O,X,O,X,O,O,O,O,X,X
LZJITSO,X,O,O,O,O,X,O,O,X,O,X,X
LZJITOS,X,X,O,O,O,O,X,O,X,O,X,O
LZJISTO,O,O,O,O,O,O,O,O,X,O,X,X
LZJISOT,X,O,O,O,X,O,X,X,X,X,X,X
LZJIOTS,X,X,O,O,O,O,X,O,X,O,X,X
LZJIOST,X,O,O,O,X,O,X,O,X,X,X,X
LZJSTIO,O,O,O,O,O,O,O,O,X,O,X,X
LZJSTOI,O,O,O,O,O,O,O,X,O,O,X,X
LZJSITO,O,O,O,O,O,O,O,O,X,O,X,X
LZJSIOT,X,O,O,O,X,O,X,X,X,X,X,X
LZJSOTI,O,O,O,O,X,O,O,O,O,O,X,X
LZJSOIT,O,O,O,O,X,O,O,O,O,X,X,X
LZJOTIS,X,O,O,O,O,O,O,O,O,O,X,X
LZJOTSI,X,O,O,X,O,X,O,O,O,O,X,X
LZJOITS,X,X,O,O,O,O,O,O,O,O,X,X
LZJOIST,O,O,O,O,X,O,O,O,O,X,X,X
LZJOSTI,O,O,O,O,X,O,O,O,O,O,X,X
LZJOSIT,O,O,O,O,X,O,O,O,O,X,X,X
LZSTIJO,O,O,O,O,X,O,X,X,X,X,X,X
LZSTIOJ,O,O,O,O,X,X,X,X,X,X,X,X
LZSTJIO,O,O,O,O,O,O,X,X,X,X,X,X
LZSTJOI,O,O,O,O,O,O,X,X,O,X,O,X
LZSTOIJ,O,O,O,O,X,X,X,X,X,X,X,X
LZSTOJI,O,O,X,O,O,X,X,X,O,X,O,X
LZSITJO,O,O,O,O,X,O,X,X,X,X,X,X
LZSITOJ,O,O,O,O,X,X,X,X,X,X,X,X
LZSIJTO,O,O,O,O,X,O,X,O,X,X,X,X
LZSIJOT,O,O,X,O,X,O,X,X,X,X,X,X
LZSIOTJ,O,O,O,O,X,X,X,X,X,X,X,X
LZSIOJT,O,O,O,O,X,X,X,O,X,X,X,X
LZSJTIO,O,O,O,O,O,O,X,O,X,O,X,X
LZSJTOI,O,O,O,O,O,O,X,X,O,O,X,X
LZSJITO,O,O,O,O,O,O,X,O,X,O,X,X
LZSJIOT,O,O,X,O,X,O,X,X,X,X,X,X
LZSJOTI,O,O,O,O,X,O,X,O,O,O,X,X
LZSJOIT,O,O,O,O,X,O,X,O,O,X,X,X
LZSOTIJ,O,O,O,O,X,X,X,X,X,X,X,X
LZSOTJI,O,O,X,O,X,X,X,X,O,X,O,X
LZSOITJ,O,O,O,O,X,X,X,X,X,X,X,X
LZSOIJT,O,O,O,O,X,X,X,O,X,X,X,X
LZSOJTI,O,O,O,O,X,X,X,O,O,X,X,X
LZSOJIT,O,O,O,O,X,X,X,O,O,X,X,X
LZOTIJS,X,X,X,O,O,X,O,O,O,X,X,X
LZOTISJ,X,X,X,O,X,X,X,X,X,X,X,X
LZOTJIS,X,X,X,O,O,X,O,O,O,X,X,X
LZOTJSI,X,X,X,O,O,X,O,O,O,X,X,X
LZOTSIJ,X,O,X,O,X,X,X,X,X,X,X,X
LZOTSJI,X,O,X,O,O,X,X,X,O,X,X,X
LZOITJS,X,X,X,O,X,X,O,O,O,X,X,X
LZOITSJ,X,X,X,O,X,X,X,X,X,X,X,X
LZOIJTS,X,X,O,O,X,X,O,O,O,X,X,X
LZOIJST,O,X,O,O,X,X,O,O,O,X,X,X
LZOISTJ,O,X,O,O,X,X,X,X,X,X,X,X
LZOISJT,O,X,O,O,X,X,X,O,X,X,X,X
LZOJTIS,X,X,O,O,O,X,O,O,O,X,X,X
LZOJTSI,X,O,O,O,O,X,O,O,O,X,X,X
LZOJITS,X,X,O,O,O,X,O,O,O,X,X,X
LZOJIST,O,X,O,O,X,X,O,O,O,X,X,X
LZOJSTI,O,O,O,O,X,X,O,O,O,X,X,X
LZOJSIT,O,O,O,O,X,X,O,O,O,X,X,X
LZOSTIJ,O,O,O,O,X,X,X,X,X,X,X,X
LZOSTJI,O,O,X,O,X,X,X,X,O,X,O,X
LZOSITJ,O,O,O,O,X,X,X,X,X,X,X,X
LZOSIJT,O,O,O,O,X,X,X,O,X,X,X,X
LZOSJTI,O,O,O,O,X,X,X,O,O,X,X,X
LZOSJIT,O,O,O,O,X,X,X,O,O,X,X,X
LOTIJSZ,O,X,O,X,X,X,O,O,O,X,X,O
LOTIJZS,X,X,O,X,O,X,O,O,O,X,X,O
LOTISJZ,O,X,O,X,X,X,O,X,O,X,X,X
LOTISZJ,O,X,O,X,X,X,X,X,X,X,X,X
LOTIZJS,X,X,X,X,O,X,O,O,O,X,X,X
LOTIZSJ,X,X,X,X,X,X,X,X,X,X,X,X
LOTJISZ,O,X,O,X,X,O,O,O,O,X,O,O
LOTJIZS,X,X,O,O,O,O,O,O,O,X,X,O
LOTJSIZ,O,O,O,X,X,O,O,O,O,X,O,O
LOTJSZI,O,O,O,O,O,X,O,O,O,X,O,X
LOTJZIS,X,X,O,O,O,O,O,O,O,X,X,O
LOTJZSI,X,O,O,X,O,X,O,O,O,X,X,X
